N	3gram	Trubetskoy	StatiiOP
1	в том что	7	47
2	о том что	2	29
3	в этом отношении	1	24
4	для того чтобы	6	19
5	до сих пор	5	19
6	с точки зрения	9	14
7	во всяком случае	6	13
8	не может быть	4	11
9	в самом деле	1	9
10	то же время	10	9
11	вместе с тем	3	9
12	на то что	4	9
13	в то же	10	9
14	дело в том	1	9
15	можно было бы	3	9
16	тем не менее	1	8
17	к тому что	2	8
18	на самом деле	6	8
19	в конце концов	3	7
20	в данном случае	3	7
21	но все же	1	7
22	заключается в том	1	7
23	и в этом	1	7
24	так же как	1	6
25	по отношению к	1	6
26	речь идет о	1	6
27	по крайней мере	1	6
28	вопрос о том	1	6
29	что он не	2	5
30	в том же	1	5
31	за то что	1	5
32	в том чтобы	1	5
33	тот факт что	2	5
34	с самого начала	1	5
35	в применении к	1	4
36	в связи с	1	4
37	в другом месте	1	4
38	того или иного	2	4
39	тем более что	1	4
40	и в том	2	4
41	в том числе	1	3
42	более или менее	4	3
43	во многих случаях	1	3
44	важно отметить что	1	3
45	к тому же	1	3
46	бы то ни	4	3
47	и только в	1	3
48	свидетельствуют о том	1	3
49	только в том	2	3
50	состоит в том	1	3
51	в лучшем случае	3	3
52	в значительной степени	1	3
53	во всех этих	1	3
54	в этом случае	3	3
55	всяком случае не	1	3
56	прежде всего в	1	3
57	может быть назван	1	2
58	и в другом	2	2
59	а между тем	5	2
60	том числе и	1	2
61	и вместе с	2	2
62	точно так же	2	2
63	и в других	1	2
64	только в виде	1	2
65	то ни было	1	2
66	не может не	3	2
67	то же самое	1	2
68	в один общий	1	2
69	по этому пути	1	2
70	в свою очередь	1	2
71	между тем у	1	2
72	той или иной	3	2
73	является не только	1	2
74	россии никогда не	1	2
75	когда речь идет	1	2
76	он не может	1	2
77	в настоящее время	2	2
78	на этот вопрос	1	2
79	никогда не был	1	2
80	на точку зрения	1	2
81	но в то	1	2
82	прежде всего необходимо	1	2
83	для россии и	1	2
84	как бы ни	1	2
85	и то что	3	2
86	тем что он	1	2
87	между прочим и	1	2
88	должны были бы	1	1
89	ни у кого	1	1
90	давления со стороны	1	1
91	в этом направлении	2	1
92	для борьбы с	1	1
93	отказаться от своего	1	1
94	но этого мало	1	1
95	к одному из	1	1
96	в большинстве случаев	2	1
97	в своих целях	1	1
98	решения этого вопроса	1	1
99	конкретно представить себе	1	1
100	быть особенно осторожным	1	1
101	но ведь в	1	1
102	в том и	2	1
103	мы подходим к	1	1
104	может быть уверен	1	1
105	а в том	1	1
106	всякого давления со	1	1
107	свою точку зрения	1	1
108	во что бы	3	1
109	только с точки	1	1
110	друг от друга	2	1
111	но даже и	1	1
112	совершенно очевидно что	1	1
113	с тем в	1	1
114	трудно видеть что	1	1
115	если в области	1	1
116	таким образом при	1	1
117	в том случае	4	1
118	в силе и	1	1
119	смысле этого слова	1	1
120	об этом и	1	1
121	и если в	3	1
122	этого прежде всего	1	1
123	не трудно видеть	1	1
124	но на самом	1	1
125	означало бы гибель	1	1
126	нечего и говорить	1	1
127	и таким образом	1	1
128	также и то	1	1
129	и во всем	1	1
130	о том чем	1	1
131	и тот факт	1	1
132	даже и в	1	1
133	уверен в том	1	1
134	что же это	1	1
135	самого себя и	3	1
136	нетрудно было бы	1	1
137	во всем мире	1	1
138	что с точки	1	1
139	показать что и	1	1
140	только то что	1	1
141	жизни и деятельности	2	1
142	которую можно назвать	1	1
143	никогда не было	1	1
144	так же и	1	1
145	к участию в	1	1
146	и не может	3	1
147	то ни стало	3	1
148	быть не может	1	1
149	казалось бы это	1	1
150	само собой разумеется	1	1
151	рабочего и крестьянина	1	1
152	россии и для	1	1
153	друг к другу	1	1
154	в значительной мере	2	1
155	и во всяком	2	1
156	не было а	1	1
157	никакому сомнению что	1	1
158	от того что	1	1
159	к вопросу о	3	1
160	собой разумеется что	1	1
161	верить что в	1	1
162	на ряду с	1	1
163	именно вследствие этого	1	1
164	в результате этого	1	1
165	без всякого давления	1	1
166	некоторых из них	1	1
167	то что оно	1	1
168	говорить о том	1	1
169	быть уверен в	1	1
170	в этом и	1	1
171	смотреть как на	1	1
172	но как бы	1	1
173	речь идет не	1	1
174	в их общей	2	1
175	относится не только	1	1
176	но для нас	1	1
177	что бы то	3	1
178	не только к	2	1
179	и в частности	1	1
180	время в россии	1	1
181	если бы все	1	1
182	с нею и	1	1
183	и что в	1	1
184	что на этой	1	1
185	в этом вопросе	1	1
186	для этого прежде	1	1
187	то что для	1	1
188	и в некоторых	1	1
189	и все же	1	1
190	и этот взгляд	1	1
191	ко всему этому	1	1
192	за последнее время	2	1
193	из которых каждая	1	1
194	в том виде	1	1
195	и не только	1	1
196	сих пор мы	1	1
197	но и ни	1	1
198	те или другие	1	1
199	при таких условиях	3	1
200	тот или иной	1	1
201	в другом случае	2	1
202	потому что они	1	1
