N	4gram	Potebnia_M	Hudozhes
1	в то же время	8	7
2	состоит в том что	1	4
3	одно и то же	7	3
4	одного и того же	2	3
5	и в самом деле	1	2
6	в том что он	2	2
7	бы то ни было	1	2
8	в том и состоит	1	2
9	в их отношении к	1	1
10	ни прибавить ни убавить	1	1
11	не что иное как	1	1
12	заключается в том что	1	1
13	том и состоит чтобы	1	1
14	в том что она	1	1
15	с одной стороны и	1	1
16	в том случае если	1	1
17	тем не менее не	1	1
18	по отношению к нему	1	1
19	по себе еще не	1	1
20	одним и тем же	4	1
21	себе отчет в том	1	1
22	есть не что иное	1	1
