N	3gram	Medvedev_S	Istorich
1	с одной стороны	1	28
2	в том что	2	25
3	в связи с	1	17
4	о том как	1	15
5	по отношению к	2	14
6	то же самое	1	8
7	дело не в	2	7
8	то что в	1	7
9	во всяком случае	1	7
10	только то что	1	4
11	это и есть	1	4
12	не в том	2	3
13	друг от друга	1	2
14	что в них	1	2
15	а в том	1	2
16	сама по себе	1	2
17	дает нам право	1	2
18	нам право на	1	2
19	на первый план	1	2
20	и должно было	1	2
21	главным образом в	1	2
22	далеко еще не	1	2
23	дело конечно не	1	2
24	в него и	1	2
25	это дает нам	1	1
26	в этом не	1	1
27	и что на	1	1
28	и в таких	1	1
29	их между собой	1	1
30	все эти вопросы	1	1
31	тем более не	1	1
32	в те же	1	1
33	должно было бы	1	1
34	что все это	1	1
35	как бы он	1	1
36	а с другой	1	1
37	всего должна быть	1	1
38	это вовсе не	1	1
39	это не меняет	1	1
40	то же время	1	1
41	и в этом	1	1
42	как то что	1	1
43	конечно не в	1	1
44	только в этом	2	1
45	в то же	1	1
46	в противном случае	1	1
47	но она может	1	1
