N	2gram	Vinokur_St	Retstnzi
1	не может	10	4
2	и в	61	3
3	если в	2	2
4	один из	1	2
5	литературного языка	1	1
6	в особенности	1	1
7	несмотря на	4	1
8	может быть	16	1
9	не только	36	1
10	точки зрения	16	1
11	с точки	10	1
12	формальных приемов	1	1
13	событий и	1	1
14	может не	2	1
15	неполно и	1	1
16	для него	10	1
17	с теми	1	1
18	первая часть	1	1
19	истории русского	1	1
20	в ней	9	1
21	тех же	1	1
22	в каждом	3	1
23	связи с	3	1
24	бы на	1	1
25	его от	1	1
26	ставить в	1	1
27	если бы	11	1
28	конечно и	5	1
29	в школе	1	1
30	художественного произведения	1	1
31	в его	19	1
32	зрения их	2	1
33	не менее	8	1
34	своих работ	1	1
35	но и	28	1
36	в выборе	2	1
37	второй части	2	1
38	к тому	9	1
39	во второй	10	1
40	можно назвать	3	1
41	тому что	8	1
42	и можно	2	1
43	в конкретном	1	1
44	в то	10	1
45	из этих	7	1
46	он в	1	1
47	ни один	2	1
48	же время	5	1
49	то же	7	1
50	а не	19	1
51	бы в	2	1
52	нет и	1	1
53	и не	23	1
54	так называемая	3	1
55	на нее	3	1
56	и все	3	1
57	истории но	1	1
58	и на	7	1
