N	2gram	Berdyaev_N	FransuaR
1	и в	16	367
2	в этом	7	112
3	и т.п	2	108
4	и не	11	101
5	и его	1	99
6	в его	1	98
7	прежде всего	4	92
8	не только	5	87
9	мы уже	1	85
10	но и	3	84
11	все эти	2	79
12	как и	7	76
13	в нем	5	75
14	но в	2	75
15	в эпоху	9	75
16	и на	2	72
17	в том	8	71
18	и все	4	66
19	в них	4	65
20	в этой	1	65
21	так и	2	65
22	и с	2	64
23	в сущности	1	64
24	в то	2	63
25	во время	1	63
26	во всех	3	62
27	все это	5	62
28	что в	9	52
29	в своем	1	51
30	только в	1	48
31	так как	1	46
32	и до	1	46
33	том что	2	45
34	то что	4	41
35	у него	2	40
36	жизни и	8	40
37	в самом	1	38
38	в ней	5	37
39	с его	6	36
40	о том	4	35
41	может быть	7	35
42	сказать что	3	34
43	и даже	2	34
44	в себе	2	34
45	в конце	1	32
46	он не	8	32
47	связаны с	2	31
48	в своей	3	31
49	нового времени	12	31
50	так же	2	30
51	но он	1	30
52	потому что	4	30
53	и потому	4	30
54	никогда не	6	30
55	в духе	3	29
56	еще не	3	29
57	в этих	1	29
58	что он	1	29
59	не может	16	29
60	не в	6	29
61	и к	5	28
62	из них	1	28
63	в той	1	28
64	в основе	3	28
65	сих пор	1	27
66	до сих	1	27
67	том числе	1	27
68	во франции	1	27
69	по своему	4	27
70	роль в	2	27
71	и их	1	27
72	средние века	7	26
73	в средние	3	26
74	все они	2	26
75	в области	1	25
76	но это	6	25
77	мира и	2	25
78	он и	1	24
79	но не	2	24
80	в ее	3	24
81	и у	1	24
82	и от	2	24
83	как в	3	24
84	того чтобы	2	24
85	времени и	2	24
86	в большинстве	1	24
87	большинстве случаев	1	23
88	своего рода	1	23
89	с ним	1	23
90	и для	4	23
91	есть и	1	23
92	к нему	1	23
93	это не	4	23
94	не было	4	22
95	а в	2	22
96	тем что	1	22
97	вместе с	2	22
98	и во	1	22
99	культуры и	7	21
100	уже в	1	21
101	есть в	2	21
102	ни в	6	21
103	в виду	1	20
104	и это	2	20
105	в значительной	1	20
106	в образе	1	20
107	а также	1	20
108	во всем	1	19
109	их в	1	19
110	в эту	1	19
111	того же	1	19
112	за пределы	3	19
113	было бы	1	19
114	с ее	5	19
115	с другой	3	19
116	на протяжении	2	19
117	хотя и	2	19
118	средневековья и	2	18
119	это и	2	18
120	одна из	2	18
121	превращается в	1	18
122	весь мир	1	18
123	для того	1	17
124	конечно не	3	17
125	можно было	2	17
126	числе и	1	17
127	такой же	2	17
128	но все	1	17
129	связана с	2	17
130	века и	2	17
131	а не	17	17
132	с одной	2	16
133	они не	1	16
134	мысли и	2	15
135	в которой	1	15
136	не были	1	15
137	из этих	1	15
138	с их	2	15
139	от всех	1	15
140	как на	1	15
141	xix века	5	15
142	еще в	1	15
143	в истории	3	15
144	в котором	1	14
145	характер и	1	14
146	в чем	1	14
147	с миром	1	14
148	мы не	2	14
149	на них	1	14
150	все что	1	14
151	земли и	1	14
152	в более	1	14
153	по существу	2	14
154	с этим	2	13
155	во все	1	13
156	и еще	1	13
157	что все	2	13
158	в жизни	5	13
159	одной стороны	2	13
160	не знает	6	13
161	отличие от	1	13
162	в мире	3	13
163	средних веков	1	13
164	и есть	10	13
165	не на	1	13
166	мир и	2	13
167	это было	3	13
168	другой стороны	2	12
169	не был	1	12
170	жизни в	3	12
171	в новой	7	12
172	у нас	1	12
173	менее всего	1	12
174	место в	2	12
175	из всех	1	12
176	были еще	1	12
177	только для	1	12
178	можно сказать	1	12
179	по своей	1	12
180	в атмосфере	1	12
181	не могут	1	12
182	он в	1	12
183	эпохи в	1	12
184	лишь в	6	12
185	уже не	2	11
186	и что	2	11
187	в отличие	1	11
188	культуры в	5	11
189	все время	2	11
190	и особенно	1	11
191	это уже	1	11
192	и более	1	11
193	и нового	1	11
194	формы и	2	11
195	эпоху ренессанса	1	11
196	но оно	1	10
197	человека и	3	10
198	для всех	1	10
199	к тому	3	10
200	значительной степени	1	10
201	по преимуществу	1	10
202	к которому	1	10
203	выходит за	1	10
204	эпохи и	4	10
205	был и	1	9
206	эту эпоху	1	9
207	связано с	1	9
208	в основу	1	9
209	как это	2	9
210	значение и	1	9
211	был в	1	9
212	и вся	1	9
213	в мировой	2	9
214	жизнью и	1	9
215	средневековья в	1	9
216	к жизни	3	9
217	это была	1	9
218	власти и	1	9
219	что образ	1	9
220	не имеет	4	9
221	в формах	1	9
222	эти формы	3	9
223	что не	1	9
224	и мира	1	8
225	не менее	4	8
226	в этот	1	8
227	людей и	1	8
228	xviii века	2	8
229	от этого	1	8
230	с тем	3	8
231	то время	1	8
232	значение в	1	8
233	для нового	2	8
234	для этого	2	8
235	перестает быть	4	8
236	и она	1	8
237	в это	1	8
238	самой жизни	2	8
239	этой системы	1	8
240	на всех	1	8
241	ведь и	2	8
242	того времени	1	8
243	нуждается в	1	8
244	в эти	1	8
245	же и	1	7
246	новое время	4	7
247	во всяком	1	7
248	старый мир	2	7
249	времени в	2	7
250	себе и	1	7
251	к ним	3	7
252	связанный с	1	7
253	ренессанса и	1	7
254	в одну	2	7
255	большую роль	4	7
256	подобно тому	3	7
257	нет ничего	1	7
258	нет и	2	7
259	мир в	1	7
260	но она	2	7
261	освобождение от	1	7
262	и очень	1	7
263	шекспира и	1	7
264	себя в	2	7
265	в состоянии	1	7
266	это конечно	1	7
267	так много	1	7
268	в новое	3	7
269	к себе	1	7
270	а на	1	7
271	жизни это	1	7
272	есть только	1	7
273	должен быть	5	7
274	тому как	3	7
275	в свою	1	7
276	думать что	2	7
277	в центре	2	6
278	во времени	1	6
279	не столько	1	6
280	жизнь в	1	6
281	не могли	2	6
282	хотя бы	2	6
283	формах и	1	6
284	что она	2	6
285	культура средневековья	2	6
286	характерны для	1	6
287	возможно что	1	6
288	это одна	1	6
289	смысле слова	3	6
290	для них	1	6
291	в нее	1	6
292	на их	1	6
293	то он	1	6
294	и пр	3	6
295	людей в	1	6
296	во многом	1	6
297	в будущее	1	6
298	как будто	2	6
299	и которые	1	6
300	и мысли	1	6
301	говорить о	1	6
302	жизни как	2	6
303	как я	1	6
304	такого рода	2	6
305	во времена	1	6
306	могут быть	2	6
307	переходит в	1	6
308	это время	1	6
309	он может	1	6
310	друг друга	1	6
311	нет ни	1	6
312	свидетельствует о	1	6
313	от мира	1	6
314	всего мира	1	6
315	старого мира	3	6
316	в новом	2	6
317	в xix	1	6
318	от того	1	6
319	него и	1	6
320	с собой	1	5
321	и когда	1	5
322	жизни с	1	5
323	все в	1	5
324	быть только	1	5
325	с другими	1	5
326	не могла	2	5
327	перед лицом	1	5
328	на место	1	5
