N	3gram	Voloshinov	UchenyiS
1	в конечном счете	1	4
2	не может быть	23	4
3	то ни было	11	3
4	с другой стороны	6	3
5	бы то ни	11	3
6	в то же	7	3
7	то же время	7	3
8	в том что	9	2
9	в противном случае	2	2
10	в самом деле	13	2
11	не могут быть	3	2
12	до сих пор	10	2
13	хотя бы и	1	2
14	а между тем	1	2
15	в конце концов	3	2
16	то же самое	8	2
17	в этом отношении	4	2
18	по крайней мере	1	2
19	в этом смысле	2	2
20	ничего не значит	1	1
21	быть не может	1	1
22	для него не	1	1
23	в первую очередь	1	1
24	друг с другом	2	1
25	не может обойтись	1	1
26	язык в его	1	1
27	более внимательном анализе	1	1
28	так или иначе	2	1
29	но что такое	1	1
30	поставить знак равенства	1	1
31	к которой принадлежит	1	1
32	как и всякого	1	1
33	же самое делает	1	1
34	же самое что	1	1
35	том что нельзя	1	1
36	в широком смысле	2	1
37	и быть не	1	1
38	тем что он	1	1
39	но в то	6	1
40	может быть в	1	1
41	никогда не может	1	1
42	с тем что	1	1
43	бы это было	1	1
44	большей или меньшей	1	1
45	с одной стороны	2	1
46	если бы это	2	1
47	его и в	1	1
48	можно сказать что	4	1
49	равно как и	1	1
50	точном смысле этого	4	1
51	конечно не в	1	1
52	не было бы	3	1
53	на первый план	2	1
54	в той же	1	1
55	а не только	1	1
56	только в этом	1	1
57	на то что	2	1
58	является одним из	2	1
59	не только в	2	1
60	и прежде всего	4	1
61	более или менее	3	1
62	если не исключительно	1	1
63	только при таком	1	1
64	само по себе	2	1
65	о котором говорил	1	1
66	при более внимательном	1	1
67	в точном смысле	5	1
68	в этом случае	3	1
69	в большей или	1	1
70	все же не	1	1
71	в области философии	1	1
72	мы полагаем что	2	1
