N	3gram	Medvedev_F	Dialekti
1	и т д	11	75
2	это значит что	1	47
3	с точки зрения	17	46
4	сама по себе	2	26
5	по крайней мере	1	26
6	в том что	3	25
7	не может быть	11	18
8	не что иное	1	18
9	что иное как	1	18
10	тем не менее	2	16
11	сам по себе	2	16
12	то же время	13	15
13	в то же	13	14
14	в таком случае	1	14
15	с другой стороны	4	12
16	ровно ничего не	1	12
17	есть не что	1	11
18	в самом деле	5	10
19	той или другой	1	10
20	т е в	2	10
21	иметь в виду	1	9
22	по себе не	1	9
23	что он есть	1	9
24	и в этом	6	9
25	вовсе не есть	1	9
26	то или иное	1	9
27	т е что	1	9
28	не только не	2	8
29	только то что	1	8
30	та или иная	1	8
31	в этом смысле	3	8
32	говоря уже о	1	7
33	не в том	3	7
34	так или иначе	1	7
35	сами по себе	4	7
36	в связи с	9	7
37	не говоря уже	1	7
38	и в частности	2	7
39	для того чтобы	3	6
40	более или менее	7	6
41	в зависимости от	4	6
42	и прежде всего	2	6
43	и в то	4	6
44	как и все	2	6
45	во всяком случае	6	6
46	с одной стороны	5	6
47	может быть и	4	6
48	тем более не	1	5
49	на самом деле	7	5
50	по сравнению с	1	5
51	ничего общего с	2	5
52	в конце концов	2	5
53	к тому что	3	5
54	на первый план	1	5
55	то и другое	1	5
56	от того что	1	5
57	в том смысле	3	5
58	до сих пор	7	5
59	от чего не	1	5
60	в виду что	1	5
61	что в нем	2	5
62	одной стороны и	4	4
63	мы уже знаем	1	4
64	по себе а	2	4
65	том смысле что	2	4
66	и т п	11	4
67	ни в чем	1	4
68	с этой точки	1	4
69	так же как	1	4
70	но даже и	2	4
71	ничего не говорят	1	4
72	этой точки зрения	1	4
73	и то и	1	4
74	в данном случае	2	4
75	не может не	1	4
76	как раз и	4	4
77	из того что	1	4
78	может и не	1	4
79	равно как и	1	4
80	и может быть	1	4
81	не может и	1	4
82	связи с этим	4	4
83	самого по себе	1	4
84	как бы ни	3	4
85	не могут быть	4	4
86	в этом отношении	7	4
87	как она есть	1	3
88	тех или иных	1	3
89	и как бы	1	3
90	самом же деле	1	3
91	же что и	1	3
92	то же что	1	3
93	это конечно не	1	3
94	точки зрения самого	1	3
95	но все же	2	3
96	на самом же	1	3
97	все это не	1	3
98	бы то ни	4	3
99	даже и не	1	3
100	и не может	5	3
101	того или иного	6	3
102	таково же и	1	3
103	в чем же	1	3
104	как и в	1	3
105	с этой стороны	1	3
106	но в то	3	3
107	с самого начала	2	3
108	же как и	1	3
109	т е как	3	3
110	что же такое	1	3
111	что он не	1	2
112	но все эти	2	2
113	время никогда не	1	2
114	по себе но	1	2
115	т е она	1	2
116	т е он	1	2
117	в собственном смысле	1	2
118	хотя бы и	1	2
119	за его пределы	1	2
120	и ни на	2	2
121	в жизни и	1	2
122	что в данном	1	2
123	а с точки	1	2
