N	3gram	Losev_Dial	KulturaY
1	и т п	1	93
2	и т д	38	42
3	для того чтобы	1	38
4	с точки зрения	25	36
5	в том что	12	33
6	в самом деле	6	29
7	тем не менее	10	19
8	во всяком случае	3	19
9	то обстоятельство что	1	19
10	с другой стороны	3	17
11	в зависимости от	3	16
12	до сих пор	1	14
13	по крайней мере	10	13
14	только потому что	1	13
15	в связи с	3	12
16	не может быть	12	11
17	в этом отношении	2	11
18	в этом смысле	1	10
19	о том что	6	10
20	того или иного	3	9
21	не в том	5	8
22	само по себе	8	8
23	на самом деле	1	8
24	т е как	2	8
25	не только в	1	8
26	тех пор пока	1	7
27	до тех пор	1	7
28	и тем не	2	7
29	с одной стороны	3	7
30	в отличие от	1	6
31	к тому же	2	6
32	то же время	3	6
33	только тогда когда	6	6
34	той или иной	2	6
35	этой точки зрения	4	6
36	в то же	3	6
37	не говоря уже	6	6
38	в свое время	1	6
39	то или иное	4	5
40	можно говорить о	1	5
41	говоря уже о	6	5
42	дело не в	1	5
43	с этой точки	4	5
44	и пр и	2	5
45	речь идет о	1	5
46	более или менее	1	5
47	в данном случае	3	5
48	и в этом	4	5
49	т е в	4	5
50	не потому что	2	5
51	в конечном счете	1	4
52	д и т	7	4
53	так или иначе	2	4
54	сам по себе	6	4
55	но также и	1	4
56	к тому что	2	4
57	пр и пр	1	4
58	т е о	3	4
59	т д и	8	4
60	на то что	3	4
61	заключается в том	1	4
62	только то что	1	4
63	точно так же	3	4
64	так же как	2	4
65	тот или иной	2	4
66	о том как	2	3
67	все той же	1	3
68	в таком случае	11	3
69	совершенно ясно что	1	3
70	в конце концов	1	3
71	и вместе с	1	3
72	тех или иных	2	3
73	точки зрения в	2	3
74	мы приходим к	1	3
75	как раз и	3	3
76	с тем что	1	3
77	хочу сказать что	1	3
78	уже о том	3	3
79	сама по себе	11	3
80	а не просто	6	3
81	хотя бы на	1	3
82	то тем самым	1	3
83	в силу того	1	3
84	от того что	4	3
85	в том смысле	1	3
86	все это не	2	3
87	и не в	1	3
88	не только потому	1	3
89	ясно что в	1	3
90	на точку зрения	1	3
91	в то время	6	3
92	уже не может	1	3
93	у нас есть	1	3
94	в лучшем случае	2	3
95	что и в	1	3
96	принять во внимание	1	3
97	не могут быть	3	3
98	стать на точку	1	2
99	в вопросе о	2	2
100	как раз на	1	2
101	рано или поздно	1	2
102	это не значит	1	2
103	я и хочу	1	2
104	ни в каком	8	2
105	и прежде всего	6	2
106	в применении к	1	2
107	том смысле что	1	2
108	а следовательно и	1	2
109	что в ней	1	2
110	уже не в	1	2
111	и в таком	1	2
112	имеется в виду	5	2
113	внимание на то	1	2
114	т е она	1	2
115	в собственном смысле	1	2
116	не забудем что	1	2
117	по себе не	1	2
118	вовсе не в	3	2
119	когда мы говорим	1	2
120	и пр но	1	2
121	потому что она	2	2
122	потому что в	1	2
123	друг от друга	1	2
124	но они не	2	2
125	по природе своей	1	2
126	что в них	1	2
127	но даже и	3	2
128	и то же	2	2
129	может быть только	1	2
130	сами по себе	3	2
131	одних и тех	2	2
132	также и о	1	2
133	в силу этого	3	2
134	но что такое	4	2
135	выйти за пределы	2	2
136	и тех же	2	2
137	иметь в виду	3	2
138	в особенности же	1	2
139	это и значит	1	2
140	ничего не дает	1	2
141	и в то	2	2
142	т д не	3	2
143	далеко еще не	1	2
144	хотя и не	2	2
145	на наших глазах	1	2
146	что с точки	2	2
147	что она есть	5	2
148	бы то ни	2	2
149	из того что	2	2
150	не должно быть	2	2
151	и в том	1	2
152	я хочу сказать	1	2
153	в одном из	1	2
154	лишь тогда когда	1	2
155	т е не	4	2
156	и то не	1	2
157	а вместе с	1	2
158	а так как	1	2
159	это даже не	1	2
160	это вовсе не	1	2
161	в данный момент	2	2
162	что это только	1	2
163	в каком смысле	5	2
164	прежде всего в	1	2
165	можно сказать что	1	2
166	то что мы	3	2
167	и той же	4	2
168	поскольку речь идет	1	2
169	по сравнению с	1	2
170	целый ряд таких	1	2
171	до некоторой степени	1	2
172	и в особенности	1	2
173	но дело не	1	2
174	вовсе еще не	1	2
175	не что иное	6	2
176	что мы имеем	1	2
