N	3gram	Voloshinov	Poddanst
1	то же время	7	7
2	в то же	9	7
3	в том что	1	4
4	не только в	3	4
5	в гораздо большей	1	4
6	гораздо большей степени	1	4
7	с точки зрения	5	3
8	но и в	3	2
9	заключает в себе	4	2
10	нужно помнить что	1	2
11	и в то	2	2
12	и не только	2	2
13	мы все же	1	1
14	были бы непонятны	1	1
15	в определенный момент	1	1
16	не было бы	2	1
17	именно потому что	1	1
18	чуть ли не	2	1
19	вместе с тем	2	1
20	но в то	2	1
21	прежде всего мы	1	1
22	экономических и политических	1	1
23	и тем самым	3	1
24	само по себе	1	1
25	не может быть	2	1
26	та или иная	1	1
27	в большинстве случаев	1	1
28	на наш взгляд	1	1
29	она должна была	1	1
30	по сравнению с	1	1
31	общения человека с	1	1
32	в наших глазах	1	1
33	в собственном смысле	1	1
34	хотя бы и	1	1
35	что это значит?	1	1
36	между тем в	1	1
37	для того чтобы	7	1
38	ни к чему	2	1
39	и тем более	1	1
40	с другой стороны	1	1
41	но возможно также	1	1
42	и не может	1	1
43	формы в которых	1	1
44	обстановки и без	1	1
45	большинстве случаев только	1	1
46	более или менее	1	1
47	а с тем	2	1
48	тот или иной	2	1
49	или хотя бы	2	1
50	и в этом	1	1
51	быть может и	1	1
