N	3gram	Bakhtin_KF	NovoeSre
1	не может быть	11	4
2	со всех сторон	1	3
3	в средние века	1	3
4	не значит что	1	3
5	вопрос о том	2	2
6	он не имеет	1	2
7	вместе с тем	1	2
8	равно как и	1	2
9	в нем нет	1	2
10	в этом смысле	3	2
11	он не может	1	2
12	не в смысле	1	2
13	когда мы говорим	1	2
14	никогда не было	1	2
15	это не значит	1	2
16	быть не может	1	1
17	в том что	2	1
18	не в том	1	1
19	а это предполагает	1	1
20	в том случае	1	1
21	этого не знает	1	1
22	до сих пор	1	1
23	для этого конечно	1	1
24	я не могу	1	1
25	и для другого	1	1
26	я исхожу из	1	1
27	в зависимости от	1	1
28	но сам этот	1	1
29	том смысле в	1	1
30	в большинстве случаев	1	1
31	не было и	1	1
32	в том смысле	1	1
33	должен быть признан	1	1
34	в значительной степени	1	1
35	как это было	1	1
36	весь мир все	1	1
37	в нем не	1	1
38	что в эту	1	1
39	и того же	1	1
40	но это уже	2	1
41	не есть принцип	1	1
42	мы говорим о	2	1
43	нужно помнить что	1	1
44	а не в	2	1
45	и не в	1	1
46	во всяком случае	1	1
47	для себя и	1	1
48	и во всех	1	1
49	других людей и	2	1
50	в котором и	3	1
51	конечно не в	1	1
52	это не есть	3	1
53	а не к	1	1
54	этого мира не	1	1
55	не должно быть	1	1
56	это и есть	1	1
57	жизнь не может	1	1
58	но нет и	1	1
59	в известном смысле	1	1
60	ни в чем	4	1
61	одного и того	1	1
62	характер и в	1	1
63	может быть только	7	1
