N	2gram	Bakhtin_fo	Tvorches
1	и в	84	56
2	как бы	11	41
3	в его	19	37
4	в романе	40	34
5	в то	13	30
6	в романах	2	30
7	то же	18	25
8	не только	16	24
9	же время	13	24
10	но в	16	24
11	как и	15	23
12	то есть	42	23
13	и не	19	23
14	а в	6	23
15	и его	26	23
16	в этом	41	22
17	и т	21	22
18	что в	9	21
19	в том	16	21
20	он не	6	19
21	том что	7	19
22	может быть	18	19
23	потому что	11	19
24	у него	8	18
25	то что	13	18
26	таким образом	14	17
27	и на	13	17
28	что он	2	17
29	т д	3	17
30	все это	10	17
31	при этом	8	16
32	но и	14	16
33	никогда не	8	16
34	как в	10	16
35	прежде всего	28	16
36	не может	8	16
37	и с	10	15
38	в мире	4	15
39	но это	1	15
40	в этой	3	15
41	с его	10	15
42	и даже	5	14
43	это не	8	14
44	там же	1	13
45	о том	4	13
46	времени в	14	13
47	преступление и	1	13
48	а не	7	13
49	в котором	8	12
50	в целом	2	12
51	в своей	2	11
52	все же	12	11
53	отнюдь не	7	11
54	для него	5	11
55	в самом	9	10
56	представление о	1	10
57	он сам	2	10
58	не в	10	10
59	в конце	11	10
60	только в	12	10
61	когда он	1	10
62	в основном	12	10
63	и наказание	1	10
64	уже в	5	10
65	так и	17	10
66	но не	9	10
67	в своих	1	9
68	наряду с	7	9
69	по природе	2	9
70	а затем	3	9
71	в изображении	1	9
72	и от	3	9
73	один из	5	9
74	жизни в	11	9
75	в свою	2	9
76	человека в	22	9
77	в нем	28	9
78	во многом	2	9
79	именно в	5	8
80	в соответствии	2	8
81	так же	7	8
82	к этому	5	8
83	хотя и	5	8
84	одним из	1	8
85	это уже	1	8
86	вместе с	9	8
87	соответствии с	2	8
88	одной из	3	8
89	еще не	8	8
90	в себе	7	8
91	так как	12	8
92	в их	9	8
93	на его	1	8
94	об этом	3	8
95	вовсе не	20	8
96	человека и	15	8
97	в этих	6	7
98	и сам	2	7
99	например в	7	7
100	уже не	5	7
101	в дальнейшем	10	7
102	в кн	1	7
103	он видит	1	7
104	влияние на	6	7
105	и он	3	7
106	в которой	3	7
107	в чем	3	7
108	своего рода	1	7
109	самом деле	2	7
110	в момент	1	6
111	еще более	7	6
