N	2gram	Tiupa_Narr	Morfolog
1	и т	3	62
2	может быть	24	61
3	т д	1	60
4	таким образом	5	26
5	действующих лиц	8	22
6	могут быть	1	21
7	так как	1	20
8	мы имеем	6	19
9	не может	16	19
10	в этом	23	18
11	в этих	3	17
12	представляет собой	21	17
13	и в	22	17
14	представляют собой	5	16
15	и не	34	16
16	этих случаях	1	15
17	перед нами	9	14
18	с этим	1	14
19	прежде всего	7	14
20	связи с	3	12
21	а не	27	11
22	что в	6	10
23	то же	12	10
24	вопрос о	1	10
25	мы увидим	1	10
26	не всегда	4	10
27	в том	20	10
28	так и	12	10
29	что и	3	10
30	в связи	3	10
31	то что	14	10
32	все же	10	9
33	с другой	6	9
34	из дома	1	9
35	но и	39	9
36	не только	50	8
37	в результате	4	8
38	мы не	5	8
39	в качестве	27	8
40	но не	7	8
41	в тех	1	8
42	а в	19	8
43	как мы	3	8
44	во втором	6	7
45	один из	8	7
46	и здесь	3	7
47	если в	2	7
48	не могут	1	7
49	не менее	6	7
50	том что	15	7
51	потому что	7	7
52	по отношению	5	7
53	наряду с	2	7
54	точки зрения	8	7
55	как это	7	7
56	тем не	7	7
57	а также	11	7
58	отношению к	5	7
59	подобно тому	4	6
60	о том	5	6
61	как бы	11	6
62	не все	2	6
63	но это	2	6
64	это не	6	6
65	с точки	2	6
66	в образе	1	6
67	в нашем	4	6
68	или в	7	6
69	и как	4	6
70	вовсе не	2	6
71	во всех	2	6
72	также и	4	6
73	в форме	7	6
74	во время	2	6
75	они и	2	5
76	героя в	6	5
77	этот момент	1	5
78	из которых	1	5
79	другой стороны	2	5
80	в первом	4	5
81	вслед за	4	5
82	что он	7	5
83	как в	9	5
84	со стороны	14	5
85	видно что	2	5
86	это явление	1	5
87	хотя бы	4	5
88	было бы	2	5
89	к тому	13	5
90	ничего не	8	5
91	что они	1	5
92	хотя и	8	5
93	прежде чем	1	5
94	тому что	4	5
95	ясно что	2	5
96	все эти	3	5
97	одна из	5	5
98	между собой	3	5
99	в поле	3	5
100	об этом	8	5
101	в других	2	5
102	там где	1	5
103	мы можем	2	5
104	тому как	4	5
105	между тем	5	5
106	он не	8	5
107	если же	2	5
108	далеко не	6	5
109	главным образом	1	5
110	в ходе	4	5
111	в целом	5	5
112	и ее	3	5
113	и к	7	4
114	на этом	1	4
115	как и	15	4
116	самом деле	4	4
117	но все	1	4
118	ни одна	1	4
119	тем что	1	4
120	никто не	1	4
121	уже не	11	4
122	еще не	6	4
123	не является	7	4
124	тех же	1	4
125	входит в	2	4
126	того чтобы	7	4
127	так же	2	4
128	и наоборот	1	4
129	сказать что	5	4
130	следующим образом	1	4
131	на него	4	4
132	на котором	1	4
