N	3gram	Medvedev_V	VeschiIm
1	и т д	16	38
2	не может быть	8	24
3	по крайней мере	2	10
4	в том что	5	9
5	в самом деле	1	7
6	на то что	1	7
7	по сравнению с	1	7
8	т е в	2	7
9	сама по себе	1	7
10	так или иначе	1	6
11	в свою очередь	1	5
12	в чем же	2	5
13	значит ли это	1	5
14	в то же	5	5
15	и то же	1	5
16	одно и то	1	5
17	подобно тому как	3	5
18	не только в	2	5
19	т е не	1	5
20	равно как и	4	4
21	о том как	3	4
22	то время как	1	4
23	от того что	2	4
24	этой точки зрения	2	4
25	с этой точки	1	4
26	в то время	1	4
27	более или менее	6	4
28	ли это что	1	4
29	не только не	2	4
30	о том что	3	4
31	это и есть	3	4
32	это и значит	1	4
33	есть то что	1	4
34	то же время	5	4
35	мы видели что	3	3
36	между собою и	1	3
37	и значит что	1	3
38	вместе с тем	4	3
39	ту или иную	1	3
40	можно сказать что	4	3
41	все же не	1	3
42	сами по себе	1	3
43	можно было бы	2	3
44	и в то	3	3
45	не может не	2	3
46	только то что	2	3
47	с одной стороны	2	3
48	с другой стороны	8	3
49	так же как	1	2
50	в той или	1	2
51	в одном и	1	2
52	все то что	1	2
53	в применении к	1	2
54	мы видим что	1	2
55	в данном случае	1	2
56	в том чтобы	2	2
57	хотя бы и	5	2
58	главным образом на	1	2
59	в этом смысле	1	2
60	для того чтобы	3	2
61	и есть то	1	2
62	как раз с	1	2
63	может быть никакого	1	2
64	что мы имеем	1	2
65	только один из	1	2
66	в том или	1	2
67	в конце концов	2	2
68	тех или иных	1	2
69	даже и не	1	2
70	но даже и	1	2
71	хотя бы в	3	2
72	в связи с	4	2
73	к тому что	4	2
74	но все же	1	2
75	действительности и ее	2	2
76	во всяком случае	2	2
77	в этом отношении	14	2
78	вопрос о том	1	2
79	а не только	1	2
80	только тогда когда	1	2
81	в этом и	2	2
82	мы имеем дело	1	2
83	силу тех или	1	1
84	что он не	1	1
85	относится к сфере	1	1
86	одной стороны и	2	1
87	вещи в себе	1	1
88	как это и	1	1
89	кроме того что	1	1
90	как будто бы	1	1
91	и том же	2	1
92	но он вполне	1	1
93	не быть а	1	1
94	по существу же	1	1
95	потому что самое	1	1
96	по существу своему	1	1
97	том смысле что	1	1
98	и может быть	1	1
99	но и в	1	1
100	ни к какому	1	1
101	как мы знаем	1	1
102	в том смысле	1	1
103	т е более	1	1
104	как это было	1	1
105	не в этом	1	1
106	один из видов	1	1
107	и в результате	1	1
108	в самом понятии	2	1
109	то или иное	1	1
110	но между ними	1	1
111	ни в какой	1	1
112	того или другого	1	1
113	е более или	1	1
114	дело не в	1	1
115	то что в	1	1
116	и как оно	1	1
117	на то или	1	1
118	и во всех	1	1
119	в результате этого	1	1
120	т е от	1	1
121	только в том	2	1
122	прежде всего не	2	1
123	не интересует и	1	1
124	не значит что	1	1
125	и многих других	1	1
126	того что мы	1	1
127	не в том	2	1
128	себя это не	1	1
129	и в науке	1	1
130	говорит о том	1	1
131	в силу тех	2	1
132	который по его	1	1
133	не было бы	4	1
134	таким образом можно	1	1
135	до сих пор	2	1
136	этом и заключается	2	1
137	это одна из	1	1
138	таким образом и	1	1
139	бы и не	3	1
140	что все эти	2	1
141	по меньшей мере	1	1
142	однако при всем	1	1
143	и вместе с	1	1
144	быть и речи	1	1
145	даже и в	1	1
146	в этом случае	1	1
147	он и не	1	1
148	но в то	1	1
149	может обойтись без	1	1
150	а в том	1	1
151	к этому сводится	2	1
152	в ней не	1	1
153	что они не	1	1
154	в зависимости от	5	1
155	и есть в	1	1
156	не может обойтись	1	1
157	том что и	1	1
158	в новое время	1	1
159	каждой из этих	2	1
160	то же самое	1	1
161	со всем что	1	1
162	они должны быть	2	1
163	уже по одному	2	1
164	та или иная	3	1
165	сущность в явлении	1	1
166	т е чисто	1	1
167	т д но	1	1
168	бытие т е	1	1
169	от всех других	1	1
170	с ними в	1	1
171	одном и том	2	1
172	по его мнению	1	1
173	оно может быть	1	1
174	тот или иной	1	1
175	но и для	1	1
176	те или иные	1	1
177	и не может	2	1
178	и никем не	1	1
179	может быть и	1	1
