N	4gram	Potebnia_M	Komedia
1	в то же время	8	16
2	в то время как	3	9
3	бы то ни было	1	7
4	и в самом деле	1	7
5	не говоря уже о	1	6
6	в том что он	2	4
7	один и тот же	2	3
8	состоит в том что	1	2
9	с одной стороны и	1	2
10	что ни одно из	1	2
11	и в свою очередь	1	2
12	и в том что	2	1
13	каков бы ни был	1	1
14	друг с другом и	1	1
15	не что иное как	1	1
16	и в этом случае	1	1
17	в свою очередь получает	1	1
18	но вместе с тем	1	1
19	только после того как	1	1
20	и о том что	1	1
21	потому что он не	2	1
22	до тех пор пока	2	1
23	именно потому что он	1	1
24	в то время когда	2	1
25	ничего не прибавляет к	1	1
26	вместе с тем мы	1	1
27	в том что его	1	1
28	только в том случае	1	1
29	то по крайней мере	1	1
30	в том что человек	1	1
31	тем не менее в	1	1
32	только в том что	3	1
33	только один из них	1	1
34	по самой своей природе	1	1
35	сама по себе не	1	1
36	то время как в	1	1
37	от одного к другому	2	1
38	с другой стороны нет	1	1
39	одного и того же	2	1
40	что само по себе	1	1
41	по себе не может	2	1
42	до сих пор еще	1	1
43	сводится к тому что	1	1
44	с одной точки зрения	1	1
45	мы можем судить о	1	1
46	в том случае если	1	1
47	в том что она	1	1
48	по отношению ко всем	1	1
49	до тех пор не	2	1
50	одна и та же	2	1
51	но и в том	1	1
