N	2gram	Bakhtin_KF	SlovoVZh
1	не может	29	16
2	может быть	45	14
3	точки зрения	13	14
4	как бы	9	13
5	и его	18	13
6	и в	28	12
7	отношению к	22	11
8	по отношению	26	11
9	в нашем	1	11
10	и не	28	10
11	так как	1	9
12	если бы	8	9
13	прежде всего	4	8
14	для нас	4	7
15	в ней	3	6
16	слова и	1	6
17	в том	6	6
18	в процессе	2	6
19	только в	18	6
20	в интонации	1	6
21	в нем	32	6
22	при этом	4	6
23	к содержанию	2	6
24	и др	1	5
25	можно сказать	1	5
26	что мы	1	5
27	хотя бы	5	5
28	должна быть	4	5
29	то же	5	5
30	к предмету	1	5
31	а не	17	5
32	в виду	3	5
33	то что	7	5
34	мы ни	1	5
35	в жизни	2	5
36	как и	5	5
37	как в	2	5
38	отнюдь не	7	5
39	том что	4	5
40	но в	5	5
41	никогда не	5	5
42	в самом	1	4
43	и к	1	4
44	в литературе	1	4
45	и на	3	4
46	не только	5	4
47	ни было	4	4
48	на самом	3	4
49	как если	1	4
50	от того	3	4
51	его в	5	4
52	не в	13	4
53	дело в	2	4
54	отношение к	6	4
55	что не	3	4
56	так и	2	4
57	уже не	7	4
58	жизни и	8	4
59	в этом	15	4
60	все же	5	4
61	зависимости от	1	4
62	к нему	12	4
63	бы то	2	3
64	как к	2	3
65	и с	1	3
66	ее и	6	3
67	до сих	1	3
68	и созерцателя	1	3
69	в содержание	1	3
70	в котором	24	3
71	и по	1	3
72	и пр	3	3
73	мы не	3	3
74	то ни	2	3
75	или не	1	3
76	между тем	4	3
77	для него	13	3
78	отношении к	2	3
79	с ним	5	3
80	того что	3	3
81	быть и	3	3
82	и уже	1	3
83	когда он	1	3
84	тем не	2	3
85	все это	10	3
86	он должен	1	3
87	ни в	12	3
88	конечно не	7	3
89	по себе	2	3
90	в каком	4	3
91	самом деле	3	3
92	только на	1	3
93	но для	3	3
94	в себе	21	3
95	ясно что	3	3
96	все эти	11	3
97	о том	3	3
98	в своей	11	3
99	здесь не	3	3
100	не менее	3	3
101	художественного творчества	1	3
102	нуждается в	1	3
103	но и	9	3
104	ведь и	1	3
105	и для	10	3
106	точек зрения	1	3
107	на границе	1	3
108	и ее	2	3
109	и наконец	1	3
110	сих пор	1	3
111	формы и	1	3
112	не к	1	3
113	еще не	5	3
114	что в	4	2
115	все они	2	2
116	нет ничего	1	2
117	перестает быть	1	2
118	но это	6	2
119	и потому	2	2
120	смысл и	6	2
121	ни на	1	2
122	и то	2	2
123	ясность и	1	2
124	мы можем	1	2
125	в данном	2	2
126	в душе	1	2
127	в то	3	2
128	и содержания	2	2
129	на один	1	2
130	в момент	3	2
131	в событии	5	2
132	со всех	1	2
133	зависит от	1	2
134	совпадает с	1	2
135	там где	5	2
136	в его	42	2
137	она не	2	2
138	это не	10	2
139	относится к	1	2
140	дело с	2	2
141	с точки	10	2
142	мы имеем	5	2
143	была бы	1	2
144	является попытка	1	2
145	тем как	3	2
146	тогда когда	3	2
147	в себя	8	2
148	как это	1	2
149	любит и	1	2
150	но все	6	2
151	содержания и	2	2
152	и та	3	2
153	из него	4	2
154	что и	7	2
155	в отношении	1	2
156	в форме	1	2
157	же самое	1	2
158	конечно в	2	2
159	но отнюдь	1	2
160	как не	1	2
161	в этих	1	2
162	связь с	1	2
163	оно не	2	2
164	а к	1	2
165	но этот	2	2
166	контекста в	2	2
167	имеем в	2	2
168	к ним	4	2
169	и здесь	7	2
170	но конечно	3	2
171	эти моменты	3	2
172	что форма	1	2
173	и все	9	2
174	но не	12	2
175	форму и	1	2
176	быть только	8	2
177	его как	5	2
178	не есть	22	2
179	могут быть	3	2
180	до конца	3	2
181	не остается	2	2
182	в своем	17	2
183	за его	1	2
184	в корне	3	2
185	в какой	1	2
186	имеет место	1	2
187	вместе с	1	2
188	между ними	1	2
189	место в	6	2
190	в зависимости	1	2
191	к его	1	2
192	может стать	1	2
193	настоящее время	1	2
194	такой же	1	2
195	мы никогда	1	2
196	бы оно	2	2
197	и так	1	2
198	оценки и	2	2
199	с его	2	2
200	себя и	5	2
201	на все	1	2
202	его к	2	2
