N	2gram	Medvedev_F	Sovremen
1	не может	26	17
2	может быть	30	12
3	точки зрения	21	12
4	таким образом	28	11
5	мы не	6	9
6	в каждом	3	8
7	в этом	39	7
8	и в	54	7
9	не можем	3	7
10	в результате	8	6
11	только одна	2	6
12	как и	18	6
13	ничего не	5	6
14	и не	34	6
15	с точки	17	5
16	прежде всего	34	5
17	что же	6	5
18	все эти	12	5
19	в условиях	1	5
20	и наконец	7	5
21	в дальнейшем	3	4
22	а в	11	4
23	совокупности условий	1	4
24	так как	4	4
25	вопрос о	3	4
26	это не	4	4
27	не только	14	4
28	в развитии	2	4
29	с помощью	13	4
30	как бы	10	4
31	нет и	2	4
32	если мы	5	4
33	каждого элемента	2	4
34	в зависимости	4	4
35	их в	2	4
36	жизни и	10	4
37	вместе с	8	4
38	в целом	7	4
39	же это	2	4
40	в том	17	4
41	зависимости от	5	4
42	из них	5	4
43	мы видели	5	4
44	и к	7	3
45	и потому	9	3
46	на этой	1	3
47	с самого	2	3
48	уже в	1	3
49	то же	16	3
50	при этом	14	3
51	мы получаем	1	3
52	с необходимостью	2	3
53	поэтому мы	2	3
54	не в	16	3
55	а не	11	3
56	в системе	3	3
57	для нас	1	3
58	все это	11	3
59	как он	2	3
60	в одном	2	3
61	у нас	6	3
62	а все	2	3
63	самого начала	2	3
64	в конце	2	3
65	ведь это	1	3
66	было бы	10	3
67	в первом	8	3
68	у всех	1	3
69	в этой	10	3
70	он в	3	3
71	и все	9	3
72	его развития	2	3
73	в себе	4	3
74	следующим образом	1	3
75	само собою	2	3
76	ясно что	3	3
77	не подлежит	1	3
78	он может	1	3
79	одна из	2	3
80	все же	8	3
81	при таком	5	3
82	в области	6	3
83	может не	1	3
84	отличается от	4	3
85	между собой	1	3
86	отнюдь не	13	3
87	в нем	25	3
88	но в	9	3
89	еще не	6	3
90	с этим	6	2
91	о принципиальной	1	2
92	что в	10	2
93	этих двух	2	2
94	тем не	2	2
95	в самом	17	2
96	дает нам	1	2
97	совершенно не	5	2
98	мы видим	1	2
99	период развития	4	2
100	значение в	4	2
101	и что	2	2
102	для развития	1	2
103	отличие от	2	2
104	и пр	30	2
105	то и	2	2
106	с одной	5	2
107	в отличие	2	2
108	это за	1	2
109	такого рода	1	2
110	в свою	8	2
111	из этих	4	2
112	в его	30	2
113	во всяком	6	2
114	не будем	1	2
115	мы знаем	3	2
116	не дает	3	2
117	еще более	6	2
118	помощью которых	1	2
119	можно назвать	1	2
120	то ни	5	2
121	только так	2	2
122	что это	1	2
123	или же	4	2
124	еще мало	1	2
125	что при	1	2
126	быть и	5	2
127	в некоторых	2	2
128	по мнению	1	2
129	только одну	1	2
130	из которых	1	2
131	что такое	2	2
132	может иметь	1	2
133	если же	4	2
134	говорить о	4	2
135	на его	2	2
136	в науке	2	2
137	все те	2	2
138	представлять себе	3	2
139	в живом	6	2
140	на их	3	2
141	у него	1	2
142	не могут	8	2
143	в виде	2	2
144	со всеми	3	2
145	а на	2	2
146	свою очередь	6	2
147	и даже	7	2
148	как известно	1	2
149	говорим о	2	2
150	самом деле	12	2
151	в которой	5	2
152	но все	4	2
153	ни одна	2	2
154	тот или	2	2
155	который как	1	2
156	как мы	10	2
157	настоящее время	11	2
158	тем же	3	2
159	задача эта	1	2
160	и во	2	2
161	той же	2	2
162	могут быть	7	2
163	в таком	2	2
164	в нашем	2	2
165	уже не	9	2
166	и есть	1	2
167	научного исследования	1	2
168	или иной	1	2
169	на этот	1	2
170	такой же	2	2
171	первый период	6	2
172	специальных вопросов	1	2
173	на этом	2	2
174	роль в	2	2
175	не менее	12	2
176	так сказать	6	2
177	же мы	1	2
178	приводит к	4	2
179	и по	3	2
180	в и	1	2
181	своего предмета	1	2
182	на котором	2	2
183	между всеми	1	2
184	свою собственную	1	2
185	из одного	1	2
186	в настоящее	11	2
187	каждого из	3	2
188	знаем что	2	2
189	мы с	1	2
190	всяком случае	6	2
191	он должен	4	2
192	прошлого века	1	1
193	жизни но	2	1
194	во всех	9	1
195	все они	1	1
196	только одно	1	1
197	остановимся здесь	1	1
198	бы то	4	1
199	совершенно недопустимо	4	1
200	которые в	1	1
201	поскольку она	1	1
202	и конкретную	1	1
203	этого и	1	1
204	к которому	2	1
205	и гармонии	1	1
206	осуществляется только	1	1
207	при определенных	2	1
208	это и	7	1
209	его и	2	1
210	этом случае	1	1
211	и проследим	1	1
212	только не	2	1
213	каждый элемент	4	1
214	их еще	1	1
215	стать в	1	1
216	том случае	2	1
217	влечет за	1	1
218	во втором	7	1
219	то он	1	1
220	и все-таки	1	1
221	но как	2	1
222	и снова	1	1
223	поэтому что	1	1
224	чем же	3	1
225	только из	1	1
226	всего необходимо	1	1
227	не является	3	1
228	в данном	2	1
229	это конечно	1	1
230	до сих	7	1
231	бы к	1	1
232	он уже	1	1
233	явлений не	1	1
234	и более	4	1
235	осуществляется в	1	1
236	та же	3	1
237	по преимуществу	6	1
238	не доказывают	1	1
239	же они	2	1
240	мы постараемся	1	1
241	в постановке	1	1
242	в действительности	3	1
243	опирается на	1	1
244	в объяснении	1	1
245	все элементы	1	1
246	этого направления	3	1
247	возникновения и	1	1
248	от его	3	1
249	что иное	1	1
250	предыдущей главе	1	1
251	ведь именно	2	1
252	деталях и	1	1
253	видим что	1	1
254	в процессе	17	1
255	данном случае	2	1
256	корне неверной	1	1
257	может ведь	1	1
258	ведь в	2	1
259	развития поэтому	1	1
260	как одной	1	1
261	связи с	12	1
262	без определенного	1	1
263	здесь нет	1	1
264	быть при	1	1
265	раз и	6	1
266	в самый	2	1
267	этот процесс	1	1
268	если в	3	1
269	на язык	5	1
270	разобранная нами	2	1
271	указать на	2	1
272	это последнее	3	1
273	должно быть	13	1
274	мы уже	1	1
275	такую же	1	1
276	в общий	1	1
277	почти не	2	1
278	системы совершенно	1	1
279	в первый	5	1
280	некритическим перенесением	1	1
281	его с	5	1
282	идет о	3	1
283	она не	8	1
284	на ее	1	1
285	чтобы он	2	1
286	ровно ничего	1	1
287	что уже	1	1
288	единства в	1	1
289	от всяких	1	1
290	одной стороны	5	1
291	приводит и	1	1
292	все свои	1	1
293	и ни	2	1
294	этот метод	1	1
295	это то	1	1
296	мы имеем	1	1
297	и речи	2	1
298	в другом	2	1
299	совсем не	2	1
300	роли данного	1	1
301	смысле то	1	1
302	несмотря на	2	1
303	том как	1	1
304	мы всегда	1	1
305	остается еще	1	1
306	чем объясняется	1	1
307	в ней	15	1
308	которых он	1	1
309	говорить только	1	1
310	ни было	2	1
311	элементов и	1	1
312	что эта	2	1
313	положение в	1	1
314	самому своему	1	1
315	меняется в	1	1
316	этот был	1	1
317	научной мысли	2	1
318	отвлекаясь от	1	1
319	это значит	1	1
320	хотя и	3	1
321	всей совокупности	1	1
322	с другой	8	1
323	и тогда	1	1
324	а это	1	1
325	в этот	2	1
326	с ним	3	1
327	о методе	1	1
328	она уже	1	1
329	это уже	1	1
330	он не	8	1
331	кроме того	3	1
332	же необходимо	1	1
333	и из	1	1
334	выработанные в	2	1
335	за собой	1	1
336	два основных	1	1
337	всюду где	1	1
338	определенных условиях	2	1
339	оно касается	1	1
340	но тем	1	1
341	какой бы	2	1
342	не будет	2	1
343	она дает	1	1
344	те же	1	1
345	дело если	1	1
346	между двумя	3	1
347	аналогии с	4	1
348	что дело	1	1
349	мы в	2	1
350	как у	1	1
351	увидим что	1	1
352	и вся	2	1
353	было совершенно	1	1
354	только на	8	1
355	но они	1	1
356	и методологической	1	1
357	пока не	1	1
358	и их	13	1
359	и всегда	1	1
360	быть поняты	3	1
361	элементов а	1	1
362	всего мы	1	1
363	нужно сказать	1	1
364	остановиться на	2	1
365	не приходится	4	1
366	и та	1	1
367	науке и	1	1
368	правда и	1	1
369	какую бы	2	1
370	на самом	8	1
371	смысле можно	1	1
372	здесь в	2	1
373	на которой	1	1
374	образом из	1	1
375	что каждый	2	1
376	для них	4	1
377	эта система	1	1
378	системы а	2	1
379	соответствующих им	1	1
380	можно было	1	1
381	и должно	4	1
382	xix века	1	1
383	и наиболее	1	1
384	определенного метода	1	1
385	потенции но	1	1
386	ни в	3	1
387	человеком человек	1	1
388	но только	1	1
389	метод в	8	1
390	новое время	1	1
391	и от	9	1
392	нами в	1	1
393	по отношению	4	1
394	еще в	2	1
395	кто же	1	1
396	и наш	1	1
397	но отнюдь	1	1
398	ином направлении	2	1
399	именно эти	1	1
400	нечего делать	1	1
401	почти совершенно	2	1
402	стороны и	4	1
403	конечно не	5	1
404	и само	2	1
405	но что	2	1
406	и те	2	1
407	его между	1	1
408	только в	6	1
409	и отчетливо	1	1
410	происходит это	1	1
411	которая не	1	1
412	этот вопрос	2	1
413	функции в	2	1
414	углом зрения	1	1
415	все равно	1	1
416	научной работы	2	1
417	различия между	1	1
418	же время	13	1
419	и может	6	1
420	в ином	2	1
421	так же	5	1
422	которых она	1	1
423	его в	5	1
424	собственно и	1	1
425	ведь если	1	1
426	то она	1	1
427	отчасти в	1	1
428	в обоих	1	1
429	с понятием	1	1
430	отметить что	2	1
431	них своя	1	1
432	себе в	2	1
433	в большинстве	6	1
434	совершенно независимо	1	1
435	должен был	3	1
436	сравнительно с	1	1
437	чем в	1	1
438	элементы и	1	1
439	в своих	3	1
440	не было	7	1
441	в предыдущей	2	1
442	с его	12	1
443	наука не	1	1
444	процессе развития	1	1
445	организма в	1	1
446	одно направление	1	1
447	как будет	1	1
448	один из	4	1
449	в духе	1	1
450	если бы	8	1
451	и несколько	1	1
452	не знает	1	1
453	или в	2	1
454	этой системы	1	1
455	и научного	1	1
456	а о	4	1
457	периоде развития	1	1
458	этого не	1	1
459	можно говорить	2	1
460	центр тяжести	1	1
461	ни одного	2	1
462	ничего общего	2	1
463	и навсегда	2	1
464	равно как	2	1
465	ни о	3	1
466	к одному	2	1
467	без остатка	1	1
468	элемента в	1	1
469	подвести итоги	1	1
470	и еще	1	1
471	как их	4	1
472	что его	1	1
473	как его	3	1
474	в эту	3	1
475	так называемый	1	1
476	живой жизни	1	1
477	ее отделах	1	1
478	остается подвести	1	1
479	мы говорим	4	1
480	но эта	2	1
481	перечисленные нами	1	1
482	для каждого	1	1
483	не стать	1	1
484	дело в	1	1
485	крайней мере	1	1
486	собой но	1	1
487	во многом	2	1
488	сами по	4	1
489	одного из	4	1
490	в данной	1	1
491	о каком	1	1
492	же как	3	1
493	по существу	8	1
494	сказать что	3	1
495	и эта	2	1
496	быть только	1	1
497	на конкретном	1	1
498	жизни как	1	1
499	конечно нельзя	1	1
500	но для	4	1
501	именно в	12	1
502	ведь ясно	1	1
503	и действительно	2	1
504	законов и	1	1
505	и до	8	1
506	времени не	1	1
507	представление о	2	1
508	при которой	1	1
509	потому совершенно	1	1
510	каким методом	1	1
511	отвлекается от	2	1
512	и чисто	2	1
513	другую сторону	1	1
514	отношению к	4	1
515	в основу	2	1
516	как нет	1	1
517	одной из	2	1
518	вот к	1	1
519	котором держится	1	1
520	более и	3	1
521	в своем	12	1
522	в корне	6	1
523	она и	1	1
524	то чем	1	1
525	по аналогии	5	1
526	уже знаем	1	1
527	же путем	1	1
528	но ведь	4	1
529	этом смысле	3	1
530	в связи	11	1
531	в какой	3	1
532	работы в	1	1
533	на внешней	1	1
534	между ними	3	1
535	мы будем	1	1
536	эти три	1	1
537	во всей	4	1
538	цель и	1	1
539	может стать	1	1
540	частном случае	1	1
541	же в	4	1
542	том что	3	1
543	этом периоде	1	1
544	характерное для	1	1
545	рядом с	1	1
546	своему существу	1	1
547	метода не	2	1
548	в мире	4	1
549	такой ответ	1	1
550	и прежде	3	1
551	на эту	1	1
552	всю эту	1	1
553	жизни в	2	1
554	но не	5	1
555	дело идет	6	1
556	так в	3	1
557	но если	1	1
558	они не	7	1
559	правда не	1	1
560	по себе	10	1
561	целью а	1	1
562	же делает	1	1
563	науки в	1	1
564	направление в	3	1
565	базируется на	1	1
566	для этих	1	1
567	в следующих	1	1
568	не имеет	2	1
569	и путем	1	1
570	их на	2	1
571	к этому	3	1
572	в такой	3	1
573	все более	4	1
574	там где	3	1
575	эту сторону	1	1
576	вся эта	2	1
577	в то	14	1
578	и историей	1	1
579	и только	5	1
580	функций в	2	1
581	один и	1	1
582	значит что	1	1
583	по своим	1	1
584	те явления	1	1
585	с готовыми	1	1
586	в отдельных	1	1
587	просто не	1	1
588	это совершенно	1	1
589	является только	1	1
590	должны искать	1	1
591	этой области	1	1
592	только и	7	1
593	именно эта	1	1
594	уже чисто	1	1
595	по самому	1	1
596	как целого	1	1
597	но это	4	1
598	независимо от	5	1
599	но уже	1	1
600	и для	5	1
601	диалектического материализма	1	1
602	вопрос и	1	1
603	конкретную методику	1	1
604	с ее	7	1
605	но самый	1	1
606	не из	5	1
607	таким же	2	1
608	не что	1	1
609	и это	4	1
610	входящих в	3	1
611	точка зрения	3	1
612	того же	1	1
613	все время	7	1
614	начало нового	1	1
615	пр но	2	1
616	нет в	2	1
617	и если	2	1
618	не принимает	1	1
619	нужна для	1	1
620	и развития	2	1
