N	2gram	Voloshinov	IolandNe
1	и с	10	3
2	что в	7	2
3	самого себя	2	2
4	он не	10	2
5	должен быть	2	2
6	ничего не	5	2
7	и не	34	2
8	в этом	28	2
9	говорить о	5	1
10	какую роль	1	1
11	все эти	15	1
12	для того	6	1
13	и очень	3	1
14	а в	8	1
15	и о	6	1
16	же это	1	1
17	к нам	1	1
18	перед отцом	1	1
19	как отец	1	1
20	утверждает что	3	1
21	это было	2	1
22	г стр	1	1
23	у всех	1	1
24	и со	3	1
25	творчества то	1	1
26	и та	2	1
27	для него	12	1
28	не остается	3	1
29	тех же	5	1
30	тем что	1	1
31	и чрезвычайно	1	1
32	того же	3	1
33	нам в	3	1
34	художественного творчества	1	1
35	не так	3	1
36	сомневаюсь что	1	1
37	и др	9	1
38	не сомневаюсь	1	1
39	жизни и	7	1
40	комплекс в	1	1
41	с другой	2	1
42	но когда	2	1
43	в целом	4	1
44	точно и	1	1
45	в эту	2	1
46	стороны он	1	1
47	я не	4	1
48	себя в	3	1
49	странное и	1	1
50	к отцу	16	1
51	с любым	1	1
52	то и	1	1
53	и еще	1	1
54	что при	2	1
55	если бы	4	1
56	отношению к	11	1
57	следующим образом	1	1
58	доказать что	2	1
59	по существу	1	1
60	и сам	3	1
61	того что	7	1
62	них не	3	1
63	а с	2	1
64	для других	1	1
65	ненависть к	1	1
66	только для	2	1
67	по поводу	5	1
68	и тот	3	1
69	а также	2	1
70	так и	14	1
71	личности для	1	1
72	в основе	6	1
73	ничего в	1	1
74	оказывается для	1	1
75	следовательно в	1	1
76	о ней	1	1
77	от этого	2	1
78	его ученики	5	1
79	того чтобы	5	1
80	и без	1	1
81	и творчества	2	1
82	бы в	2	1
83	не дает	4	1
84	есть только	3	1
85	факты и	2	1
86	и в	28	1
87	это был	1	1
88	никогда не	10	1
89	своего исследования	1	1
90	все это	12	1
91	по отношению	13	1
92	со всеми	5	1
93	на котором	1	1
94	нисколько не	4	1
95	то она	2	1
96	в них	3	1
97	во многом	2	1
