N	3gram	Losev_Vesc	EvropaiE
1	с точки зрения	6	16
2	в то же	5	15
3	то же время	4	14
4	в отношении к	2	12
5	и в то	3	8
6	с одной стороны	3	8
7	в том что	9	6
8	одной стороны и	1	6
9	так же как	2	5
10	этой точки зрения	3	5
11	для того чтобы	2	5
12	с этой точки	3	5
13	само по себе	4	4
14	не только в	5	4
15	то ни было	12	4
16	бы то ни	12	4
17	и в этом	2	4
18	друг с другом	2	3
19	в той или	2	3
20	в последние годы	2	3
21	в применении к	2	3
22	можно было бы	3	3
23	в этом смысле	2	3
24	как бы ни	2	3
25	хотя бы и	2	3
26	ту или иную	3	3
27	во всяком случае	2	3
28	можно сказать что	3	3
29	и прежде всего	1	3
30	в этом отношении	2	3
31	в данной области	2	2
32	каких бы то	1	2
33	и в частности	2	2
34	того что в	1	2
35	прежде всего к	1	2
36	но в то	1	2
37	и только в	1	2
38	не может быть	22	2
39	на то что	7	2
40	в данном случае	2	2
41	по сравнению с	7	2
42	заключается в том	3	2
43	хотя бы в	2	2
44	есть не только	2	2
45	и со стороны	1	2
46	в экономическом отношении	1	2
47	только в том	1	2
48	то что в	1	2
49	в свою очередь	5	2
50	с другой стороны	3	2
51	между прочим и	1	2
52	из того что	3	2
53	тем более к	1	2
54	или хотя бы	1	2
55	мы видели что	3	1
56	и т д	36	1
57	значит что на	1	1
58	кроме того что	1	1
59	что эти две	1	1
60	ли это что	4	1
61	и не только	6	1
62	на такой вопрос	1	1
63	именно потому что	1	1
64	на то или	1	1
65	есть ли это	1	1
66	ни было только	1	1
67	т е не	5	1
68	дело в том	4	1
69	смысле этого слова	1	1
70	не переходит в	1	1
71	это может быть	1	1
72	речь идет о	1	1
73	можно сказать даже	3	1
74	всем другим в	1	1
75	с но и	1	1
76	то или иное	1	1
77	мы не можем	3	1
78	вместо того чтобы	1	1
79	а не к	2	1
80	к тому что	2	1
81	существует только в	1	1
82	но и в	1	1
83	том смысле что	1	1
84	в полной мере	1	1
85	качестве одного из	1	1
86	тех или иных	2	1
87	то время как	4	1
88	есть то что	4	1
89	оно всегда в	1	1
90	в том смысле	1	1
91	в себе в	4	1
92	значит ли это	5	1
93	так как мы	2	1
94	есть нечто абсолютно	1	1
95	не может в	1	1
96	в себе не	1	1
97	но и то	1	1
98	е прежде всего	1	1
99	и то и	1	1
100	в самом понятии	1	1
101	что оно не	1	1
102	и это потому	1	1
103	ничего иного кроме	1	1
104	не только это	3	1
105	что как бы	1	1
106	и та и	1	1
107	только в виде	1	1
108	и того же	1	1
109	но само по	1	1
110	один и тот	1	1
111	себе не только	1	1
112	та и другая	1	1
113	является в общем	1	1
114	не есть ли	3	1
115	то и другое	6	1
116	не может не	3	1
117	это так но	1	1
118	с тем что	1	1
119	не входя в	1	1
120	но также и	1	1
121	в ту или	1	1
122	на то чтобы	1	1
123	вовсе не в	1	1
124	в связи с	1	1
125	мы видим как	1	1
126	быть речи о	1	1
127	и не в	3	1
128	и тот же	1	1
129	та или иная	1	1
130	может быть речи	1	1
131	и не было	1	1
132	хотя бы только	1	1
133	он сам и	1	1
134	того что мы	1	1
135	с в то	1	1
136	это значит что	25	1
137	т е прежде	1	1
138	но с тем	1	1
139	только и можно	1	1
140	и для всех	1	1
141	в то время	4	1
142	только тогда когда	2	1
143	более или менее	4	1
144	независимо от того	1	1
145	в качестве одного	1	1
146	но так как	1	1
147	это потому что	1	1
148	но и для	1	1
149	одного и того	1	1
150	не значит ли	7	1
151	но в смысле	1	1
152	не относится к	1	1
153	может быть и	1	1
154	не будет уже	1	1
