N	2gram	Propp_Russ	PoTuStor
1	может быть	14	17
2	и в	59	16
3	и пр	4	12
4	таким образом	10	9
5	в этом	18	9
6	прежде всего	2	9
7	мы можем	2	9
8	точки зрения	3	8
9	и с	12	8
10	не может	6	8
11	и его	2	8
12	не только	28	7
13	сказать что	1	7
14	с его	1	7
15	и к	3	6
16	при этом	11	6
17	для него	1	6
18	самом деле	1	6
19	и это	2	6
20	с точки	3	6
21	ни в	1	5
22	все эти	5	5
23	только для	3	5
24	в чем	1	5
25	еще не	7	5
26	как бы	18	5
27	ту сторону	1	5
28	отношение к	1	5
29	нуждается в	1	5
30	в него	2	5
31	все что	2	4
32	и на	14	4
33	так как	25	4
34	все это	12	4
35	в его	3	4
36	жизни человека	1	4
37	так и	8	4
38	на самом	3	4
39	его в	9	4
40	и даже	1	4
41	и все	4	4
42	с ними	6	4
43	только в	4	4
44	и не	6	4
45	но мы	1	4
46	можно сказать	1	4
47	но и	20	4
48	и их	4	4
49	в этой	4	4
50	как мы	11	4
51	отнюдь не	3	4
52	в нем	3	4
53	в один	2	4
54	и ее	3	4
55	и наконец	2	4
56	но в	5	4
57	в основном	4	3
58	к себе	1	3
59	в том	33	3
60	мы знаем	1	3
61	те же	1	3
62	с другими	3	3
63	на этой	3	3
64	между ними	1	3
65	их в	7	3
66	и как	2	3
67	что в	35	3
68	том что	33	3
69	большинстве случаев	2	3
70	вместе с	16	3
71	на этом	6	3
72	в этих	3	3
73	во всех	6	3
74	но оно	1	3
75	во всяком	1	3
76	и потому	3	3
77	в основе	1	3
78	и притом	1	3
79	тех же	1	3
80	только как	2	3
81	и теперь	1	3
82	как это	11	3
83	только на	4	3
84	в одном	4	3
85	даже не	1	3
86	пр и	1	3
87	а в	16	3
88	в большинстве	2	3
89	то что	10	3
90	на две	3	3
91	и др	4	3
92	могут быть	3	3
93	и есть	1	3
94	в общем	1	3
95	жизни и	1	3
96	в области	3	3
97	всяком случае	1	3
98	во время	23	3
99	сущность его	1	2
100	мы видим	2	2
101	и мы	1	2
102	они не	1	2
103	мы не	11	2
104	с этой	2	2
105	по всему	2	2
106	что это	4	2
107	на этих	1	2
108	аналогии с	1	2
109	ее в	7	2
110	в область	1	2
111	для нас	12	2
112	и через	2	2
113	и этим	1	2
114	что и	8	2
115	быть может	1	2
116	у него	2	2
117	не на	2	2
118	не могут	1	2
119	в них	10	2
120	а на	8	2
121	поэтому и	1	2
122	и других	9	2
123	все то	1	2
124	не знает	1	2
125	так называемый	2	2
126	по аналогии	1	2
127	что не	1	2
128	и действительно	2	2
129	вообще не	1	2
130	в жизни	2	2
131	можно назвать	1	2
132	является по	1	2
133	как и	19	2
134	что он	2	2
135	есть в	2	2
136	же как	5	2
137	в своей	1	2
138	и так	2	2
139	в одно	2	2
140	связанные с	5	2
141	по своему	2	2
142	себя и	2	2
143	не менее	3	2
144	и таким	1	2
145	на первый	3	2
146	и вообще	1	2
147	не удается	1	2
148	на них	4	2
149	с этим	4	2
150	какое значение	1	2
151	всей их	1	2
152	к этому	7	2
153	оно не	2	2
154	рождения и	1	2
155	между собой	4	2
156	что мы	1	2
157	мы уже	2	2
158	связанных с	2	2
