N	2gram	Vygotskiy_	DiskursI
1	в качестве	13	72
2	а не	14	60
3	может быть	15	56
4	не только	28	49
5	и в	33	49
6	как и	13	47
7	тогда как	3	47
8	при этом	9	46
9	и не	18	44
10	в том	44	44
11	представляет собой	11	41
12	том что	41	40
13	в этом	43	38
14	в себе	4	37
15	состоит в	11	37
16	в частности	9	36
17	но и	14	35
18	и т.п	2	32
19	своего рода	1	32
20	но не	13	31
21	отличие от	3	28
22	со стороны	3	28
23	но в	9	28
24	так и	8	28
25	в отличие	3	27
26	не может	31	27
27	по своей	7	26
28	как в	7	25
29	такого рода	1	24
30	отнюдь не	2	23
31	еще не	11	23
32	в своей	5	19
33	все же	5	19
34	в нем	10	19
35	прежде всего	5	19
36	в основе	12	18
37	то же	12	17
38	в данном	4	17
39	с другой	11	17
40	по отношению	19	17
41	отношению к	19	17
42	точки зрения	27	16
43	только в	21	16
44	о том	13	15
45	то что	48	15
46	в его	15	15
47	не менее	4	14
48	можно сказать	7	14
49	одной стороны	10	14
50	с одной	10	14
51	не в	10	14
52	не является	7	14
53	это не	8	14
54	или иной	1	14
55	как бы	11	13
56	для него	9	13
57	в целом	8	13
58	в своих	5	12
59	ведет к	2	12
60	в своем	11	12
61	того же	13	12
62	природе своей	1	12
63	и на	11	12
64	и все	2	12
65	данном случае	3	12
66	как правило	1	11
67	не было	1	11
68	столь же	5	11
69	что в	33	11
70	с его	3	11
71	и как	7	11
72	не столько	3	10
73	той или	1	10
74	а с	3	10
75	для себя	1	10
76	а в	5	10
77	также и	2	10
78	и т.д	6	10
79	в них	3	9
80	себя в	4	9
81	внимание на	1	9
82	между тем	5	9
83	в силу	14	9
84	в то	5	9
85	сводится к	1	9
86	еще в	3	9
87	тем самым	13	9
88	в этих	7	8
89	и даже	3	8
90	к тому	14	8
91	в котором	2	8
92	в одном	3	8
93	из них	6	8
94	хотя и	1	8
95	в себя	4	8
96	он не	13	8
97	если в	4	8
98	не на	5	8
99	совпадает с	4	8
100	потому что	40	8
101	этом отношении	7	8
102	как уже	5	8
103	не с	2	8
104	и о	1	8
105	о чем	3	7
106	другой стороны	9	7
107	таким образом	30	7
108	иначе говоря	2	7
109	одной из	5	7
110	что и	11	7
111	тому же	3	7
112	его в	6	7
113	к этому	7	7
114	в этой	8	7
115	могут быть	7	7
116	например в	1	7
117	ни в	1	7
118	в процессе	37	7
119	приводит к	10	7
120	перед нами	1	7
