N	4gram	Bakhtin_Fr	VLabPisa
1	в то же время	12	5
2	в том числе и	2	2
3	с одной стороны и	1	2
4	большей или меньшей степени	1	2
5	в большей или меньшей	1	2
6	в плоть и кровь	1	1
7	не имеет ничего общего	1	1
8	и по отношению к	2	1
9	в том же духе	1	1
10	той или иной мере	1	1
11	с большей или меньшей	1	1
12	имеет ничего общего с	1	1
13	в той или иной	1	1
14	с другой стороны в	1	1
15	но в то же	3	1
16	после того как он	2	1
17	это и есть то	1	1
18	в начале этой главы	1	1
19	говорит о том что	1	1
20	в том или ином	2	1
