N	4gram	Bakhtin_fo	Problemy
1	в то же время	10	26
2	но в то же	2	11
3	и в то же	6	7
4	к себе самому и	2	5
5	бы он ни был	2	5
6	в той или иной	2	5
7	мы уже говорили что	1	4
8	себе самому и к	1	4
9	как мы уже говорили	4	3
10	самому и к другому	1	3
11	в то время как	2	3
12	одно и то же	4	3
13	одна и та же	2	2
14	каков бы он ни	1	2
15	той или иной форме	1	2
16	не значит конечно что	1	2
17	дело в том что	2	2
18	сделаны из одного куска	1	2
19	то же время оно	1	2
20	кто бы он ни	1	2
21	точка зрения на мир	1	2
22	это не значит конечно	1	2
23	той или иной степени	1	2
24	ни в чем не	3	2
25	на протяжении всего романа	2	2
26	и в этом отношении	1	2
27	и т п все	1	2
28	из уст в уста	1	2
29	но в конце концов	1	1
30	именно в том что	1	1
31	и до сих пор	1	1
32	лишена определяющего влияния на	1	1
33	то же время он	1	1
34	и прежде всего в	1	1
35	такой же характер носит	1	1
36	до сих пор еще	1	1
37	к прошлому и будущему	1	1
38	и т д он	1	1
39	и все другие герои	1	1
40	с одной стороны и	2	1
41	самого героя и его	1	1
42	то перед нами был	1	1
43	остановимся прежде всего на	1	1
44	с самим собою в	1	1
45	сюда же относится и	1	1
46	совершенно новое видение и	1	1
47	все более и более	2	1
48	и т п но	1	1
49	что на самом деле	1	1
50	на себе и на	1	1
51	уст в уста в	1	1
52	значит конечно что в	1	1
53	новое видение и изображение	1	1
54	не может быть и	2	1
55	на более глубокой и	1	1
56	одного и того же	6	1
57	и вместе с тем	1	1
58	одних и тех же	2	1
59	конечно что в мире	1	1
60	можно прямо сказать что	2	1
61	все больше и больше	1	1
62	в том числе и	4	1
63	с точки зрения которого	1	1
64	или во всяком случае	1	1
65	в разрезе одного момента	2	1
66	мы имеем в виду	2	1
67	здесь не место для	1	1
68	и т п в	1	1
69	в конце концов он	1	1
70	вполне понятно что в	2	1
71	перед нами был бы	1	1
72	отношение к себе самому	1	1
73	те же что и	2	1
74	одну и ту же	1	1
75	видения и изображения в	1	1
76	себе и на своей	1	1
77	может быть и речи	2	1
78	так же как и	2	1
79	к себе самому к	1	1
80	проявляется прежде всего в	1	1
81	с другими чертами его	1	1
82	до сих пор не	1	1
