N	2gram	Voloshinov	KFilosof
1	может быть	1	45
2	в его	1	42
3	не может	4	29
4	и не	1	28
5	и в	3	28
6	а не	1	17
7	для него	1	13
8	точки зрения	1	13
9	с точки	1	10
10	и все	1	9
11	но и	1	9
12	если бы	1	8
13	смысл и	1	6
14	то же	1	5
15	не только	1	5
16	и на	1	3
17	не менее	1	3
18	в каждом	1	3
19	в ней	1	3
20	нет и	1	3
21	в то	1	3
22	один из	2	2
23	может не	1	2
24	тому что	1	2
25	к историческому	1	2
26	подхода к	1	2
27	можно и	1	2
28	не из	1	2
29	же время	1	2
30	методически не	1	1
31	мы видим	1	1
32	оторвано от	1	1
33	и должно	1	1
34	несмотря на	1	1
35	его от	1	1
36	первая часть	1	1
37	конечно и	1	1
38	и можно	1	1
39	на месте	1	1
40	к тому	1	1
41	себя от	1	1
42	права и	1	1
43	ни один	1	1
44	нуждаются в	1	1
45	всех участников	1	1
46	лучше всего	1	1
47	в конкретном	1	1
48	в системе	1	1
49	во второй	1	1
