N	3gram	Bakhtin_Fr	VelikijI
1	в том что	8	2
2	в вопросе о	1	2
3	вместо того чтобы	1	2
4	в нем нет	1	2
5	но и в	3	2
6	не будет уже	1	2
7	так и в	1	1
8	менее всего можно	1	1
9	роль в нем	1	1
10	другой стороны в	1	1
11	в конце концов	1	1
12	вместе с тем	2	1
13	мы видим что	2	1
14	его связь с	1	1
15	в ней и	2	1
16	как и в	1	1
17	и что в	1	1
18	что нет у	1	1
19	царства и не	1	1
20	во всех формах	1	1
21	в одном образе	2	1
22	как бы в	2	1
23	с другой стороны	2	1
24	его и не	1	1
25	и каким образом	1	1
26	после того как	1	1
