N	2gram	Tiupa_Vved	Myshleni
1	в том	21	195
2	внутренней речи	1	191
3	в этом	27	167
4	то что	9	166
5	и в	23	162
6	том что	16	161
7	таким образом	6	147
8	точки зрения	1	143
9	с помощью	1	131
10	что в	6	119
11	не только	32	116
12	того что	7	109
13	в процессе	1	101
14	так же	2	100
15	речи и	1	99
16	потому что	7	95
17	того чтобы	2	91
18	может быть	25	89
19	что он	2	86
20	не может	14	81
21	как и	21	79
22	для того	1	78
23	и не	24	78
24	только в	9	75
25	в целом	4	74
26	как мы	5	72
27	но и	31	70
28	заключается в	2	67
29	в его	9	67
30	сказать что	1	65
31	как бы	8	64
32	вместе с	2	62
33	представляет собой	18	60
34	и что	2	60
35	было бы	4	60
36	в качестве	18	60
37	то же	8	58
38	в основе	6	58
39	мышления в	1	56
40	в отношении	1	55
41	могли бы	3	54
42	между собой	2	53
43	в силу	2	53
44	что мы	2	53
45	в самом	6	52
46	по сравнению	1	51
47	в сущности	3	51
48	мы должны	1	50
49	к тому	9	49
50	что они	2	48
51	тем что	2	48
52	мы можем	2	48
53	на основе	2	47
54	мы не	6	47
55	сравнению с	1	46
56	если бы	10	46
57	по отношению	11	45
58	но не	9	45
59	с другой	10	45
60	с тем	1	43
61	же как	1	43
62	тем самым	6	43
63	тому что	2	42
64	как это	2	42
65	отношению к	11	42
66	в ходе	3	41
67	не является	7	41
68	о том	7	40
69	по своей	4	40
70	одной стороны	9	40
71	никогда не	6	39
72	с одной	9	39
73	так и	14	39
74	мы видели	3	38
75	в области	5	38
76	и к	2	37
77	если мы	1	37
78	мы видим	1	37
79	не в	12	37
80	в этой	2	37
81	с самого	1	36
82	в своем	9	36
83	все эти	1	36
84	самого начала	1	36
85	как в	8	36
86	а не	31	36
87	и его	9	36
88	того же	1	35
89	можно было	2	35
90	в себе	15	35
91	и т.д	6	35
92	он не	6	35
93	для себя	2	35
94	связи с	2	34
95	и как	2	34
96	приводит к	2	34
97	прежде всего	11	33
98	при этом	43	33
99	по себе	2	33
100	именно в	1	32
101	и на	5	32
102	той же	3	32
103	по своему	3	32
104	же самое	2	32
105	что и	6	32
106	и тем	3	32
107	но в	14	32
108	слова и	3	32
109	все же	10	31
110	из того	1	31
111	и то	1	31
112	на то	3	30
113	этом отношении	7	30
114	между тем	3	29
115	как известно	2	29
116	могут быть	5	29
117	самом деле	6	28
118	переход от	1	28
119	к слову	1	28
120	только что	1	27
121	в результате	5	27
122	другой стороны	3	27
123	этом случае	1	27
124	в то	5	27
125	и с	2	27
126	в своей	10	27
127	что все	1	27
128	перед нами	13	27
129	взрослого человека	1	27
130	в их	2	26
131	что это	2	26
132	для него	5	26
133	в частности	19	26
134	в чем	2	25
135	что она	2	25
136	еще не	8	25
137	уже в	2	25
138	все это	3	25
139	можно сказать	6	25
140	по мере	2	25
141	только не	1	25
142	это не	7	25
143	тот же	1	24
144	зависимости от	1	24
145	целый ряд	2	24
146	в сфере	7	24
147	на этот	2	24
148	того как	1	24
149	в какой	4	24
150	так что	1	24
151	в нем	9	24
152	в слове	4	24
153	оба эти	1	24
154	как уже	1	24
155	в высшей	2	24
156	друг друга	1	23
157	состоит в	23	23
158	бы в	4	23
159	отношение между	1	23
160	как он	2	23
161	слова в	3	23
162	во всяком	3	22
163	не могут	1	22
164	процесс развития	1	22
165	столь же	3	22
166	в известном	1	22
167	и мышления	1	22
168	в зависимости	1	22
169	в школе	1	22
170	высшей степени	2	22
171	между ними	1	21
172	человеческой речи	1	21
