N	4gram	Bakhtin_Pr	Psycholo
1	в то время как	1	13
2	не что иное как	1	6
3	ни в какой мере	1	4
4	никогда не может быть	1	3
5	в то же время	3	3
6	несмотря на то что	1	3
7	в том смысле что	1	3
8	дело в том что	1	3
9	в полном согласии с	1	3
10	и т д мы	1	2
11	с одной стороны и	1	2
12	сами по себе не	1	2
13	на то что в	1	2
14	и не может быть	1	2
15	и тем не менее	1	2
16	бы то ни было	2	2
17	не в том что	1	2
18	и в этом отношении	1	2
19	есть не что иное	1	2
20	и с точки зрения	1	1
21	именно в том что	1	1
22	во что бы то	1	1
23	который как бы вбирает	1	1
24	и т п и	1	1
25	не для того чтобы	1	1
26	можно было бы применить	1	1
27	не может быть признано	1	1
28	в коем случае не	2	1
29	имеет дело именно с	1	1
30	к этому присоединяется еще	1	1
31	порядка для того чтобы	1	1
32	не только в поэзии	1	1
33	ни в коем случае	2	1
34	основных понятий и проблем	1	1
35	на то чем является	1	1
36	мы различаем в слове	1	1
37	для художника и для	1	1
38	все то что не	1	1
39	и во всех искусствах	1	1
40	каково бы ни было	1	1
41	если бы не было	1	1
42	в связи со всеми	1	1
43	входят в эстетический объект	1	1
44	как бы вбирает в	1	1
45	в эстетический объект не	2	1
46	а в том как	1	1
47	едва ли может быть	1	1
48	что бы то ни	1	1
49	мы в дальнейшем будем	1	1
50	и мы можем сказать	1	1
51	он не нуждается ни	1	1
52	ни в чем не	2	1
53	не может и не	2	1
54	а также и в	1	1
55	до своих последних пределов	1	1
56	ни к чему не	1	1
57	есть contradictio in adjecto	1	1
58	она на самом деле	1	1
59	может и не должна	2	1
60	что дело идет о	1	1
61	в первом случае мы	1	1
62	это и есть та	1	1
63	о которых мы говорим	1	1
64	о той или иной	1	1
65	не нуждается ни в	1	1
66	бы то ни стало	1	1
67	мы имеем дело с	1	1
68	бы вбирает в себя	1	1
