N	3gram	Medvedev_S	Vladivir
1	в том что	2	29
2	во всяком случае	1	12
3	в связи с	1	12
4	в конце концов	2	11
5	в то же	1	10
6	то же время	1	9
7	на первый план	1	7
8	и в этом	1	6
9	в настоящее время	1	6
10	и в то	1	5
11	то что в	1	5
12	по крайней мере	1	4
13	с одной стороны	1	4
14	не в том	2	3
15	а с другой	1	3
16	а в том	1	3
17	это вовсе не	1	3
18	только то что	1	3
19	но только в	1	2
20	том и заключается	1	2
21	в этой области	1	2
22	не может не	1	2
23	и никак не	1	2
24	в том и	1	2
25	как то что	1	2
26	главным образом в	1	2
27	и заключается что	2	2
28	этом не было	1	2
29	это и есть	1	2
30	в этом не	1	2
31	что он говорит	1	1
32	благодаря тому что	1	1
33	что это вовсе	1	1
34	бы он ни	1	1
35	и наконец в	1	1
36	в те же	1	1
37	не выходит за	1	1
38	дело не в	2	1
39	прежде всего не	1	1
40	сказать и о	1	1
41	что все это	1	1
42	может не вызвать	1	1
43	и потому его	1	1
44	конечно не в	1	1
45	а вот в	1	1
46	кто не способен	1	1
47	по существу дела	1	1
48	и русская идея	1	1
49	вот в чем	1	1
50	то же самое	1	1
51	сама по себе	1	1
52	о том как	1	1
53	которые базируются на	1	1
54	чуть ли не	1	1
55	выдвигает на первый	1	1
56	в него и	1	1
57	том что это	1	1
58	все же это	1	1
59	не было бы	1	1
60	в противном случае	1	1
61	в его системе	1	1
62	по существу это	1	1
63	трудно представить себе	1	1
64	на точке зрения	1	1
65	выходит за пределы	1	1
66	ровно ничего не	1	1
