N	2gram	Tiupa_Hudo	BTomashe
1	у нас	1	3
2	все это	2	2
3	литературных произведений	3	2
4	и не	16	2
5	говорить о	4	1
6	и о	4	1
7	было и	2	1
8	литературы как	3	1
9	не только	20	1
10	всего в	1	1
11	в композиции	1	1
12	таким образом	3	1
13	не было	1	1
14	прежде всего	5	1
15	книги в	1	1
16	функцией в	1	1
17	и в	23	1
18	так и	12	1
19	на которой	1	1
20	и меньше	1	1
21	в своей	7	1
22	и потому	2	1
23	за пределы	2	1
24	говорить об	1	1
25	не уничтожается	1	1
26	по крайней	1	1
27	с другой	9	1
28	об этом	2	1
29	художественного произведения	4	1
30	как будто	1	1
31	другой стороны	6	1
32	крайней мере	1	1
33	было бы	1	1
34	стороны изучение	1	1
35	не следует	4	1
36	точно и	1	1
37	и ее	3	1
38	чем на	1	1
39	одной из	2	1
40	в значительной	2	1
41	свести к	1	1
42	в пределах	3	1
43	в данном	4	1
44	теории литературы	2	1
45	выпадает из	1	1
46	в области	8	1
47	далеко не	4	1
48	тем более	2	1
49	в научном	1	1
50	не вполне	2	1
51	теорию литературы	2	1
52	и более	2	1
53	что все	1	1
54	не все	2	1
55	нельзя не	1	1
56	художественном произведении	1	1
57	узко и	1	1
58	значительной степени	2	1
59	а не	13	1
60	отнюдь не	2	1
61	до конца	1	1
62	переходя к	1	1
63	ведет по	2	1
64	и на	3	1
65	между ними	5	1
66	еще не	4	1
67	автора по	1	1
68	все же	1	1
69	что в	7	1
