N	3gram	Medvedev_F	SlovoVZh
1	по отношению к	4	11
2	в нашем примере	1	7
3	не может быть	11	7
4	в том что	3	4
5	к предмету высказывания	1	4
6	как если бы	2	4
7	в художественном произведении	3	3
8	то ни было	1	3
9	до сих пор	7	3
10	этой точки зрения	1	3
11	и не в	2	3
12	бы то ни	4	3
13	тем не менее	2	3
14	бы мы ни	1	3
15	и не может	5	3
16	может быть и	4	3
17	это не так	1	2
18	только в процессе	1	2
19	имеем в виду	1	2
20	ни на один	2	2
21	на самом деле	7	2
22	художественного произведения и	2	2
23	одной стороны и	4	2
24	в жизни и	1	2
25	с этой стороны	1	2
26	в отношении к	1	2
27	в данном случае	2	2
28	конечно не может	1	2
29	в зависимости от	4	2
30	с одной стороны	5	2
31	с другой стороны	4	2
32	до известной степени	3	2
33	в ней как	1	2
34	как в нашем	1	2
35	но отнюдь не	1	2
36	с точки зрения	17	2
37	но тем не	1	2
38	в настоящее время	11	2
39	в такой же	1	2
40	со всех сторон	1	1
41	все же не	1	1
42	между тем художественное	1	1
43	сам по себе	2	1
44	художественного восприятия и	1	1
45	сами по себе	4	1
46	самом деле в	1	1
47	один шаг не	2	1
48	не должна быть	1	1
49	взаимоотношения между говорящими	1	1
50	марксистский метод в	1	1
51	для других идеологических	1	1
52	в противном случае	2	1
53	в этом достаточно	1	1
54	при этом слово	1	1
55	социологическому методу и	1	1
56	в самом деле	5	1
57	в двух направлениях	1	1
58	форму социального общения	1	1
59	структуру художественного произведения	1	1
60	такой же степени	1	1
61	таким образом во	1	1
62	на один шаг	2	1
63	таким образом лишь	1	1
64	в том и	1	1
65	что в литературе	1	1
66	чтобы убедиться в	2	1
67	особенно важное значение	1	1
68	все более и	3	1
69	общения не может	1	1
70	таким образом мы	1	1
71	в высшей степени	4	1
72	мы не найдем	1	1
73	для всего современного	1	1
74	в свою очередь	6	1
75	ничего общего с	2	1
76	и должна быть	1	1
77	вне поля рассмотрения	1	1
78	продукты идеологического творчества	1	1
79	за его пределы	1	1
80	во внутренней речи	1	1
81	по себе не	1	1
82	и в частности	2	1
83	конечно эта своеобразная	1	1
84	как и в	1	1
85	значения и ценности	1	1
86	таким образом не	3	1
87	каждый элемент ее	2	1
88	сама по себе	2	1
89	а лишь поскольку	1	1
90	следует отметить что	1	1
91	же время не	2	1
92	в высшую степень	1	1
93	в процессе этого	2	1
94	более того если	1	1
95	так называемый формальный	1	1
96	во всяком случае	6	1
97	в литературе и	1	1
98	самом же деле	1	1
99	в нем и	2	1
100	но в то	3	1
101	она не может	1	1
102	науке о литературе	1	1
103	мы ни на	1	1
104	с социологией не	1	1
105	сказать что и	1	1
106	в лучшем случае	3	1
107	и в истории	1	1
108	истории литературы и	1	1
109	равно как и	1	1
110	которая только и	1	1
111	только то что	1	1
112	только на основе	2	1
113	и теоретическая поэтика	1	1
114	широко включая сюда	1	1
115	мы увидим что	1	1
116	с самого начала	2	1
117	на самом же	1	1
118	хотя и здесь	1	1
119	же как и	1	1
120	зависимости от того	1	1
121	произведения и его	2	1
122	питающей его почвы	1	1
123	по аналогии с	4	1
124	не приблизимся к	1	1
125	общего с социологией	1	1
126	и поэтическое произведение	1	1
127	определяется прежде всего	1	1
128	в этом отношении	7	1
129	задача социологической поэтики	1	1
130	то едва ли	1	1
131	так же как	1	1
132	если бы оно	2	1
133	то же время	13	1
134	между тем как	1	1
135	таком понимании форма	1	1
136	но для этого	1	1
137	тех или иных	1	1
138	так и все	1	1
139	оставаясь в пределах	1	1
140	художественном произведении как	2	1
141	и прежде всего	2	1
142	более или менее	7	1
143	каждое жизненное высказывание	1	1
144	но и в	4	1
145	более и более	3	1
146	быть более или	1	1
147	в то же	13	1
148	мы имеем в	1	1
149	в значительной степени	3	1
150	литературы и ее	1	1
151	с другой все	1	1
152	для историка литературы	1	1
153	и его в	1	1
154	называемый формальный метод	1	1
155	не перестает быть	3	1
156	шаг не приблизимся	1	1
157	приблизимся к пониманию	1	1
158	и в этом	6	1
159	по крайней мере	1	1
160	ни в чем	1	1
161	в истории литературы	4	1
162	в этом смысле	3	1
163	или хотя бы	1	1
164	ровно ничего не	1	1
165	в процессе социального	1	1
166	вопросов связанных с	1	1
167	но все же	2	1
168	если же он	1	1
169	поэтического стиля как	1	1
170	нам кажется что	1	1
171	при таком понимании	2	1
172	и потому не	1	1
173	может быть более	1	1
174	самом деле это	1	1
175	с ним на	1	1
176	убедиться в этом	2	1
177	отнюдь не является	1	1
178	к вопросу о	1	1
