N	2gram	Tiupa_Teor	Myshleni
1	в том	20	195
2	внутренней речи	13	191
3	в этом	12	167
4	то что	6	166
5	и в	24	162
6	том что	11	161
7	в развитии	1	151
8	таким образом	3	147
9	точки зрения	11	143
10	с помощью	1	131
11	что в	10	119
12	мышления и	3	117
13	не только	24	116
14	того что	5	109
15	так же	2	100
16	речи и	4	99
17	потому что	3	95
18	того чтобы	5	91
19	может быть	22	89
20	с точки	3	89
21	что он	4	86
22	не может	8	81
23	как и	6	79
24	для того	5	78
25	так как	1	78
26	и не	17	78
27	только в	9	75
28	в целом	4	74
29	как мы	1	72
30	но и	14	70
31	заключается в	2	67
32	в его	12	67
33	сказать что	4	65
34	как бы	8	64
35	вместе с	2	62
36	представляет собой	13	60
37	и что	4	60
38	было бы	1	60
39	в качестве	33	60
40	то же	12	58
41	в основе	6	58
42	в отношении	4	55
43	могли бы	2	54
44	между собой	3	53
45	в силу	4	53
46	в самом	7	52
47	в сущности	1	51
48	к тому	4	49
49	что они	2	48
50	тем что	1	48
51	на основе	2	47
52	если бы	3	46
53	по отношению	10	45
54	но не	13	45
55	с другой	9	45
56	с тем	1	43
57	внешней речи	2	43
58	же как	1	43
59	тем самым	6	43
60	тому что	2	42
61	как это	10	42
62	отношению к	10	42
63	в ходе	5	41
64	не является	5	41
65	о том	2	40
66	по своей	8	40
67	одной стороны	3	40
68	никогда не	4	39
69	с одной	3	39
70	так и	14	39
71	в области	7	38
72	и к	3	37
73	вопрос о	1	37
74	если мы	2	37
75	мы видим	1	37
76	не в	9	37
77	в этой	3	37
78	в своем	7	36
79	речи как	1	36
80	все эти	3	36
81	как в	5	36
82	а не	14	36
83	и его	11	36
84	того же	4	35
85	можно было	1	35
86	в себе	14	35
87	в которой	3	35
88	и т.д	4	35
89	он не	5	35
90	для себя	3	35
91	связи с	3	34
92	во внутренней	2	34
93	и как	3	34
94	приводит к	6	34
95	прежде всего	3	33
96	при этом	20	33
97	по себе	2	33
98	именно в	3	32
99	и на	2	32
100	той же	1	32
101	по своему	4	32
102	же самое	1	32
103	что и	2	32
104	и тем	5	32
105	но в	12	32
106	слова и	1	32
107	все же	1	31
108	из того	1	31
109	и то	3	31
110	на то	1	30
111	этого слова	4	29
112	между тем	5	29
113	и развития	1	29
114	могут быть	5	29
115	с этим	1	28
116	самом деле	2	28
117	с этой	3	27
118	в результате	1	27
119	другой стороны	6	27
120	этом случае	1	27
121	в то	9	27
122	в своей	8	27
123	что все	1	27
124	перед нами	3	27
125	в их	4	26
126	в собственном	1	26
127	что это	1	26
128	для него	5	26
129	в частности	23	26
130	в чем	2	25
131	что она	2	25
132	еще не	6	25
133	все это	2	25
134	можно сказать	5	25
135	своего развития	1	25
136	только не	3	25
137	это не	4	25
138	тот же	1	24
139	зависимости от	1	24
140	целый ряд	1	24
141	в сфере	1	24
142	в какой	2	24
143	так что	1	24
144	в нем	7	24
145	в слове	4	24
146	как уже	2	24
147	друг друга	1	23
148	состоит в	22	23
149	бы в	1	23
150	отношение между	1	23
151	ни в	5	23
152	связи между	1	23
153	слова в	4	23
154	не могут	2	22
155	то время	1	22
156	к объекту	1	22
157	столь же	3	22
158	в известном	2	22
159	в зависимости	1	22
160	отношения между	1	22
161	и развитием	2	22
162	между ними	6	21
163	как говорит	3	21
164	же точно	1	21
165	и ее	4	21
166	на основании	1	21
167	в нашем	4	21
168	его в	4	21
169	не имеет	1	21
170	в истории	1	21
171	в сознании	1	21
172	ее в	2	21
173	и более	1	21
174	отношений между	1	21
175	отношение к	7	21
176	в виду	5	20
177	не менее	6	20
178	в котором	1	20
179	в другом	4	20
180	к которому	3	20
181	из них	1	20
182	из этих	3	20
183	на вопрос	2	20
184	в такой	1	20
185	а в	15	20
186	говорит что	2	20
187	едва ли	1	20
188	как раз	3	20
189	на этом	2	20
190	в наших	1	20
191	должно быть	1	20
192	по существу	1	20
193	и их	1	20
194	в связи	3	19
195	во всех	3	19
196	а с	3	19
197	и по	3	19
198	один из	2	19
199	но если	1	19
200	независимо от	1	19
201	в данном	9	19
202	для других	1	19
203	в той	2	19
204	с ним	1	19
205	в себя	5	19
206	из которых	2	19
207	речь в	1	19
208	к действительности	3	18
209	во всей	3	18
210	одного и	4	18
211	в отличие	7	18
212	отличие от	7	18
213	этом смысле	3	18
214	в этих	4	17
215	в своих	1	17
216	их в	3	17
217	казалось бы	2	17
218	от внешней	1	17
219	в одном	3	17
220	я не	2	17
221	не есть	1	17
222	на деле	2	17
223	в свою	4	17
224	в совершенно	1	17
225	тем же	2	17
226	до конца	1	17
227	и для	3	17
228	для этого	1	17
229	все что	1	17
230	и того	4	17
231	у него	2	17
232	этой точки	2	17
233	ту же	1	17
234	и от	1	17
235	и есть	1	17
236	то и	1	17
237	совпадает с	4	17
238	обе эти	1	17
239	и только	1	17
240	и другие	2	16
241	своей природе	3	16
242	языка и	1	16
243	значение в	1	16
244	мы имеем	7	16
245	вовсе не	3	16
246	к одному	2	16
247	и даже	2	16
248	между двумя	3	16
249	по поводу	1	16
250	то в	2	16
251	значения слов	1	16
252	для нас	1	16
253	которые в	1	16
254	тому как	3	16
255	таким же	1	16
256	является в	1	15
257	в них	2	15
258	от этого	1	15
259	и это	2	15
260	и является	2	15
261	подобно тому	3	15
262	со всеми	1	15
263	данном случае	5	15
264	тем более	2	15
265	те же	1	15
266	отличается от	2	15
267	между этими	1	15
268	но как	2	15
269	известном смысле	2	15
270	представить себе	1	15
271	том же	1	15
272	является не	1	15
273	по этому	1	15
274	свою очередь	3	14
275	одно и	2	14
276	его мысли	1	14
277	что для	1	14
278	из этого	1	14
279	первую очередь	1	14
280	и здесь	2	14
281	одним из	3	14
282	одной из	2	14
283	он должен	3	14
284	этих двух	2	14
285	от друга	1	14
286	о чем	3	14
287	в первую	1	14
288	который в	2	14
289	когда мы	1	14
290	друг от	1	14
291	значение для	1	14
292	с его	6	14
293	об этом	2	14
294	имеет место	3	13
295	в действительности	1	13
296	с другими	6	13
297	если в	2	13
298	к его	3	13
299	они не	1	13
300	но на	2	13
301	возникает в	1	13
302	значения и	2	13
303	на его	1	13
304	отнюдь не	3	13
305	она не	1	13
306	человека и	2	13
307	для всех	2	13
308	точно так	1	13
309	слова как	3	13
310	с ней	1	13
311	связана с	1	13
312	в состоянии	1	13
313	лишь в	10	13
314	стороны и	1	13
315	в уме	1	13
316	совершается в	1	13
317	с которыми	1	12
