N	3gram	Savitsky_P	DiskursI
1	в том что	4	28
2	в отличие от	1	26
3	с одной стороны	3	14
4	не может быть	1	12
5	то же время	7	10
6	в то же	7	8
7	с точки зрения	3	6
8	одной стороны и	2	5
9	с другой стороны	1	5
10	не только в	4	5
11	не в том	1	4
12	в частности в	1	4
13	в полной мере	2	4
14	и не может	1	4
15	тот или иной	1	4
16	в том числе	2	3
17	более или менее	1	3
18	том числе и	1	3
19	можно говорить о	1	3
20	и в частности	1	3
21	том что в	1	3
22	во всяком случае	1	3
23	в большинстве случаев	1	2
24	заключает в себе	2	2
25	сами по себе	3	2
26	в этом мире	1	2
27	и в то	2	2
28	но и в	2	2
29	в одно и	1	2
30	и то что	1	2
31	и не только	2	2
32	и тем самым	1	1
33	в применении к	1	1
34	на наш взгляд	1	1
35	в этом смысле	1	1
36	по сравнению с	1	1
37	в xix веке	1	1
38	хотя бы и	1	1
39	для того чтобы	1	1
40	начала и конца	1	1
41	да и само	1	1
42	в отношении к	5	1
43	но также и	1	1
44	а также отчасти	1	1
45	хотя и без	1	1
46	но в этом	1	1
47	и в качестве	1	1
48	и в этом	1	1
49	мы все же	1	1
50	в своем значении	2	1
51	но в отличие	1	1
52	за то что	1	1
53	вместе с тем	1	1
54	заключается в том	2	1
55	и именно в	1	1
56	и тем более	1	1
57	в последующие века	1	1
58	тем более что	1	1
59	в известном смысле	1	1
60	далеко не все	1	1
61	что во всех	1	1
62	между тем в	1	1
63	та или иная	1	1
64	ни к чему	1	1
