N	4gram	Trubetskoy	EvropaiC
1	до сих пор не	1	5
2	совершенно так же как	1	3
3	бы то ни было	2	3
4	одного и того же	1	3
5	как бы то ни	2	2
6	но вместе с тем	2	2
7	в то же время	2	2
8	состоит в том что	1	1
9	и для того чтобы	2	1
10	с этой точки зрения	2	1
11	общего запаса культурных ценностей	1	1
12	до сих пор еще	2	1
13	не в том что	1	1
14	то ясно что и	1	1
15	в каковом случае между	1	1
16	виде в котором они	1	1
17	одно из двух или	1	1
18	тоже с точки зрения	1	1
19	вместе с тем и	1	1
20	на то что эти	1	1
21	и т.д таким образом	1	1
22	в одно культурное целое	1	1
23	с психологической точки зрения	1	1
24	есть не более как	1	1
25	надо иметь в виду	1	1
26	а в том что	1	1
27	о том что все	1	1
28	в том числе и	4	1
29	в том виде в	2	1
30	в том что они	1	1
31	том виде в котором	1	1
32	в самом деле если	1	1
33	в том или ином	1	1
