N	4gram	Trubetskoy	Dialekti
1	в то же время	10	14
2	и то и другое	1	4
3	несмотря на то что	1	3
4	но в то же	1	3
5	во что бы то	3	2
6	что с точки зрения	1	2
7	мы уже знаем что	1	2
8	что бы то ни	3	2
9	ни того ни другого	1	2
10	ни к чему не	1	2
11	дело в том что	1	2
12	бы то ни стало	3	2
13	он на самом деле	1	1
14	в том и в	2	1
15	именно с точки зрения	1	1
16	сделать это она может	1	1
17	по существу ничем не	1	1
18	том и в другом	2	1
19	с тою разницей что	1	1
20	может и должно быть	1	1
21	и вместе с тем	2	1
22	это и есть самое	1	1
23	и в другом случае	2	1
24	заключается в том что	1	1
25	бы то ни было	1	1
26	нечего и говорить что	1	1
27	что это как не	1	1
28	на самом деле ничего	1	1
29	может привести только к	1	1
30	не может быть ибо	1	1
31	представление о себе самом	1	1
32	точно так же как	1	1
33	можно сказать только то	1	1
34	что и то и	1	1
35	и в том и	2	1
36	в том случае если	3	1
37	до сих пор мы	1	1
38	и не может быть	1	1
39	а в том что	1	1
40	но мы уже знаем	1	1
41	можно было бы показать	1	1
42	и во всяком случае	1	1
43	лишь в том случае	2	1
44	и с точки зрения	1	1
45	друг с другом в	1	1
46	только для того чтобы	1	1
47	сказать только то что	1	1
48	говорить о том что	1	1
