N	3gram	Bakhtin_Pr	Sotsiolo
1	по отношению к	12	2
2	в том что	6	2
3	в конце концов	7	2
4	не в том	1	2
5	это и есть	1	1
6	в каждом своем	1	1
7	и в то	2	1
8	конечно не в	2	1
9	из тех кто	1	1
10	в то же	13	1
11	на этот основной	1	1
12	друг от друга	1	1
13	мы переходим к	2	1
14	как бы он	1	1
15	а между тем	1	1
16	ни на что	1	1
17	может развиваться в	1	1
18	выходит за пределы	1	1
19	с одной стороны	1	1
20	в связи с	1	1
21	то же самое	1	1
22	историка литературы и	1	1
23	этот основной вопрос	1	1
24	поставить и разрешить	1	1
25	то что в	1	1
26	по крайней мере	2	1
27	то же время	13	1
28	в этом не	1	1
29	в противном случае	1	1
30	только то что	2	1
31	бы он ни	2	1
32	сама по себе	5	1
33	не должна быть	1	1
34	но только в	1	1
35	это вовсе не	2	1
36	во всяком случае	4	1
37	а в том	1	1
38	и наконец в	2	1
39	том что это	1	1
40	все эти вопросы	1	1
41	в сущности есть	1	1
42	и в этом	5	1
43	в том и	2	1
44	не может не	1	1
45	дело конечно не	1	1
46	именно в том	1	1
47	в настоящее время	3	1
48	в лучшем случае	2	1
49	часть нашей работы	1	1
50	не было бы	1	1
51	они ни были	1	1
