N	2gram	Bakhtin_KF	EvropaiC
1	в том	6	31
2	и в	28	24
3	том что	4	20
4	все эти	11	19
5	то что	7	18
6	не может	29	18
7	может быть	45	17
8	до сих	1	15
9	все же	5	15
10	сих пор	1	15
11	точки зрения	13	14
12	в этом	15	13
13	все это	10	13
14	самом деле	3	12
15	с этим	1	12
16	между тем	4	12
17	в своем	17	12
18	по отношению	26	11
19	но и	9	11
20	культуры и	5	11
21	отношению к	22	11
22	все что	1	10
23	не только	5	10
24	так и	2	10
25	как и	5	10
26	культуры в	1	10
27	во всех	11	10
28	из себя	11	10
29	как бы	9	10
30	что в	4	9
31	при этом	4	9
32	в результате	1	9
33	не в	13	9
34	и все	9	9
35	и не	28	9
36	потому что	2	9
37	на то	1	9
38	того же	1	9
39	в самом	1	8
40	с точки	10	8
41	ясно что	3	8
42	к тому	1	8
43	для того	3	8
44	если бы	8	8
45	того чтобы	2	8
46	так как	1	7
47	того что	3	7
48	что и	7	7
49	на самом	3	7
50	своей культуре	1	7
51	что он	2	7
52	не менее	3	7
53	о том	3	7
54	вместе с	1	7
55	по своей	1	7
56	в этой	2	7
57	в сознании	2	7
58	для этого	2	7
59	мы можем	1	6
60	и на	3	6
61	несмотря на	1	6
62	с ним	5	6
63	только в	18	6
64	в мире	8	6
65	отличается от	1	6
66	еще не	5	6
67	все они	2	6
68	должна быть	4	6
69	в то	3	6
70	лишь при	3	6
71	и для	10	6
72	и к	1	5
73	как к	2	5
74	ничем не	1	5
75	должно быть	6	5
76	в его	42	5
77	из всех	1	5
78	что это	4	5
79	пор не	1	5
80	его в	5	5
81	в которой	1	5
82	но все	6	5
83	и с	1	5
84	именно в	5	5
85	по своему	3	5
86	на все	1	5
87	быть и	3	5
88	не будет	2	5
89	и их	6	5
90	лишь в	8	5
91	в себе	21	5
92	и от	1	5
93	что все	1	5
94	столь же	1	5
95	к этому	2	5
96	в целом	10	5
97	но в	5	5
98	и то	2	4
99	ее и	6	4
100	та же	3	4
101	самого себя	1	4
102	и культура	1	4
103	хотя и	1	4
104	тем не	2	4
105	совершенно не	7	4
106	из которых	2	4
107	это есть	2	4
108	в их	9	4
109	в виде	2	4
110	будет тем	1	4
111	с тем	2	4
112	не есть	22	4
113	между собой	1	4
114	том случае	1	4
115	а с	2	4
116	что мы	1	4
117	данный момент	3	4
118	мы уже	1	4
119	ни один	1	4
120	хотя бы	5	4
121	то ни	2	4
122	мы должны	1	4
123	для меня	22	4
124	что эта	2	4
125	признать что	1	4
126	и т.д	4	4
127	отношение к	6	4
128	и культуры	1	4
129	том же	1	4
130	в области	2	4
131	культуры как	1	4
132	он не	6	4
133	если мы	1	4
134	всех этих	3	4
135	то же	5	4
136	никогда не	5	4
137	ближе к	3	3
138	во всем	7	3
139	бы то	2	3
140	на почве	1	3
141	от него	3	3
142	только что	1	3
143	и по	1	3
144	тогда когда	3	3
145	освободиться от	1	3
146	ни было	4	3
147	в нашем	1	3
148	и говорить	1	3
149	для нас	4	3
150	прежде всего	4	3
151	одно из	1	3
152	же не	1	3
153	коренным образом	1	3
154	в этих	1	3
155	различия между	1	3
156	чем в	1	3
157	в нем	32	3
158	в жизни	2	3
159	не подлежит	1	3
160	различия в	2	3
161	настоящее время	1	3
162	в истории	1	3
163	может не	2	3
164	вследствие этого	2	3
165	и это	12	3
166	ничего общего	2	3
167	жизнь и	2	3
168	только одно	1	3
169	и того	2	3
170	и потому	2	3
171	в данном	2	3
172	и других	2	3
173	вопрос о	2	3
174	в ней	3	3
175	и может	3	3
176	должны быть	1	3
177	может служить	1	3
178	это не	10	3
179	тем самым	4	3
180	и до	1	3
181	конечно не	7	3
182	уже и	1	3
183	от того	3	3
184	к которой	2	3
185	а в	5	3
186	а лишь	3	3
187	было бы	8	3
188	как мы	1	3
189	что только	2	3
190	мы будем	1	3
191	образом в	1	3
192	но не	12	3
193	в настоящее	1	3
194	одного и	2	3
195	тот же	3	3
196	и наконец	1	3
197	подлежит сомнению	1	3
198	представляют из	1	3
199	все в	1	2
200	что за	2	2
201	к такому	1	2
202	и весь	4	2
203	только не	1	2
204	во втором	1	2
205	образом и	1	2
206	что эти	1	2
207	то есть	1	2
208	этот процесс	1	2
209	на том	1	2
210	для себя	7	2
211	для него	13	2
212	следует что	1	2
213	а это	2	2
214	тем как	3	2
215	а затем	1	2
