N	3gram	Bakhtin_Pr	Tragedij
1	то же время	3	5
2	в то же	3	5
3	так и в	2	3
4	в том что	3	2
5	с первого же	1	2
6	и как бы	1	2
7	и в частности	2	2
8	но в то	1	2
9	в данном случае	4	2
10	и в самом	1	2
11	в отличие от	5	2
12	а между тем	1	1
13	смысле этого слова	1	1
14	отношение к нему	1	1
15	это как бы	1	1
16	первого же взгляда	1	1
17	но несмотря на	1	1
18	и должно быть	1	1
19	в применении к	3	1
20	вообще не имеет	1	1
21	не может быть	11	1
22	в известной степени	2	1
23	и т п	13	1
24	она как бы	1	1
25	и теперь еще	1	1
26	по сравнению с	1	1
27	может быть понят	1	1
28	во всех видах	1	1
29	не могут быть	2	1
30	в высшей степени	5	1
31	бы и в	1	1
32	хотя бы и	1	1
33	как и в	1	1
34	в связи с	1	1
35	уже не к	1	1
36	в самом деле	3	1
37	к тому что	1	1
38	необходимо подчеркнуть что	1	1
39	тем не менее	3	1
40	и должна быть	1	1
41	в известной мере	1	1
42	принципиальный отказ от	1	1
43	это и есть	1	1
44	отметить что в	1	1
45	быть отнесены к	1	1
46	без которой не	1	1
47	и не может	2	1
48	и в этом	1	1
49	отнюдь не является	1	1
