N	3gram	Propp_Isto	VrazhdaK
1	в связи с	5	3
2	в том что	8	2
3	в этот момент	1	2
4	не может быть	4	2
5	с точки зрения	1	2
6	целый ряд деталей	2	2
7	только при помощи	1	1
8	но для нас	1	1
9	ни тот ни	1	1
10	и все что	1	1
11	в свою очередь	1	1
12	о чем говорилось	1	1
13	постепенно выясняется что	1	1
14	в то время	2	1
15	и в котором	1	1
16	равно как и	1	1
17	тот ни другой	1	1
18	следить за тем	1	1
19	же сообщается о	1	1
20	точно так же	8	1
21	так же как	7	1
22	на то что	4	1
23	в соответствии с	1	1
24	это дает нам	1	1
25	заключается в том	1	1
26	в родстве с	1	1
27	что в нем	1	1
28	имеется в виду	1	1
29	и то что	4	1
30	не только не	2	1
31	и никому не	1	1
32	о том что	3	1
33	смерти отца героя	1	1
34	я не знаю	3	1
35	было одним из	1	1
36	до сих пор	7	1
37	но в этом	1	1
38	не все ясно	1	1
39	с тех пор	1	1
40	во всяком случае	2	1
41	тем не менее	6	1
42	все же он	1	1
43	во второй раз	2	1
44	с другой стороны	10	1
45	в другой раз	1	1
46	то что они	1	1
47	связи с этим	1	1
48	но и это	1	1
49	это и есть	2	1
50	за тем чтобы	1	1
51	тем более что	1	1
52	независимо от того	2	1
53	не только как	1	1
54	между прочим и	2	1
55	тем что он	1	1
56	все же не	1	1
57	и не может	1	1
58	может быть и	1	1
