N	2gram	Losev_Vesc	Analitik
1	не только	48	71
2	тогда как	3	67
3	и в	44	66
4	в качестве	4	61
5	но и	19	57
6	в том	15	52
7	может быть	37	52
8	в этом	17	51
9	в частности	3	51
10	как и	15	50
11	и не	57	48
12	а не	34	42
13	при этом	1	40
14	том что	13	40
15	то есть	2	35
16	так и	4	35
17	отнюдь не	8	29
18	как бы	19	29
19	не может	44	29
20	а в	6	28
21	в его	5	27
22	и его	4	27
23	не в	14	26
24	но не	9	26
25	в себе	23	24
26	не случайно	2	24
27	что в	11	22
28	и даже	12	22
29	к тому	3	22
30	в этой	4	22
31	лишь в	1	21
32	о том	11	20
33	я в	3	20
34	в самом	13	19
35	то же	12	19
36	в своей	6	19
37	с его	2	19
38	но в	8	19
39	в данном	6	18
40	в то	11	18
41	тем самым	2	17
42	с другой	8	17
43	только в	23	17
44	со стороны	9	17
45	или иной	1	17
46	в целом	3	17
47	что и	11	16
48	могут быть	1	16
49	то что	47	16
50	в пределах	1	16
51	и на	2	15
52	не есть	79	15
53	уже не	15	15
54	прежде всего	17	15
55	в сущности	7	15
56	в их	4	15
57	в принципе	1	14
58	не менее	11	14
59	того же	5	14
60	себя в	11	14
61	я и	8	14
62	в себя	13	14
63	той или	3	14
64	мы имеем	8	14
65	же время	4	14
66	в отличие	1	14
67	данном случае	2	14
68	отличие от	1	14
69	далеко не	2	14
70	по себе	22	13
71	точки зрения	10	13
72	тому же	1	13
73	в случае	1	13
74	он не	4	13
75	этого слова	1	13
76	ничего не	12	13
77	как раз	16	13
78	для него	8	13
79	а также	1	13
80	в начале	1	13
81	и к	1	12
82	и сам	3	12
83	никогда не	5	12
84	как это	4	12
85	в первой	2	12
86	сводится к	4	12
87	как в	3	12
88	еще не	12	12
89	есть не	17	12
90	в той	6	11
91	даже в	1	11
92	имеем дело	3	11
93	по своей	3	11
94	в свою	5	11
95	той же	2	11
96	это не	9	11
97	можно сказать	8	11
98	и как	12	11
99	не с	8	11
100	не следует	1	11
101	нуждается в	2	11
102	именно в	2	10
103	все же	18	10
104	едва ли	1	10
105	с одной	3	10
106	в конце	3	10
107	было бы	24	10
108	однако в	3	10
109	подобно тому	5	10
110	отношения к	3	10
111	здесь не	2	10
112	того или	1	10
113	и самого	1	10
114	один из	5	10
115	на себя	5	10
116	говорить о	9	9
117	говорит о	3	9
118	не столько	2	9
119	в результате	9	9
120	другой стороны	3	9
121	и того	2	9
122	одной стороны	3	9
123	свою очередь	5	9
124	том чтобы	2	9
125	в своем	9	9
126	по поводу	1	9
127	крайней мере	10	9
128	таким образом	16	9
129	во всех	5	9
130	только не	5	9
131	вместе с	4	9
132	по крайней	10	9
133	тому как	5	9
134	того что	16	9
135	личности в	1	9
136	дело с	1	8
137	о чем	2	8
138	не всегда	1	8
139	между двумя	1	8
140	одной из	1	8
141	с ним	8	8
142	если бы	8	8
143	и все	6	8
144	что он	7	8
145	перед нами	3	8
146	не является	3	8
147	в основе	4	8
148	с точки	6	8
149	хотя и	5	8
150	этом отношении	2	8
151	времени и	1	8
152	дело не	4	8
153	он и	2	8
154	одного из	2	8
155	во всяком	4	7
156	в противоположность	1	7
157	в другом	3	7
158	в одном	6	7
159	как мы	6	7
160	одна из	6	7
161	от себя	1	7
162	не мог	3	7
163	по природе	2	7
164	по преимуществу	2	7
165	как нам	1	7
166	внимание на	1	7
167	несмотря на	6	7
168	в ее	8	7
169	у него	3	7
170	в таком	1	7
171	природе своей	2	7
172	личности и	1	7
173	и тем	7	7
174	в свое	2	7
175	и является	1	7
176	приводит к	2	7
177	свое время	2	7
178	собственно говоря	5	7
179	всяком случае	2	7
180	и для	13	7
181	все это	7	7
182	со своим	8	7
183	однако не	4	7
184	субъекта и	1	7
185	или иначе	5	7
186	себя и	8	7
187	что иное	12	7
188	как будто	2	7
189	иное как	12	7
190	во всем	2	6
191	для всех	1	6
192	с самим	4	6
193	так или	5	6
194	или в	3	6
195	казалось бы	3	6
196	одного и	1	6
197	хотя бы	9	6
198	превращается в	3	6
199	не что	12	6
200	вовсе не	11	6
201	из них	7	6
202	то в	4	6
203	тем не	11	6
204	что не	11	6
205	однако при	1	6
206	вопроса о	3	6
207	не будет	13	6
208	могла бы	3	6
209	его как	2	6
210	в силу	4	6
211	в нем	6	6
212	если в	1	6
213	на этом	4	6
214	из которых	3	6
215	из того	3	6
216	и более	4	6
217	из этих	1	6
218	в сознании	1	6
219	и то	14	6
220	ответ на	1	6
221	уже в	2	6
222	есть в	4	6
223	ли не	1	6
224	должен быть	5	6
225	его в	8	6
226	тем более	3	6
227	мере в	2	6
228	полной мере	1	6
229	в полной	2	6
230	объекта и	1	6
231	же в	1	6
232	что на	2	6
233	все что	3	5
234	которая в	1	5
235	не так	2	5
236	не как	2	5
237	а затем	2	5
238	в этих	1	5
239	в них	1	5
240	в первом	2	5
241	тем что	7	5
242	в один	1	5
243	речь идет	1	5
244	смысла как	1	5
245	а а	2	5
246	в котором	4	5
247	для того	3	5
248	для себя	6	5
249	в слове	2	5
250	к этому	2	5
251	и он	1	5
252	проявляется в	1	5
253	с другими	8	5
254	ни в	11	5
255	не о	2	5
256	будто бы	1	5
257	я не	7	5
258	и до	6	5
259	того и	2	5
260	но как	3	5
261	а с	3	5
262	так что	9	5
263	и по	1	5
264	и потому	8	5
265	с ее	10	5
266	в особенности	3	5
267	во втором	2	5
268	и здесь	5	5
269	том или	2	5
270	не могут	1	5
271	самом деле	7	5
272	с таким	1	5
273	как о	5	5
274	к его	2	5
275	жизни в	3	5
276	да и	5	5
277	еще и	11	5
278	совершенно не	11	5
279	что мы	17	5
280	а и	13	5
281	за пределами	1	5
282	в аспекте	1	5
283	тот же	4	5
284	этом случае	1	5
285	ни с	8	5
286	на вопрос	2	5
287	мы не	8	5
288	с их	1	5
289	это всегда	1	5
290	самим собою	2	5
291	в общем	1	5
292	все эти	5	5
293	одно из	2	5
294	и их	11	5
295	таким же	1	5
296	однако и	1	4
297	а вот	3	4
298	строго говоря	1	4
299	его от	2	4
300	в своих	3	4
301	к самому	1	4
302	в собственном	3	4
303	отличается от	8	4
304	так в	1	4
305	с этим	4	4
306	нам не	2	4
307	реальности и	4	4
308	в действительности	7	4
309	в любом	1	4
310	только на	3	4
311	что же	17	4
312	самом начале	1	4
313	сказать что	21	4
314	жизни как	1	4
315	на него	3	4
316	что она	23	4
317	воли и	1	4
318	не все	3	4
319	к нему	3	4
320	ни было	12	4
321	не было	4	4
322	в которой	5	4
323	одним из	1	4
324	смысла но	2	4
325	лишь на	1	4
326	между ними	6	4
327	в двух	1	4
328	в чем	10	4
329	на себе	5	4
330	бы в	9	4
331	могли бы	1	4
332	мы уже	3	4
333	то ни	13	4
334	и что	22	4
335	этом смысле	2	4
336	и от	4	4
337	и есть	40	4
338	чем и	1	4
339	была бы	3	4
340	как он	2	4
341	в отношении	7	4
342	смысла в	1	4
343	а именно	1	4
344	с ними	4	4
345	и т	37	4
346	говоря и	1	4
347	это и	12	4
348	его и	4	4
349	потому что	25	4
350	того чтобы	4	4
351	и если	5	4
