N	2gram	Tiupa_Vved	Tragedij
1	и в	23	18
2	в романе	6	10
3	в этом	27	9
4	в году	2	9
5	не только	32	8
6	и на	5	7
7	и не	24	7
8	может быть	25	7
9	и с	2	7
10	как бы	8	7
11	он сам	1	7
12	что он	2	6
13	у него	8	6
14	же время	4	6
15	в образе	1	6
16	но в	14	6
17	и его	9	6
18	это не	7	5
19	несмотря на	2	5
20	что это	2	5
21	так и	14	5
22	к жизни	2	5
23	все же	10	5
24	у достоевского	1	5
25	то же	8	5
26	как и	21	5
27	не может	14	5
28	в то	5	5
29	что в	6	4
30	в себе	15	4
31	и даже	3	4
32	все это	3	4
33	прежде всего	11	4
34	и все	8	4
35	об этом	5	4
36	еще не	8	4
37	но и	31	4
38	том что	16	4
39	и что	2	4
40	так же	2	4
41	то что	9	4
42	в этой	2	4
43	что я	2	4
44	в нем	9	4
45	но это	4	4
46	в целом	4	4
47	своего рода	20	3
48	и он	4	3
49	один из	3	3
50	уже в	2	3
51	в его	9	3
52	для него	5	3
53	в своем	9	3
54	с ним	3	3
55	о чем	4	3
56	и сам	2	3
57	в конце	3	3
58	и как	2	3
59	в мире	9	3
60	как в	8	3
61	в поле	1	3
62	то есть	13	3
63	при этом	43	3
64	жизнь и	1	3
65	один в	1	3
66	как это	2	3
67	тем самым	6	3
68	с ее	3	3
69	мог бы	2	3
70	как будто	6	3
71	отнюдь не	14	3
72	все эти	1	3
73	к нему	2	3
74	о жизни	2	2
75	в самом	6	2
76	лицо его	1	2
77	не так	1	2
78	и то	1	2
79	еще раз	1	2
80	и здесь	2	2
81	со мной	1	2
82	данном случае	15	2
83	от счастья	1	2
84	в том	21	2
85	ивана карамазова	1	2
86	это уже	2	2
87	он и	2	2
88	с тем	1	2
89	в ее	1	2
90	говорит о	1	2
91	как у	3	2
92	даже если	1	2
93	что и	6	2
94	бы и	4	2
95	но при	7	2
96	чем он	1	2
97	к области	1	2
98	что все	1	2
99	не могут	1	2
100	в виде	1	2
101	его в	1	2
102	по контрасту	1	2
103	этим объясняется	1	2
104	не в	12	2
105	в первом	3	2
106	было в	2	2
107	еще в	3	2
108	в таком	2	2
109	между этими	1	2
110	одном из	1	2
111	имеет в	1	2
112	и это	2	2
113	отца и	1	2
114	уже не	7	2
115	к тому	9	2
116	о том	7	2
117	перед нами	13	2
118	а что	1	2
119	не имеет	3	2
120	ни как	2	2
121	и я	1	2
122	впечатление что	1	2
123	на всем	1	2
124	не человек	1	2
125	в данном	22	2
126	только к	1	2
127	права на	1	2
128	что этот	1	2
129	отличие от	11	2
130	раз и	2	2
131	он был	1	2
132	то и	2	2
133	потому что	7	2
134	личности и	1	2
135	так что	1	2
136	времени в	3	2
137	в рассказе	15	2
138	он не	6	2
139	по поводу	5	2
140	если б	1	2
141	в частности	19	2
142	из мертвого	1	2
143	на меня	1	2
144	но они	3	2
145	в одном	5	2
146	и до	1	2
147	в глаза	1	2
148	в отличие	11	2
149	отношение к	5	2
150	году в	2	2
151	в ходе	3	2
152	до конца	5	2
153	столь же	3	2
154	что она	2	2
155	который в	5	2
156	одна из	5	2
157	с его	1	2
158	а как	1	2
159	тут же	3	2
160	не мог	2	2
161	тем что	2	2
162	не просто	2	2
163	не случайно	1	2
164	и ее	2	2
165	никогда не	6	2
166	в известной	1	2
167	ничего не	3	2
168	жизнью и	1	2
169	друг друга	1	2
170	любви и	2	2
171	в той	5	1
172	терпеть не	1	1
173	в особенности	3	1
174	ситуации и	4	1
175	во всем	1	1
