N	2gram	Voloshinov	Mirosoze
1	и в	12	97
2	может быть	14	64
3	не только	4	63
4	в этом	4	55
5	но и	3	54
6	он не	2	53
7	а не	5	53
8	в нем	6	49
9	не может	16	49
10	у него	1	47
11	и не	10	39
12	никогда не	5	38
13	в ней	6	37
14	не было	1	36
15	не в	4	34
16	для него	3	31
17	не есть	2	30
18	как и	5	29
19	прежде всего	8	29
20	и он	1	27
21	но в	5	27
22	в своей	3	25
23	и это	1	25
24	и все	2	24
25	у нас	1	24
26	в своем	2	23
27	что в	2	23
28	в самом	4	21
29	в себе	3	20
30	отношение к	4	20
31	как бы	13	19
32	до конца	2	19
33	в его	2	18
34	того что	3	17
35	и потому	2	17
36	том что	5	16
37	в том	6	16
38	то что	5	16
39	было бы	1	16
40	и его	13	16
41	в котором	3	15
42	не знает	1	15
43	она не	2	14
44	нет ничего	2	14
45	в творчестве	3	14
46	так как	9	14
47	та же	1	13
48	и на	4	13
49	из подполья	1	13
50	друг друга	1	13
51	и вот	1	13
52	в них	3	12
53	к нему	4	12
54	но не	2	12
55	это не	2	12
56	все это	3	12
57	и к	4	11
58	уже не	4	11
59	хотя бы	5	11
60	в русской	1	11
61	только в	6	11
62	как в	5	11
63	но это	2	11
64	и для	3	11
65	менее всего	1	11
66	жизни и	4	11
67	то же	5	10
68	так же	3	10
69	должна быть	5	10
70	не могут	1	10
71	это и	1	10
72	к тому	1	9
73	должно быть	1	9
74	что и	2	9
75	человек и	1	9
76	то есть	1	9
77	с ним	3	9
78	вместе с	2	9
79	в свою	1	9
80	и во	1	9
81	есть уже	2	9
82	от него	1	8
83	в этих	2	8
84	и с	3	8
85	о том	3	8
86	себя в	1	8
87	что не	4	8
88	за пределы	4	8
89	не так	2	8
90	в отношении	2	8
91	творчестве достоевского	1	8
92	того чтобы	1	8
93	отношении к	3	8
94	с его	2	8
95	ничего не	2	8
96	они не	1	8
97	уже в	2	8
98	только и	1	8
99	не существует	1	7
100	в нашем	11	7
101	что все	1	7
102	точки зрения	14	7
103	все в	1	7
104	те же	2	7
105	что она	1	7
106	на этом	1	7
107	от нее	1	7
108	в жизни	5	7
109	жизни в	1	7
110	себя и	2	7
111	но если	1	7
112	высшей степени	1	7
113	в высшей	1	7
114	к другу	1	6
115	с этой	2	6
116	не как	1	6
117	было в	1	6
118	увидим что	1	6
119	и те	2	6
120	когда человек	1	6
121	его в	4	6
122	записок из	1	6
123	и она	1	6
124	можно было	1	6
125	по своей	1	6
126	чтобы не	1	6
127	и здесь	2	6
128	друг к	1	6
129	что это	1	6
130	если бы	9	6
131	бы не	2	6
132	в ее	1	6
133	не способен	2	6
134	и более	3	6
135	на все	2	6
136	жизнь и	1	6
137	быть и	3	6
138	не к	3	6
139	еще не	3	5
140	одно из	1	5
141	во всяком	1	5
142	для этого	1	5
143	мы увидим	1	5
144	сказать что	7	5
145	к которому	1	5
146	все время	6	5
147	в атмосфере	2	5
148	момент в	1	5
149	по преимуществу	1	5
150	на протяжении	1	5
151	отказывается от	1	5
152	сих пор	3	5
153	и мир	1	5
154	должны быть	1	5
155	в то	2	5
156	когда он	3	5
157	до сих	3	5
158	оно не	2	5
159	и мы	1	5
160	да и	3	5
161	его и	1	5
162	то он	1	5
163	в основе	1	5
164	тот же	1	5
165	так и	4	5
166	думать что	1	5
167	как будто	1	5
168	в момент	2	4
169	еще более	1	4
170	потому не	1	4
171	не хочет	1	4
172	человека для	1	4
173	культуры в	1	4
174	в такой	3	4
175	жизни он	1	4
176	нельзя было	1	4
177	не всегда	1	4
178	по отношению	11	4
179	себе в	1	4
180	него не	1	4
181	что они	1	4
182	ее и	3	4
183	теряет свою	1	4
184	и можно	1	4
185	не раскрывает	1	4
186	время как	1	4
187	себе и	1	4
188	в чем	2	4
189	а с	1	4
190	и что	2	4
191	и по	3	4
192	тогда когда	2	4
193	оторвался от	1	4
194	для них	1	4
195	ни в	3	4
196	и тот	1	4
197	с ней	1	4
198	то время	1	4
199	как о	1	4
200	от его	1	4
201	к которой	1	4
202	и тогда	1	4
203	в истории	1	4
204	мы еще	1	4
205	он должен	3	4
206	как к	3	4
207	не знают	1	4
208	могут быть	2	4
209	мы не	3	4
210	одна и	1	4
211	социальной среды	2	4
212	все равно	1	4
213	все эти	3	4
214	есть в	1	4
215	и их	1	4
216	от того	4	4
217	отношению к	11	4
218	место в	2	4
219	и только	1	4
220	является в	1	3
221	в душе	2	3
222	природы это	1	3
223	о чем	1	3
224	в виду	5	3
225	не бывает	1	3
226	ко всем	2	3
227	все же	4	3
228	чем не	1	3
229	даже и	1	3
230	входит в	1	3
231	в одном	1	3
232	значительной степени	1	3
233	конечно не	3	3
234	не вполне	1	3
235	но этот	2	3
236	приходят к	1	3
237	к этому	2	3
238	есть выражение	1	3
239	хотя и	1	3
240	я и	1	3
241	не остается	2	3
242	же как	1	3
243	во всех	1	3
244	остается в	1	3
245	ту же	1	3
246	между тем	3	3
247	и тем	1	3
248	и та	2	3
249	и самый	1	3
250	и самое	2	3
251	это уже	1	3
252	в идиоте	1	3
253	с таким	1	3
254	в пределах	3	3
255	уж конечно	1	3
256	как не	2	3
257	к его	2	3
258	ли он	1	3
259	в значительной	1	3
260	сознание и	1	3
261	и кровь	1	3
262	а лишь	1	3
263	тому как	1	3
264	всяком случае	1	3
265	из него	2	3
266	же он	1	3
267	выходит за	1	3
268	литературы и	4	3
269	из этой	1	3
270	проникает в	1	3
271	и то	2	3
272	что оно	1	3
273	для нас	7	3
274	ведь это	1	3
275	от всех	2	3
276	а к	2	3
277	бытия и	1	3
278	и эта	1	3
279	что всякий	1	3
280	мы должны	1	3
281	человеческого общества	2	3
282	природой и	1	3
283	но для	3	3
284	с которой	1	2
285	любим и	1	2
286	я знаю	1	2
287	тем как	2	2
288	этом направлении	1	2
289	по себе	3	2
290	уже на	1	2
291	более и	1	2
292	выйти из	1	2
293	не менее	3	2
294	только для	1	2
295	которой он	1	2
296	во многих	1	2
297	делает его	2	2
298	с другой	4	2
299	они должны	1	2
300	не имеющих	1	2
301	то в	1	2
302	такой степени	1	2
303	по природе	2	2
304	но из	1	2
305	она в	1	2
306	протяжении всей	1	2
307	любит и	2	2
308	связи с	1	2
309	дано в	1	2
310	между ними	2	2
311	в смысле	1	2
312	на которую	1	2
313	смысл и	2	2
314	себя на	1	2
315	природу и	1	2
316	когда мы	1	2
317	столь же	1	2
318	его к	2	2
319	и ее	3	2
320	нее не	1	2
321	и который	1	2
322	и менее	1	2
323	была бы	2	2
324	сам по	1	2
325	от этой	2	2
326	подобно тому	1	2
327	самом деле	3	2
