N	3gram	Nazirov_Tr	Hudozhes
1	в том что	2	8
2	в то же	5	7
3	в отличие от	2	7
4	то же время	5	7
5	не может быть	1	4
6	и в самом	2	3
7	в виду не	1	3
8	тем не менее	1	3
9	в связи с	1	3
10	в самом деле	1	2
11	в этом мире	1	2
12	том что он	1	2
13	к тому что	1	2
14	точно так же	2	1
15	что он не	1	1
16	и не быть	1	1
17	и как бы	2	1
18	преступлении и наказании	2	1
19	в последней главе	1	1
20	в известной степени	1	1
21	о том что	2	1
22	в xix веке	1	1
23	добро и зло	1	1
24	черт ивана карамазова	1	1
25	как и в	1	1
26	не только к	1	1
27	ивана карамазова в	1	1
28	друг перед другом	1	1
29	у достоевского в	1	1
30	и пусть пусть	1	1
31	и в частности	2	1
32	но в то	2	1
33	в этом состоит	1	1
34	говорит о его	1	1
35	в этом случае	1	1
36	не могут быть	1	1
37	позиции в мире	1	1
38	это и есть	1	1
39	в преступлении и	2	1
