N	3gram	Savitsky_E	FransuaR
1	то же время	14	55
2	в то же	15	55
3	в том что	6	27
4	в том числе	1	27
5	в большинстве случаев	2	22
6	с точки зрения	16	20
7	но в то	2	20
8	в этом отношении	3	20
9	для того чтобы	5	17
10	том числе и	1	17
11	в связи с	1	16
12	большей или меньшей	1	16
13	как мы видели	2	16
14	то есть в	1	15
15	но и в	1	15
16	в большей или	1	15
17	или меньшей степени	1	14
18	и прежде всего	3	14
19	не может быть	2	13
20	дело в том	1	13
21	с одной стороны	8	13
22	а также и	1	12
23	и в то	8	12
24	с другой стороны	2	12
25	в отличие от	1	11
26	можно сказать что	3	11
27	в той или	3	10
28	той или иной	4	10
29	в данном случае	2	10
30	в значительной степени	1	10
31	не только в	4	10
32	так и в	2	9
33	в эту эпоху	1	9
34	более или менее	1	8
35	мы видели что	1	8
36	в то время	1	7
37	можно было бы	3	7
38	прежде всего в	2	7
39	во всех этих	1	7
40	в значительной мере	1	7
41	к тому же	1	6
42	выходит за пределы	1	6
43	в свою очередь	2	6
44	одной стороны и	6	5
45	в применении к	3	5
46	до настоящего времени	1	5
47	друг с другом	3	5
48	в одной из	1	5
49	по сравнению с	2	5
50	и в частности	2	5
51	во всяком случае	3	5
52	и тот же	1	5
53	в том же	1	5
54	вместо того чтобы	1	5
55	то что в	2	4
56	сказать что в	2	4
57	в одном из	2	4
58	связи с этим	1	4
59	на этот вопрос	1	4
60	так же как	5	4
61	во второй половине	2	4
62	в нем и	1	4
63	также и в	1	4
64	вовсе не в	1	4
65	может быть и	1	4
66	по своему характеру	2	4
67	один и тот	1	4
68	же время в	1	4
69	о котором мы	1	4
70	и до настоящего	1	4
71	или иной степени	1	3
72	в этом процессе	1	3
73	друг от друга	2	3
74	и связанной с	1	3
75	смысле этого слова	1	3
76	и в отношении	1	3
77	и того же	1	3
78	как бы ни	3	3
79	большей степени чем	1	3
80	но и для	1	3
81	в себе в	1	3
82	в этом смысле	3	3
83	одного и того	1	3
84	именно потому что	1	3
85	тех или иных	1	3
86	и не в	1	3
87	бы то ни	4	3
88	и в этом	4	3
89	заключается в том	2	3
90	неправильно думать что	1	3
91	еще далеко не	1	3
92	она никогда не	1	2
93	как и всякая	1	2
94	же время не	1	2
95	и всего мира	1	2
96	как и его	1	2
97	из всех великих	1	2
98	но не только	2	2
99	и по своей	1	2
100	но также и	1	2
101	другой стороны в	1	2
102	то ни было	4	2
103	из того что	2	2
104	и только в	2	2
105	мира то есть	1	2
106	и в начале	1	2
107	несмотря на его	1	2
108	этот вопрос мы	1	2
109	культуры и в	1	2
110	хотя бы в	2	2
111	не могут быть	1	2
112	точки зрения этих	1	2
113	но от этого	1	2
114	в полной мере	1	2
115	можем сказать что	1	2
116	было бы неправильно	1	2
117	и будущего в	1	2
118	о том насколько	1	2
119	а также в	1	2
120	и не только	1	2
121	мы можем сказать	2	2
122	так и по	1	2
123	это один из	1	2
124	только в пределах	1	2
125	культуры между тем	1	2
126	а именно в	1	2
127	вовлекает в свой	1	2
128	в известном смысле	3	2
129	только тогда когда	1	2
130	было связано с	1	2
131	не имеет значения	1	2
132	и не было	1	2
133	и та же	1	2
134	и с точки	1	2
135	же как и	3	2
136	одна и та	1	2
137	мы не можем	1	2
138	как одной из	1	2
139	друг к другу	1	2
140	ни для каких	1	1
141	между ними и	2	1
142	и чем больше	1	1
143	главным образом к	1	1
144	мы не находим	1	1
145	в соответствии с	1	1
146	и связанное с	1	1
147	хотя бы и	3	1
148	месяцев и даже	1	1
149	например в том	1	1
150	кроме того что	1	1
151	из русской истории	1	1
152	то что может	1	1
153	существенное значение в	1	1
154	и примыкающих к	1	1
155	прежде всего к	2	1
156	но в отношении	1	1
157	мыслится как нечто	1	1
158	и тем самым	1	1
159	xviii и xix	2	1
160	и xix веках	1	1
161	в последнее время	1	1
162	культуры вовсе не	1	1
163	для каждого товара	1	1
164	на этот раз	1	1
165	в тех случаях	1	1
166	в самом процессе	1	1
167	чуть ли не	1	1
168	бы еще более	1	1
169	и приближаются к	1	1
170	на своем пути	1	1
171	при известных условиях	1	1
172	народа который не	1	1
173	плоти и кровь	1	1
174	то мы увидим	1	1
175	значение имеют в	1	1
176	мире в отношении	1	1
177	усиливается тем что	1	1
178	к тому чтобы	2	1
179	так и с	1	1
180	но как бы	1	1
181	гораздо большей степени	1	1
182	и для всех	1	1
183	чем в других	1	1
184	нужно заметить что	2	1
185	в течение года	1	1
186	может дать ей	1	1
187	в этом мире	1	1
188	то или иное	1	1
189	примыкающих к ним	1	1
190	мы стремились показать	1	1
191	есть не только	2	1
192	бы совершенно неправильно	1	1
193	в своем развитии	1	1
194	имеют существенное значение	1	1
195	которых мы здесь	1	1
196	с тем что	1	1
197	том случае если	1	1
198	было бы совершенно	1	1
199	та или иная	1	1
200	то есть к	1	1
201	что в этом	1	1
202	рано или поздно	2	1
203	и не быть	1	1
204	связанное с ним	1	1
205	плоть от плоти	1	1
206	а не к	1	1
207	для нас в	1	1
208	одной стороны в	1	1
209	что даже при	1	1
210	есть то что	1	1
211	культуры в ее	1	1
212	и сейчас в	1	1
213	и со стороны	2	1
214	сложнее чем обычно	1	1
215	северной америки и	3	1
216	мира и человеческой	1	1
217	по своему положению	1	1
218	независимо от того	1	1
219	за всех и	1	1
220	и не имеет	2	1
