N	2gram	Tiupa_Disk	VerxiiNi
1	и в	27	26
2	таким образом	4	22
3	с тем	1	18
4	в этом	29	15
5	вместе с	3	15
6	точки зрения	6	13
7	как бы	9	12
8	в том	29	11
9	не только	36	10
10	и с	2	10
11	может быть	29	10
12	из этих	3	10
13	что в	8	9
14	связи с	4	9
15	но и	22	9
16	в области	3	9
17	и не	25	8
18	как на	1	8
19	с другой	14	8
20	но не	17	8
21	с одной	12	7
22	но все	2	7
23	в эпоху	5	7
24	том что	27	7
25	потому что	7	7
26	одной стороны	12	7
27	а с	8	7
28	то что	10	7
29	но в	15	7
30	из них	6	7
31	к нему	1	7
32	так и	14	6
33	в конце	1	6
34	несмотря на	1	6
35	все это	2	6
36	что и	5	6
37	представление о	1	6
38	все эти	2	6
39	все же	8	6
40	к тому	6	6
41	о том	12	6
42	во всяком	3	6
43	и потому	3	6
44	всяком случае	2	6
45	мы должны	1	6
46	и т.д	5	6
47	с точки	3	6
48	в себе	22	6
49	того же	5	6
50	и к	4	5
51	до сих	1	5
52	том числе	3	5
53	в его	9	5
54	к жизни	1	5
55	тому же	5	5
56	более или	2	5
57	в мире	9	5
58	не имеет	1	5
59	или менее	2	5
60	сих пор	1	5
61	по крайней	3	5
62	лишь в	4	5
63	отношение к	6	5
64	одной из	4	5
65	образом в	1	5
66	в силу	5	5
67	а не	35	5
68	крайней мере	3	5
69	никогда не	3	5
70	в самом	4	4
71	ничем не	1	4
72	то есть	29	4
73	и по	2	4
74	то же	12	4
75	из которых	1	4
76	только в	9	4
77	в этих	4	4
78	с другими	1	4
79	целый ряд	2	4
80	учение о	1	4
81	что он	6	4
82	в которых	5	4
83	к своим	3	4
84	в смысле	1	4
85	в котором	7	4
86	он не	4	4
87	и что	2	4
88	далеко не	10	4
89	а в	5	4
90	богами и	1	4
91	в этой	5	4
92	числе и	3	4
93	и от	2	4
94	не может	17	4
95	на этот	1	4
96	в виде	1	4
97	в то	8	4
98	и только	1	4
99	в нем	16	4
100	во время	1	4
101	и другие	1	3
102	с этой	2	3
103	и при	1	3
104	при этом	22	3
105	для него	9	3
106	что это	1	3
107	тем не	1	3
108	в качестве	45	3
109	в результате	3	3
110	связывается с	1	3
111	то с	2	3
112	и даже	4	3
113	если бы	1	3
114	в которой	2	3
115	с ней	3	3
116	с самого	2	3
117	в таком	1	3
118	случае не	1	3
119	в связи	1	3
120	и как	9	3
121	как о	1	3
122	же как	1	3
123	но по	1	3
124	если в	2	3
125	не менее	6	3
126	к концу	1	3
127	в других	1	3
128	и нет	1	3
129	можно сказать	7	3
130	но с	1	3
131	хотя бы	3	3
132	в значительной	3	3
133	представляет собой	24	3
134	так что	1	3
135	у них	1	3
136	когда он	3	3
137	в одном	5	3
138	и те	1	3
139	не вполне	1	3
