N	3gram	Berdyaev_O	VLabPisa
1	в этом отношении	1	14
2	не может быть	2	8
3	в том что	1	5
4	не могут быть	2	4
5	бы и не	1	3
6	о том как	1	3
7	для того чтобы	3	3
8	о том что	1	3
9	во всяком случае	1	2
10	от того что	1	2
11	не в том	1	2
12	у л толстого	1	2
13	и никогда не	2	2
14	в силу чего	1	2
15	в другом месте	1	2
16	после того как	1	2
17	и не может	1	2
18	и не быть	1	1
19	как будто бы	1	1
20	на то что	1	1
21	но и в	2	1
22	человека вообще и	1	1
23	говорит достоевский о	1	1
24	художественном творчестве он	1	1
25	он говорит в	1	1
26	по сравнению с	1	1
27	в том случае	1	1
28	в вечном муже	1	1
29	т е от	1	1
30	заключает в себе	1	1
31	в виду не	1	1
32	то что в	1	1
33	в самом деле	1	1
34	в братьях карамазовых	1	1
35	у него в	5	1
36	человека а не	1	1
37	хотя и не	1	1
38	и в творчестве	1	1
39	как и все	2	1
40	бросается в глаза	1	1
41	между этими двумя	1	1
42	что не могут	1	1
43	даже и в	1	1
44	он и не	1	1
45	том случае если	1	1
46	а не только	1	1
47	все это вопрос	1	1
48	у вл соловьева	1	1
