N	2gram	Voloshinov	Istorich
1	и в	3	181
2	может быть	1	115
3	не только	1	114
4	но и	1	85
5	и не	1	67
6	мы видим	1	65
7	не может	4	61
8	то же	1	56
9	а не	1	48
10	и на	1	38
11	в его	1	38
12	связи с	1	34
13	один из	2	31
14	в ней	1	26
15	не менее	1	24
16	если бы	1	24
17	к тому	1	21
18	из этих	1	20
19	в то	1	18
20	и все	1	16
21	в особенности	1	15
22	он в	1	15
23	ни один	1	12
24	точки зрения	1	11
25	на нее	1	11
26	с другими	1	8
27	тому что	1	7
28	если в	2	7
29	тех же	1	7
30	для него	1	7
31	его от	1	6
32	бы в	1	5
33	можно назвать	1	5
34	несмотря на	1	5
35	и социальной	1	5
36	по своим	1	4
37	так называемая	1	4
38	и больше	1	4
39	с точки	1	4
40	на месте	1	4
41	и должно	1	4
42	во второй	1	4
43	именно с	1	3
44	при анализе	1	3
45	лучше всего	1	3
46	с теми	1	3
47	исходя из	1	3
48	в системе	1	3
49	и заставляет	1	3
50	в языке	1	3
51	бы на	1	3
52	в центре	2	2
53	становится особенно	1	2
54	вопрос что	1	2
55	в каждом	1	2
56	на примере	1	2
57	нет и	1	2
58	не из	1	2
59	может и	1	2
60	можно и	1	2
61	впадает в	1	2
62	и можно	1	2
63	влияния на	1	2
64	себя от	1	2
65	к историческому	1	1
66	себе все	1	1
67	в иную	1	1
68	смысл и	1	1
69	если один	1	1
70	форм нет	1	1
71	может не	1	1
72	и тому	1	1
73	поставить в	1	1
74	работ это	1	1
75	из крупнейших	1	1
76	художественного произведения	1	1
77	вполне понятно	1	1
78	тому подобных	1	1
79	этой проблемы	1	1
80	больше ничего	1	1
81	сравнении с	1	1
82	на русской	1	1
83	истории но	1	1
84	же время	1	1
85	сил которые	1	1
86	что изменилось	1	1
87	понимания этого	1	1
88	речь и	1	1
89	права и	1	1
