N	2gram	Berdyaev_M	Dialekti
1	не есть	21	181
2	т е	5	159
3	и не	26	120
4	это –	32	95
5	и т	1	82
6	по себе	2	79
7	а не	36	78
8	и в	61	77
9	точки зрения	6	72
10	может быть	42	71
11	не только	42	66
12	значит что	4	61
13	то что	10	59
14	и есть	21	55
15	это значит	3	54
16	ничего не	4	54
17	не может	39	53
18	и даже	1	47
19	с точки	1	46
20	что это	5	46
21	так как	10	46
22	потому что	25	45
23	стало быть	1	44
24	как бы	10	43
25	и что	4	42
26	ни в	3	42
27	не имеет	7	41
28	вовсе не	1	41
29	в том	9	40
30	в этом	34	39
31	то же	4	39
32	что такое	2	39
33	что она	5	38
34	это есть	4	38
35	в себе	12	38
36	что он	16	37
37	том что	7	37
38	прежде всего	18	37
39	так что	3	36
40	это не	10	36
41	– в	2	35
42	она есть	3	35
43	что в	12	34
44	в нем	26	34
45	– не	6	33
46	и все	13	33
47	того что	13	33
48	но и	34	32
49	он –	20	31
50	все это	6	31
51	сказать что	5	30
52	и как	3	30
53	было бы	11	29
54	так и	5	29
55	как и	14	28
56	никогда не	30	27
57	в виду	2	26
58	не в	16	26
59	– это	2	26
60	сама по	1	26
61	есть и	6	26
62	говорить о	1	25
63	учение о	3	25
64	и то	2	25
65	есть только	2	25
66	есть не	9	25
67	есть ни	1	24
68	но это	8	24
69	если бы	5	24
70	есть всегда	2	24
71	в то	2	23
72	это и	7	23
73	и вот	7	23
74	но что	1	22
75	или от	2	22
76	я не	4	22
77	что не	3	21
78	в чем	3	21
79	личности и	3	21
80	должна быть	7	21
81	она не	9	21
82	и с	6	20
83	о том	5	20
84	что и	6	20
85	что все	5	20
86	только в	7	20
87	– как	1	20
88	в каком	2	20
89	только тогда	1	20
90	уже не	8	20
91	в самом	15	19
92	не менее	1	19
93	не существует	5	19
94	в своем	17	19
95	и это	16	19
96	тогда когда	2	19
97	что мы	1	19
98	и его	13	19
99	хотя бы	8	18
100	не что	4	18
101	с другой	1	18
102	что иное	4	18
103	ни на	1	18
104	что же	2	18
105	жизни и	6	18
106	иное как	4	18
107	в сущности	2	17
108	должно быть	5	17
109	в основе	4	17
110	он есть	1	17
111	но если	4	17
112	то это	1	16
113	к нему	8	16
114	сам по	2	16
115	в своей	18	16
116	да и	1	16
117	нет ничего	9	16
118	конечно не	3	16
119	мы не	2	16
120	об этом	2	16
121	же и	2	15
122	только что	1	15
123	все же	2	15
124	так же	5	15
125	– и	1	15
126	то в	2	15
127	и мы	2	15
128	мы уже	1	15
129	самом деле	2	15
130	хотя и	2	15
131	сознания и	1	15
132	личности в	4	15
133	также и	6	15
134	быть и	2	15
135	и о	1	15
136	на то	1	15
137	или нет	1	14
138	а именно	1	14
139	есть то	2	14
140	даже и	2	14
141	с ним	5	14
142	– все	5	14
143	не было	25	14
144	и ее	2	14
145	ни с	4	14
146	жизнь и	5	14
147	и потому	17	14
148	и только	1	14
149	и к	9	13
150	говорит о	1	13
151	отличается от	2	13
152	не то	1	13
153	что они	4	13
154	время как	2	13
155	в смысле	1	13
156	он не	34	13
157	и та	2	13
158	в силу	1	13
159	но в	12	13
160	не могу	4	13
161	в ней	23	13
162	идея и	3	13
163	и нет	3	12
164	с этим	4	12
165	вопрос о	7	12
166	но не	8	12
167	могут быть	2	12
168	иной раз	1	12
169	не могут	6	12
170	еще не	1	12
171	и если	1	12
172	и тогда	2	12
