N	3gram	Vinokur_Ku	Analitik
1	в том что	23	25
2	не может быть	5	19
3	по отношению к	8	18
4	в то же	4	16
5	о том что	6	15
6	в данном случае	1	14
7	в отличие от	3	14
8	то же время	4	14
9	той или иной	1	14
10	к тому же	1	13
11	в сочетании с	1	11
12	в конечном счете	2	11
13	так и не	1	10
14	того или иного	5	9
15	с другой стороны	12	9
16	в свою очередь	4	9
17	в том чтобы	9	9
18	по крайней мере	11	9
19	с одной стороны	2	9
20	состоит в том	4	8
21	с точки зрения	16	8
22	как и в	1	8
23	не только в	4	8
24	в этом отношении	8	8
25	в свое время	4	7
26	во всяком случае	8	7
27	что иное как	2	7
28	тем не менее	9	6
29	по природе своей	1	6
30	одного и того	2	6
31	так или иначе	3	6
32	и того же	2	6
33	не более чем	1	6
34	не что иное	2	6
35	а всего лишь	1	5
36	есть не что	1	5
37	том или ином	1	5
38	в этом случае	4	5
39	лишь в том	2	4
40	в том или	1	4
41	все той же	1	4
42	в самом деле	14	4
43	для того чтобы	21	4
44	в силу своей	1	4
45	не в том	5	4
46	тех или иных	1	4
47	и тем самым	1	4
48	в соответствии с	5	4
49	большей или меньшей	2	4
50	и не в	2	4
51	в этом смысле	8	4
52	том что он	4	4
53	едва ли не	1	4
54	и то что	1	3
55	и т п	39	3
56	хотя бы и	4	3
57	дело не в	3	3
58	крайней мере в	1	3
59	далеко не всегда	1	3
60	сам по себе	1	3
61	сами по себе	2	3
62	бы то ни	1	3
63	в первом случае	1	3
64	речь идет о	3	3
65	в зависимости от	7	3
66	между тем как	1	3
67	а в том	2	3
68	то ни было	1	3
69	в связи с	4	3
70	а не с	1	3
71	как раз и	1	3
72	дело не с	1	3
73	тогда как в	1	3
74	и в самом	4	3
75	можно сказать что	2	3
76	в соответствии со	1	3
77	и той же	1	3
78	в противном случае	2	3
79	и все же	1	3
80	дело в том	1	3
81	одной и той	1	3
82	не могут быть	1	3
83	тот или иной	1	3
84	мере в какой	6	2
85	с легкой руки	1	2
86	в применении к	1	2
87	в той мере	6	2
88	отнюдь не является	1	2
89	и тогда когда	3	2
90	с этой точки	3	2
91	более или менее	3	2
92	можно было бы	11	2
93	во втором случае	1	2
94	в широком смысле	2	2
95	до сих пор	5	2
96	того что в	2	2
97	смысле этого слова	2	2
98	в особенности же	2	2
99	а с другой	3	2
100	той мере в	6	2
101	и то же	1	2
102	к тому что	2	2
103	это своего рода	1	2
104	в тех случаях	2	2
105	в этих случаях	1	2
106	в том и	3	2
107	вместе с ним	1	2
108	т е к	1	2
109	на то что	3	2
110	в данный момент	2	2
111	заключается в том	2	2
112	этой точки зрения	4	2
113	какой бы то	1	2
114	в таких случаях	3	2
115	есть в сущности	1	2
116	тем более что	1	2
117	до тех пор	1	2
118	не должен быть	1	2
119	на этот вопрос	3	2
120	не говоря уже	2	2
121	в сущности говоря	1	2
122	одно и то	1	2
123	состоит не в	2	2
124	при этом что	1	2
125	тем или иным	1	2
126	тех случаях когда	2	2
127	говоря уже о	1	2
128	что же касается	4	2
129	прежде всего в	1	2
130	если бы он	1	2
