N	2gram	Medvedev_I	VerxiiNi
1	и в	1	26
2	в этом	2	15
3	и с	3	10
4	после смерти	1	10
5	что в	2	9
6	и не	2	8
7	с другой	1	8
8	а с	1	7
9	так и	1	6
10	все это	1	6
11	все эти	1	6
12	того же	1	6
13	того чтобы	1	5
14	для того	1	5
15	никогда не	1	5
16	он не	2	4
17	а в	1	4
18	для него	1	3
19	если бы	1	3
20	как о	1	3
21	в значительной	1	3
22	и о	1	3
23	отношению к	1	3
24	того что	1	3
25	только что	1	2
26	со всеми	1	2
27	в них	1	2
28	у всех	1	2
29	а также	1	2
30	по существу	1	2
31	но когда	1	2
32	только для	1	2
33	в эту	1	2
34	значительной мере	1	2
35	них не	1	2
36	жизни и	1	2
37	вплоть до	1	2
38	первую очередь	1	1
39	не так	1	1
40	от нее	1	1
41	ходить в	1	1
42	когда его	1	1
43	другой стороны	1	1
44	нам в	1	1
45	а отсюда	1	1
46	этим и	1	1
47	тем что	1	1
48	к нам	1	1
49	от этого	1	1
50	ничего в	1	1
51	это было	1	1
52	как только	1	1
53	могло бы	1	1
54	бы в	1	1
55	это был	1	1
56	в первую	1	1
57	а по	1	1
58	по отношению	1	1
59	художественном творчестве	1	1
60	и тот	1	1
61	себя в	1	1
62	ничего не	2	1
