N	4gram	Trubetskoy	Problema
1	или по крайней мере	1	11
2	в нашем смысле слова	1	11
3	в одно нераздельное целое	1	7
4	по крайней мере в	1	6
5	бы то ни было	2	6
6	свидетельствует о том что	1	5
7	а с другой стороны	1	4
8	указывает на то что	1	4
9	еще и потому что	1	4
10	во всяком случае не	3	4
11	в том числе и	4	4
12	в том или ином	1	4
13	и в то же	1	3
14	одного и того же	1	3
15	и вместе с тем	3	3
16	с этой точки зрения	2	3
17	но в то же	1	3
18	но тем не менее	1	2
19	сливаются в одно нераздельное	1	2
20	все более и более	1	2
21	один и тот же	1	2
22	а вместе с тем	1	2
23	мы имеем в виду	1	2
24	но в конце концов	1	2
25	с нашей точки зрения	1	1
26	значение в связи с	1	1
27	при ближайшем рассмотрении оказывается	1	1
28	в то же время	2	1
29	общем можно сказать что	1	1
30	в том что они	1	1
31	в общем можно сказать	1	1
32	ближайшем рассмотрении оказывается что	1	1
33	похожи друг на друга	1	1
34	в данном случае мы	1	1
35	это и есть то	1	1
36	не имеет самостоятельного значения	1	1
37	в одном и том	1	1
38	только с первого взгляда	1	1
39	не имеющего ничего общего	1	1
40	имеющего ничего общего с	1	1
41	с первого взгляда может	1	1
42	до сих пор не	1	1
43	и на то что	1	1
44	состоит в том что	1	1
45	не указывает на то	1	1
46	только то что он	1	1
47	мы видели выше что	1	1
48	в связи с тем	1	1
49	тем не менее совершенно	1	1
50	одном и том же	1	1
51	вместе с тем и	1	1
52	с тем что в	1	1
53	для людей но и	1	1
54	и в настоящее время	1	1
55	и есть то самое	1	1
56	и в этом отношении	1	1
57	в самом деле если	1	1
