N	2gram	Bakhtin_Pr	BTomashe
1	у нас	2	3
2	все это	12	2
3	литературных произведений	1	2
4	в ней	8	2
5	можно было	5	2
6	не то	1	2
7	стр и	1	2
8	и не	66	2
9	видеть в	1	2
10	вопрос о	4	1
11	в трактовке	1	1
12	говорить о	3	1
13	творчества и	2	1
14	и о	5	1
15	о них	2	1
16	со всем	2	1
17	и нет	2	1
18	не только	26	1
19	а о	4	1
20	всего в	2	1
21	таким образом	22	1
22	не было	5	1
23	прежде всего	17	1
24	бы только	1	1
25	и в	59	1
26	на самом	5	1
27	так и	13	1
28	на которой	2	1
29	в своей	17	1
30	стиля и	4	1
31	во всяком	5	1
32	и потому	9	1
33	и во	2	1
34	также что	1	1
35	по нашему	5	1
36	за пределы	10	1
37	говорить об	2	1
38	понимания художественной	1	1
39	же не	1	1
40	по крайней	3	1
41	с другой	3	1
42	об этом	4	1
43	художественного произведения	1	1
44	своей книге	2	1
45	как будто	4	1
46	точке зрения	5	1
47	совершенно не	2	1
48	не о	3	1
49	другой стороны	3	1
50	крайней мере	3	1
51	всяком случае	3	1
52	кроме того	3	1
53	было бы	10	1
54	стоит на	1	1
55	не следует	1	1
56	и ее	5	1
57	одной из	1	1
58	в значительной	1	1
59	о художественной	1	1
60	по поэтике	1	1
61	в пределах	13	1
62	в данном	3	1
63	более что	2	1
64	должна быть	4	1
65	выпадает из	1	1
66	в области	3	1
67	является только	1	1
68	и исторической	1	1
69	далеко не	3	1
70	тем более	2	1
71	позиции на	1	1
72	и более	2	1
73	что все	5	1
74	не все	2	1
75	нашему мнению	3	1
76	художественном произведении	1	1
77	автором не	1	1
78	по этим	1	1
79	никак не	3	1
80	в книге	4	1
81	значительной степени	1	1
82	его не	2	1
83	и полно	1	1
84	будто бы	1	1
85	произведения все	1	1
86	также не	2	1
87	а не	30	1
88	до конца	11	1
89	представляется нам	2	1
90	художественная функция	1	1
91	не укладывается	2	1
92	и на	15	1
93	приемов построения	1	1
94	выходит за	2	1
95	по отдельным	1	1
96	между ними	4	1
97	еще не	11	1
98	целиком в	1	1
99	автора по	3	1
100	к ней	1	1
101	все же	9	1
102	что в	14	1
