N	2gram	Nazirov_Tr	Poddanst
1	не только	8	17
2	и в	18	14
3	и не	7	12
4	в области	1	11
5	в этом	9	10
6	в том	2	9
7	то же	5	9
8	но в	6	9
9	хотя бы	1	8
10	только в	1	7
11	же время	6	7
12	в то	5	7
13	в ней	1	6
14	xix века	1	6
15	быть может	1	6
16	но и	4	6
17	может быть	7	5
18	не в	2	5
19	и о	1	5
20	а я	5	5
21	что в	4	4
22	в котором	1	4
23	по себе	1	4
24	на путях	1	4
25	и если	1	4
26	и потому	1	4
27	не может	5	4
28	то что	4	4
29	как бы	7	4
30	а также	1	4
31	в своем	3	4
32	том что	4	4
33	наряду с	1	3
34	в себе	4	3
35	с одной	1	3
36	это не	5	3
37	между тем	1	3
38	т е	1	3
39	с тем	2	3
40	потому что	2	3
41	прежде всего	4	3
42	тем самым	3	3
43	в россии	1	3
44	заключается в	1	3
45	но не	1	3
46	могут быть	1	3
47	я и	1	3
48	и т	1	3
49	и как	3	3
50	с ними	1	3
51	столь же	2	3
52	в нем	4	3
53	во всех	1	2
54	и это	2	2
55	было в	2	2
56	xix век	1	2
57	более чем	1	2
58	и вот	1	2
59	и дети	2	2
60	по-видимому не	1	2
61	начала и	1	2
62	по сравнению	1	2
63	в ее	2	2
64	того что	1	2
65	в недрах	1	2
66	в частности	2	2
67	в его	3	2
68	xix веке	2	2
69	а не	1	2
70	для нас	1	2
71	все это	4	2
72	и есть	1	2
73	в русском	2	2
74	в виде	2	2
75	в них	1	2
76	не было	1	2
77	и с	7	2
78	может ли	1	2
79	в общем	1	2
80	мысль о	1	2
81	в сфере	1	2
82	именно в	1	2
83	должно быть	3	2
84	iii в	3	2
85	одна из	2	2
86	в мире	3	2
87	например в	1	2
88	не менее	1	2
89	как никогда	1	2
90	не столько	1	2
91	отнюдь не	3	2
92	есть в	1	2
93	и пусть	1	2
94	не к	1	2
95	в xix	1	2
96	к сожалению	1	1
97	говорится о	1	1
98	от нее	1	1
99	во всяком	1	1
100	не есть	1	1
101	у в	1	1
102	и теперь	1	1
103	и то	2	1
104	но как	1	1
105	бы и	2	1
106	мы видим	1	1
107	в данном	2	1
108	только к	2	1
109	с его	2	1
110	за то	1	1
111	что оно	1	1
112	вместе с	1	1
113	и здесь	2	1
114	по природе	1	1
115	и на	7	1
116	отличие от	2	1
117	в самом	2	1
118	вопрос о	2	1
119	она должна	2	1
120	восходит к	1	1
121	иногда значит	1	1
122	на свои	1	1
123	в момент	1	1
124	это в	1	1
125	только что	1	1
126	также что	1	1
127	к этой	1	1
128	и первое	1	1
129	в основном	3	1
130	и который	1	1
131	на милость	1	1
132	она не	1	1
133	уже в	3	1
134	должна быть	1	1
135	применении к	1	1
136	ними как	1	1
137	и великого	1	1
138	из авторов	1	1
139	того чтобы	1	1
140	власть и	1	1
141	она всегда	1	1
142	в применении	1	1
143	этом мире	1	1
144	и всегда	1	1
145	представляет собой	1	1
146	и должна	1	1
147	что это	5	1
148	в отношениях	1	1
149	отдельные черты	1	1
150	подчеркнуть что	1	1
151	вот как	1	1
152	что при	1	1
153	– но	1	1
154	из тех	1	1
155	что с	3	1
156	именно на	1	1
157	не как	1	1
158	только один	1	1
159	об отношении	1	1
160	нигилизма в	1	1
161	а затем	1	1
162	что уже	1	1
163	только на	1	1
164	где он	1	1
165	что эта	1	1
166	и достоевский	1	1
167	и при	1	1
168	и что	4	1
169	не могла	1	1
170	связь между	1	1
171	на общество	1	1
172	что и	2	1
173	к смерти	1	1
174	тем и	1	1
175	есть с	1	1
176	с того	1	1
177	иными словами	1	1
178	еще в	2	1
179	и поныне	1	1
180	к жизни	5	1
181	это значит?	1	1
182	не вполне	1	1
183	что все	2	1
184	в истории	1	1
185	так же	4	1
186	человека с	1	1
187	его в	2	1
188	над ним	1	1
189	вопрос об	1	1
190	литературы и	1	1
191	ощущение что	1	1
192	все же	5	1
193	и притом	1	1
194	в борьбе	1	1
195	всего что	1	1
196	того кто	1	1
197	в результате	1	1
198	россии эта	1	1
199	в которой	1	1
200	и любви	1	1
201	в этой	4	1
202	полноте и	1	1
203	самые страшные	1	1
204	к ним	1	1
205	и еще	1	1
206	в отличие	2	1
207	на нее	1	1
208	и судьбы	1	1
209	на две	1	1
210	на себя	1	1
211	что не	1	1
212	развития в	1	1
213	в эпоху	1	1
214	в ходе	2	1
215	ответа на	1	1
216	ведет к	1	1
217	русской литературы	2	1
218	какой она	1	1
219	если он	1	1
220	капитализма в	1	1
221	и политических	1	1
222	эти черты	1	1
223	с собой	1	1
224	как и	5	1
225	с которым	1	1
226	входят в	1	1
227	во времена	1	1
228	из предшествующего	1	1
229	мы отнюдь	1	1
230	начала в	1	1
231	пришел в	1	1
232	первый вариант	1	1
233	стремление к	1	1
234	русской интеллигенции	1	1
235	от социализма	1	1
236	и по	1	1
237	и я	2	1
