N	4gram	Medvedev_F	Narrotol
1	в то же время	13	8
2	той мере в какой	1	2
3	в той мере в	1	2
4	и не может быть	4	2
5	и в то же	4	2
6	к тому что он	1	2
7	с этой точки зрения	1	1
8	в том смысле что	2	1
9	свои усилия на то	1	1
10	не что иное как	1	1
11	дистанцию по отношению к	1	1
12	сам по себе а	2	1
13	не для того чтобы	1	1
14	может быть и не	2	1
15	литературы в целом и	1	1
16	с одной стороны и	4	1
17	т п все эти	1	1
18	и т п все	1	1
19	бы то ни было	1	1
20	на самом деле в	1	1
21	усилия на то чтобы	1	1
22	в процессе перехода от	1	1
23	иметь в виду что	1	1
24	в том числе и	1	1
25	в связи с этим	4	1
26	в том случае если	1	1
27	лишь в том случае	1	1
28	и с точки зрения	1	1
29	он может и должен	1	1
30	не в том что	1	1
31	в том или ином	1	1
32	есть не что иное	1	1
