N	3gram	Losev_Vesc	formyVre
1	то же время	4	21
2	в то же	5	18
3	в связи с	1	15
4	с точки зрения	6	15
5	друг с другом	2	13
6	для того чтобы	2	12
7	но и в	1	12
8	не только в	5	11
9	и в то	3	10
10	до сих пор	1	10
11	и того же	1	9
12	одного и того	1	9
13	вещей и явлений	1	9
14	и прежде всего	1	8
15	и т д	36	7
16	не может быть	22	7
17	в этом отношении	2	7
18	и как раз	1	6
19	и в этом	2	6
20	и в особенности	1	6
21	с одной стороны	3	6
22	мы уже сказали	1	6
23	в том что	9	5
24	одной стороны и	1	5
25	в то время	4	5
26	на первый план	1	5
27	одно и то	5	5
28	и то же	5	5
29	и не только	6	5
30	и во всех	1	4
31	в нем нет	2	4
32	но все же	2	4
33	с другой стороны	3	4
34	равно как и	4	4
35	с самим собою	2	4
36	как раз в	2	4
37	в этом случае	1	4
38	во всяком случае	2	4
39	то время как	4	4
40	может быть и	1	4
41	в той или	2	3
42	и как бы	1	3
43	все то что	2	3
44	о том как	4	3
45	по сравнению с	7	3
46	может быть только	6	3
47	сами по себе	3	3
48	в зависимости от	1	3
49	а не в	2	3
50	вещи и явления	1	3
51	как раз и	2	3
52	то же самое	1	3
53	нем нет ничего	1	3
54	вместе с тем	3	3
55	а следовательно и	2	3
56	и в частности	2	3
57	но в то	1	3
58	о том что	4	3
59	так же как	2	3
60	как бы ни	2	3
61	не в смысле	1	3
62	тот или иной	1	3
63	можно сказать что	3	2
64	здесь не только	1	2
65	ни с чем	2	2
66	по природе своей	2	2
67	как мы видим	1	2
68	и вместе с	1	2
69	быть и речи	1	2
70	в данном случае	2	2
71	но в этом	1	2
72	это значит что	25	2
73	таким образом и	1	2
74	в свою очередь	5	2
75	не было бы	1	2
76	мы находим в	2	2
77	у него нет	1	2
78	здесь как и	1	2
79	с чем не	1	2
80	и в самом	1	2
81	что есть в	2	2
82	на этой стадии	1	2
83	то что уже	1	2
84	мы будем говорить	1	2
85	дело в том	4	2
86	и ничего не	1	2
87	к тому что	2	2
88	и во всей	1	2
89	по самому своему	1	2
90	с ним по	1	2
91	с тем что	1	2
92	по своей природе	1	2
93	что и в	1	2
94	в основе своей	2	2
95	потому что они	4	2
96	что он не	1	1
97	неизвестно кем и	1	1
98	то что на	1	1
99	в самом начале	1	1
100	как и во	1	1
101	тем более не	1	1
102	в одном и	2	1
103	точка зрения на	1	1
104	том как его	1	1
105	же самое время	1	1
106	в себе в	4	1
107	для себя в	1	1
108	для себя и	1	1
109	в применении к	2	1
110	в той же	1	1
111	не может состояться	2	1
112	как мы говорили	1	1
113	в этом смысле	2	1
114	отличие его от	1	1
115	то что не	2	1
116	то что является	4	1
117	жизни и мира	1	1
118	они все же	1	1
119	его отношении к	1	1
120	и вот когда	1	1
121	только в том	1	1
122	хотя бы и	2	1
123	с этой точки	3	1
