N	2gram	Trubetskoy	Hudozhes
1	в качестве	1	31
2	то есть	2	26
3	в мире	6	24
4	и в	24	23
5	не только	10	20
6	состоит в	1	20
7	в том	31	20
8	при этом	9	19
9	может быть	17	19
10	в частности	2	18
11	и не	9	16
12	тогда как	6	15
13	но и	11	14
14	а не	1	13
15	но не	3	13
16	а в	3	13
17	я в	2	13
18	в себе	5	13
19	в этом	13	12
20	то же	4	12
21	так и	10	12
22	и его	2	12
23	сводится к	2	11
24	как бы	10	11
25	точки зрения	14	11
26	в его	5	11
27	по отношению	11	10
28	но в	5	10
29	отношению к	11	10
30	или иной	1	9
31	том что	20	9
32	с другой	6	9
33	не в	9	9
34	не может	18	9
35	в принципе	1	8
36	в области	4	8
37	в то	6	8
38	что в	9	7
39	в самом	8	7
40	только в	6	7
41	в своей	1	7
42	в основе	2	7
43	же время	2	7
44	отличие от	3	7
45	я и	1	7
46	по своей	7	7
47	лишь в	5	7
48	отношение к	4	7
49	другой стороны	5	6
50	в состав	1	6
51	более или	8	6
52	приводит к	1	6
53	уже не	1	6
54	с ее	2	6
55	с его	1	6
56	в ее	1	6
57	или менее	8	6
58	в нем	3	6
59	в виду	2	5
60	мыслится как	1	5
61	что он	7	5
62	не менее	7	5
63	не является	1	5
64	того чтобы	8	5
65	для того	8	5
66	со стороны	1	5
67	иначе говоря	4	5
68	как к	5	5
69	для него	2	5
70	того что	7	5
71	прежде всего	3	5
72	с другими	1	5
73	в их	4	5
74	а на	1	5
75	или иначе	5	5
76	i v	1	5
77	между ними	2	5
78	тем самым	3	5
79	то что	18	5
80	могут быть	1	5
81	во втором	2	4
82	для себя	2	4
83	без исключения	1	4
84	так или	5	4
85	по пути	1	4
86	не следует	2	4
87	например в	1	4
88	отношения к	1	4
89	роли в	1	4
90	еще не	6	4
91	в данном	3	4
92	входит в	1	4
93	в другом	2	4
94	говорить о	2	4
95	и т.д	4	4
96	сказать что	1	4
97	к которому	1	4
98	в своем	12	4
99	к тому	8	4
100	на почве	3	4
101	и то	4	4
102	это не	3	4
103	в отношении	1	4
104	его в	5	4
105	не знает	2	4
106	и как	1	4
107	в этих	3	4
108	так в	1	4
