N	4gram	Voloshinov	Marksizm
1	бы то ни было	1	12
2	одного и того же	1	9
3	и пр и пр	2	5
4	каких бы то ни	1	4
5	если мы отвлечемся от	1	3
6	в связи с этим	1	3
7	ни в коем случае	1	2
8	если бы он был	1	2
9	одна и та же	1	2
10	не может быть ничего	1	2
11	так же как и	1	2
12	с этой точки зрения	1	1
13	не что иное как	1	1
14	очень важный момент в	1	1
15	в его целом это	1	1
16	в коем случае нельзя	1	1
17	мы можем сказать что	1	1
18	именно здесь в области	1	1
19	дело в том что	1	1
20	свой страх и риск	1	1
21	оно само нуждается в	1	1
22	может быть именно здесь	1	1
23	бы оно ни было	1	1
24	мы на самом деле	1	1
25	в этом отношении и	1	1
26	а вместе с тем	1	1
27	не чем иным как	1	1
28	или во всяком случае	1	1
29	на первый план выдвигается	1	1
30	в тесной зависимости от	1	1
31	может быть ничего общего	1	1
32	конечно не следует что	1	1
33	за свой страх и	1	1
34	в этом и значение	1	1
35	на самом деле в	1	1
36	пр и пр в	1	1
37	одну и ту же	1	1
38	мы полагаем что здесь	1	1
