N	3gram	Tiupa_Anal	Tvorches
1	в то же	7	25
2	то же время	7	24
3	в том что	12	11
4	в соответствии с	2	8
5	о том что	7	8
6	по сути дела	1	7
7	в романе достоевского	1	7
8	в конечном счете	5	6
9	не может быть	2	6
10	в самом деле	1	5
11	по отношению к	9	5
12	в русской литературе	5	5
13	на наш взгляд	5	4
14	до сих пор	1	4
15	по крайней мере	5	4
16	с точки зрения	2	4
17	в одной из	2	4
18	дело в том	3	4
19	в первой части	1	4
20	дело не в	1	3
21	в таком случае	2	3
22	точно так же	1	3
23	в отличие от	5	3
24	во всяком случае	6	3
25	как и в	6	3
26	едва ли не	3	3
27	с другой стороны	7	3
28	в этой связи	1	3
29	хотя и не	1	3
30	и все же	1	3
31	что он не	2	2
32	войне и мире	2	2
33	в данном случае	11	2
34	и тут же	1	2
35	для того чтобы	1	2
36	тем не менее	3	2
37	что у него	1	2
38	то есть не	1	2
39	так и в	1	2
40	в глубине души	2	2
41	в конце концов	1	2
42	не сводится к	1	2
43	к тому же	7	2
44	не могут быть	1	2
45	при этом он	2	2
46	в известном смысле	2	2
47	в связи с	1	2
48	в одном из	1	2
49	в свою очередь	7	2
50	человека и его	1	2
51	заключается в том	1	2
52	только то что	1	2
53	можно сказать что	2	2
54	по всей видимости	1	2
55	особое место в	1	2
56	на этот вопрос	1	2
57	на самом деле	1	2
58	именно в этом	1	2
59	это уже не	1	2
60	не только в	5	2
61	как бы ни	1	2
62	и сам автор	2	2
63	мы уже говорили	1	2
64	это имеет место	1	1
65	лишь в том	1	1
66	тогда как в	3	1
67	в дальнейшем мы	1	1
68	одного из них	1	1
69	и как бы	2	1
70	на всем протяжении	1	1
71	в сочетании с	4	1
72	имеет место в	1	1
73	по себе а	1	1
74	в применении к	1	1
75	и покойный отец	1	1
76	и наконец в	1	1
77	по мнению бахтина	1	1
78	а на деле	1	1
79	не менее чем	1	1
80	в ответ на	2	1
81	то что не	1	1
82	ничего не говорит	1	1
83	толпы так и	1	1
84	в художественном мире	1	1
85	при этом что	2	1
86	хотя бы и	1	1
87	в частности с	1	1
88	никогда не является	1	1
89	за два года	1	1
90	что ведет к	1	1
91	в каждом из	1	1
92	но в таком	1	1
93	в центр художественного	1	1
94	прежде всего они	1	1
95	и обстоятельств но	1	1
96	от жизни в	1	1
97	мысли и чувства	1	1
98	что в них	1	1
99	оно никогда не	1	1
100	не столько к	1	1
101	как бы не	1	1
102	с романом в	1	1
103	идет уже не	1	1
104	же исторична как	1	1
105	именно потому что	1	1
106	а между тем	1	1
107	этого персонажа и	1	1
108	два года до	1	1
109	в один ряд	1	1
110	другой стороны и	1	1
111	и тем самым	2	1
112	и прежде всего	2	1
113	а с другой	1	1
114	признание в любви	1	1
115	и того же	4	1
116	это все же	1	1
117	же время они	1	1
118	романа в целом	1	1
119	и должны быть	1	1
120	и в том	1	1
121	не мог бы	1	1
122	войны и мира	1	1
123	приводит его к	1	1
124	в его собственных	1	1
125	может и не	1	1
126	того или иного	5	1
127	той или иной	6	1
128	соответствии с его	1	1
129	свое я в	1	1
130	в его последней	1	1
131	но и в	2	1
132	не столь уж	1	1
133	его собственных глазах	1	1
134	в эту минуту	1	1
135	так и не	5	1
136	свое внимание на	1	1
137	ту или иную	1	1
138	что же касается	1	1
139	как и сам	1	1
140	в целом ряде	1	1
141	с одной стороны	3	1
142	но как бы	1	1
143	уже говорили о	1	1
144	в то время	1	1
145	в конце его	1	1
146	таким образом в	1	1
147	однако все эти	1	1
148	года до этого	1	1
149	уже на первой	1	1
150	со всех сторон	1	1
151	речь идет уже	1	1
152	за волосы и	1	1
153	но уже в	1	1
154	не что иное	1	1
155	уже не о	1	1
156	в войне и	2	1
157	можно было бы	1	1
158	от всех и	1	1
159	в этом случае	1	1
160	уже было сказано	2	1
161	он не выдерживает	1	1
162	в этом его	1	1
163	молодого человека в	1	1
164	же как и	1	1
165	одного и того	4	1
166	концепции человека в	1	1
167	себя в момент	1	1
168	поэтического вдохновения в	1	1
169	что иное как	1	1
170	однако и он	1	1
171	становится самим собой	1	1
172	как это имеет	1	1
173	вопрос о том	1	1
174	как уже говорилось	2	1
175	в этот день	1	1
176	если бы он	1	1
