N	2gram	Voloshinov	Istorich
1	и в	28	181
2	и т	1	160
3	т д	1	142
4	может быть	28	115
5	не только	10	114
6	что он	12	111
7	мы имеем	6	102
8	что в	7	90
9	но и	10	85
10	в этом	28	81
11	так как	15	75
12	то что	17	73
13	таким образом	34	72
14	вместе с	5	71
15	и не	34	67
16	мы видим	3	65
17	все же	8	65
18	в этих	5	64
19	еще не	8	63
20	не может	30	61
21	так же	4	57
22	то же	12	56
23	никогда не	10	56
24	в том	10	53
25	том что	12	53
26	а в	8	52
27	с другой	2	52
28	потому что	4	52
29	и что	6	51
30	и здесь	1	51
31	что и	5	51
32	мы видели	12	49
33	а не	9	48
34	о том	3	48
35	связь с	7	47
36	его в	11	47
37	не в	10	47
38	превращается в	2	45
39	и пр	29	44
40	мы должны	9	44
41	но в	13	44
42	это не	5	43
43	и его	22	43
44	мы знаем	11	42
45	в нем	7	42
46	только в	11	42
47	показывает что	1	42
48	как в	4	42
49	представление о	1	41
50	или в	1	39
51	тем что	1	38
52	и на	9	38
53	в его	25	38
54	для нас	2	38
55	как и	13	37
56	уже не	9	37
57	мы уже	10	37
58	он не	10	37
59	так и	14	37
60	знаем что	8	36
61	мы увидим	4	36
62	мы можем	20	36
63	что они	1	35
64	с тем	1	35
65	мы не	9	35
66	здесь мы	1	35
67	все эти	15	35
68	не всегда	4	34
69	связи с	1	34
70	но не	7	34
71	а именно	2	34
72	у него	4	34
73	во время	6	34
74	что это	5	34
75	же как	2	33
76	там где	2	33
77	об этом	7	33
78	сих пор	3	32
79	в качестве	2	32
80	один из	10	31
81	прежде всего	26	31
82	то это	1	31
83	представляет собой	2	31
84	ничего не	5	31
85	с этим	8	30
86	с одной	2	30
87	в русской	1	30
88	до сих	3	30
89	к нему	9	30
90	этот мотив	3	30
91	при помощи	2	30
92	этом случае	1	29
93	но все	2	29
94	одной стороны	2	29
95	как мы	18	29
96	но это	4	29
97	и другие	2	28
98	в иной	1	28
99	что она	5	28
100	и с	10	28
101	например в	1	28
102	могут быть	9	27
103	того что	7	27
104	в ином	1	27
105	как он	1	27
106	как это	5	26
107	на него	4	26
108	и др	9	26
109	предположить что	1	26
110	в ней	8	26
111	вопрос о	2	25
112	в дальнейшем	2	25
113	и он	1	25
114	не менее	6	24
115	к этому	9	24
116	было бы	8	24
117	в виде	1	24
118	если бы	4	24
119	что мы	3	24
120	их в	3	23
121	как бы	19	23
122	и это	1	23
123	тем не	4	23
124	в этой	7	23
125	имеем в	1	23
126	не будем	3	23
127	все это	12	23
128	когда он	3	23
129	и по	5	22
130	с ним	14	22
131	в мифах	2	22
132	при этом	8	22
133	в некоторых	2	22
134	связано с	3	21
135	в другом	4	21
136	в одном	3	21
137	сказать что	11	21
138	совершенно ясно	1	21
139	о смерти	1	21
140	связан с	1	21
141	здесь не	1	21
142	к тому	6	21
143	они не	3	21
144	ее в	5	21
145	из них	7	20
146	из этих	6	20
147	она не	6	20
148	одна из	4	20
149	в свете	1	20
150	видели что	3	20
151	другими словами	5	20
152	а затем	1	19
153	с собой	1	19
154	мы рассмотрим	1	19
155	в тех	1	19
156	в другой	1	19
157	не совсем	3	19
158	есть и	2	19
159	на то	1	19
160	и как	3	19
161	после того	1	19
162	в то	7	18
163	что этот	1	18
164	не все	1	18
165	в данном	4	18
166	вовсе не	16	18
167	в них	3	17
168	нас к	2	17
169	можно найти	1	17
170	очень много	2	17
171	и этим	3	17
172	то и	1	17
173	по существу	1	17
174	дело не	2	17
175	и только	6	17
176	и она	3	16
177	во всех	13	16
