N	2gram	Ircho_Kome	OGranits
1	и в	40	13
2	и его	17	12
3	прежде всего	8	9
4	может быть	16	8
5	и не	19	8
6	не может	3	8
7	в его	8	7
8	и их	3	7
9	точки зрения	7	7
10	таким образом	13	6
11	не только	12	6
12	стилистических приемов	1	6
13	только в	6	6
14	то что	8	6
15	как бы	3	6
16	хотя бы	2	5
17	все же	7	5
18	и эта	1	5
19	в каждом	2	4
20	мы можем	6	4
21	не является	2	4
22	до тех	1	4
23	вполне понятно	1	4
24	мы не	4	4
25	то же	7	4
26	еще и	2	4
27	было бы	8	4
28	все это	7	4
29	в сознании	4	4
30	в своей	3	4
31	в двух	6	4
32	тех пор	2	4
33	но в	6	4
34	г в	5	3
35	с этим	5	3
36	что в	12	3
37	к одному	1	3
38	со всей	1	3
39	в искусстве	1	3
40	и уже	2	3
41	так и	17	3
42	говорить о	3	3
43	в одном	10	3
44	не столько	1	3
45	за пределы	2	3
46	отношению к	5	3
47	по отношению	5	3
48	превращается в	1	3
49	слово в	1	3
50	в пределах	1	3
51	в поэтике	1	3
52	в их	6	3
53	в ее	2	3
54	здесь мы	3	3
55	не в	8	3
56	в которой	9	3
57	что же	2	3
58	и все	4	3
59	в себе	3	3
60	так как	6	3
61	да и	5	3
62	но и	14	3
63	и для	4	3
64	как и	12	3
65	в области	3	2
66	к сожалению	2	2
67	в самом	5	2
68	во всем	1	2
69	и к	2	2
70	представляет себе	1	2
71	что они	4	2
72	того или	1	2
73	материалом для	1	2
74	и отчасти	1	2
75	иное как	1	2
76	в данном	1	2
77	мы уже	1	2
78	и этот	1	2
79	и наиболее	1	2
80	а как	1	2
81	в своих	2	2
82	в этом	9	2
83	что иное	1	2
84	в общем	2	2
85	данном случае	1	2
86	героя и	1	2
87	которое мы	1	2
88	с одной	5	2
89	мог бы	3	2
90	в течение	5	2
91	для себя	2	2
92	наконец в	3	2
93	и при	1	2
94	одной стороны	5	2
95	который мы	1	2
96	роль в	2	2
97	в другом	5	2
98	при этом	5	2
99	несмотря на	5	2
100	между тем	9	2
101	в полном	2	2
102	для него	1	2
103	только его	1	2
104	в этот	1	2
105	и тем	2	2
106	в руках	4	2
107	с помощью	1	2
108	те же	1	2
109	связанные с	2	2
110	ее в	2	2
111	в том	19	2
112	общения и	1	2
113	в которую	1	2
114	с этой	3	2
115	что эта	1	2
116	и является	1	2
117	в тех	5	2
118	в отношении	6	2
119	чем же	2	2
120	конечно в	1	2
121	вслед за	4	2
122	другой стороны	6	2
123	во времени	1	2
124	не что	1	2
125	не на	1	2
126	от этого	2	2
127	так же	4	2
128	в них	7	2
129	самого начала	2	2
130	а в	9	2
131	в г	28	2
132	связанных с	2	2
133	если бы	4	2
134	от всех	1	2
135	от своего	1	2
136	элемента в	1	2
137	а также	5	2
138	в книге	1	2
139	соответствии с	2	2
140	с г	2	2
141	на две	3	2
142	еще в	9	2
143	в ней	2	2
144	с самого	3	2
145	тем что	5	2
146	она является	1	2
147	и др	1	2
148	могут быть	3	2
149	вовсе не	3	2
150	в действительности	4	2
151	приемов но	1	2
152	в связи	3	2
153	в зависимости	1	2
154	во всей	1	2
155	с ними	2	2
156	материал в	1	2
157	говорить об	1	2
158	все эти	1	2
159	с другой	7	2
160	как в	8	2
161	грамматики и	1	2
162	не менее	6	2
163	нуждается в	2	2
164	не имеет	1	2
165	там где	1	2
166	том что	19	2
167	в нем	8	2
168	уже в	9	2
169	и следовательно	2	2
170	или иного	1	2
171	зависимости от	1	2
172	не мог	4	2
173	а не	1	2
174	основная мысль	1	2
175	в чем	3	2
176	в целом	6	2
177	пути к	1	2
178	и ее	5	2
179	тот же	5	2
180	подойти к	1	2
181	к тому	15	2
182	для исследования	2	2
183	слова и	1	2
184	бы в	3	2
185	и подобно	1	1
186	в дальнейшем	1	1
187	в особенности	1	1
188	но у	1	1
189	его к	1	1
190	самое слово	1	1
191	всего в	5	1
192	необходимость в	1	1
193	себе в	1	1
194	году жизни	1	1
195	не боясь	1	1
196	в каждой	1	1
197	к которому	4	1
198	типа который	1	1
199	состоит не	1	1
200	и художественных	2	1
201	обычно в	1	1
202	то он	1	1
203	не нашел	1	1
204	выражение в	1	1
205	несомненно что	1	1
206	не зная	1	1
207	средств в	2	1
208	для всех	5	1
209	это конечно	1	1
210	и других	7	1
211	и он	1	1
212	что собственный	1	1
213	один из	9	1
214	можно говорить	1	1
215	в столь	1	1
216	и здесь	6	1
217	и столь	3	1
218	то это	3	1
219	отличие от	4	1
220	одном случае	1	1
221	в последнем	1	1
222	вопрос о	5	1
223	на этом	3	1
224	они не	1	1
225	которым можно	1	1
226	на нем	2	1
227	не имеют	1	1
228	только что	2	1
229	поэт не	1	1
230	само собой	2	1
231	которая как	1	1
232	даже и	1	1
233	ее на	1	1
234	с единым	1	1
235	на три	1	1
236	того как	3	1
237	объясняется что	1	1
238	отсюда и	1	1
239	в самых	1	1
240	которой он	2	1
241	своего времени	2	1
242	за исключением	3	1
243	и вот	4	1
244	на очень	1	1
245	на том	1	1
246	такого рода	6	1
247	были для	1	1
248	но при	1	1
249	эти слова	1	1
250	более или	1	1
251	это особенно	1	1
252	внимание на	1	1
253	здесь она	1	1
254	втором году	1	1
255	потому что	8	1
256	в значительной	1	1
257	того чтобы	4	1
258	и если	2	1
259	же как	3	1
260	автора и	1	1
261	между отдельными	1	1
262	и более	2	1
263	мы имеем	1	1
264	и у	3	1
265	также и	1	1
266	ту же	2	1
267	отпечаток на	1	1
268	для того	3	1
269	совсем не	2	1
270	тому как	1	1
271	а представляет	1	1
272	тому что	4	1
273	и дает	2	1
274	его себе	1	1
275	которые и	1	1
276	быть не	1	1
277	обоснование в	1	1
278	к новым	1	1
279	не всегда	2	1
280	одно понятие	1	1
281	в своем	6	1
282	в разных	1	1
283	на службу	1	1
284	и тогда	1	1
285	говорить не	1	1
286	этом отношении	3	1
287	однако этот	1	1
288	тем как	2	1
289	связей и	1	1
290	связанное с	1	1
291	время в	1	1
292	по этике	1	1
293	из наиболее	2	1
294	тем не	3	1
295	стр и	2	1
296	в другой	1	1
297	как это	7	1
298	в свои	4	1
299	и гг	6	1
300	только на	2	1
301	действительного или	1	1
302	из того	2	1
303	об этом	2	1
304	содержания и	2	1
305	борьбе с	1	1
306	только потому	2	1
307	себе на	1	1
308	остановиться на	2	1
309	всего его	1	1
310	не приходится	1	1
311	никто не	3	1
312	в науке	1	1
313	в нескольких	2	1
314	и что	2	1
315	на самом	1	1
316	в различных	1	1
317	для них	2	1
318	и тот	1	1
319	предисловии к	1	1
320	можно было	5	1
321	в этой	9	1
322	людей и	1	1
323	это слово	4	1
324	чуть ли	2	1
325	у других	4	1
326	видели как	1	1
327	включается в	1	1
328	иметь в	1	1
329	с известным	1	1
330	в начале	7	1
331	ни одна	2	1
332	в виду	2	1
333	в общее	1	1
334	в решении	1	1
335	что к	2	1
336	и один	1	1
337	чем его	1	1
338	сводится к	1	1
339	богатство и	1	1
340	с их	4	1
341	конечно не	1	1
342	подобно тому	1	1
343	и вполне	1	1
344	но это	2	1
345	не вполне	2	1
346	по себе	2	1
347	совсем иначе	1	1
348	в совершенно	1	1
349	творчество поэта	1	1
350	в истории	10	1
351	все равно	1	1
352	особенно его	1	1
353	по своей	2	1
354	же время	5	1
355	его в	6	1
356	на основе	1	1
357	которую он	3	1
358	с понятием	1	1
359	отметить что	1	1
360	на всю	3	1
361	каждый из	3	1
362	а на	2	1
363	до того	1	1
364	связь с	2	1
365	однако если	1	1
366	мы здесь	1	1
367	жизни он	1	1
368	не было	1	1
369	связи с	3	1
370	ко всем	1	1
371	в борьбе	1	1
372	если не	1	1
373	же не	2	1
374	этой точки	1	1
375	как известно	4	1
376	что касается	5	1
377	состоит в	1	1
378	зависимость от	1	1
379	как свой	1	1
380	не знает	1	1
381	или в	5	1
382	в основе	1	1
383	всего не	1	1
384	для создания	1	1
385	почему же	1	1
386	на то	3	1
387	греции и	3	1
388	но там	2	1
389	и там	1	1
390	же самое	2	1
391	как их	1	1
392	сказал что	1	1
393	речь в	2	1
394	среди них	1	1
395	в отличие	3	1
396	их в	1	1
397	нет и	2	1
398	течение всей	1	1
399	одним из	3	1
400	отношение к	3	1
401	неизгладимый отпечаток	1	1
402	и выразителем	1	1
403	между людьми	2	1
404	если говорить	1	1
405	к оценке	1	1
406	отношений и	1	1
407	именно та	1	1
408	сказать что	1	1
409	на себя	5	1
410	свою полную	1	1
411	темы в	2	1
412	та или	1	1
413	в эпоху	1	1
414	ему в	2	1
415	него не	1	1
416	или менее	2	1
417	по которым	6	1
418	размещение в	1	1
419	и находит	1	1
420	а у	3	1
421	или на	2	1
422	уже на	1	1
423	общественного строя	1	1
424	этим же	2	1
425	времени не	1	1
426	представление о	3	1
427	такой же	2	1
428	к г	3	1
429	в конце	7	1
430	произведения и	1	1
431	даже для	2	1
432	течение всего	1	1
433	одной из	6	1
434	например в	1	1
435	сложнее и	1	1
436	в контексте	1	1
437	в образе	4	1
438	и философия	1	1
439	к более	1	1
440	к этому	8	1
441	не знаем	1	1
442	в одной	1	1
443	за которым	1	1
444	роль играет	1	1
445	долгое время	1	1
446	и как	3	1
447	вплоть до	1	1
448	отождествляется с	1	1
449	до конца	3	1
450	эти три	1	1
451	все время	2	1
452	что он	11	1
453	в предисловии	1	1
454	столь же	9	1
455	в собственном	1	1
456	времени в	2	1
457	случаях когда	1	1
458	что она	3	1
459	писателей и	1	1
460	далеко не	1	1
461	и о	3	1
462	и социальная	1	1
463	бы быть	1	1
464	является не	2	1
465	в мире	3	1
466	в достаточной	1	1
467	что основной	1	1
468	вместе с	8	1
469	который в	2	1
470	одна из	4	1
471	века к	1	1
472	на эту	1	1
473	ведущих к	1	1
474	этого слова	1	1
475	в которых	1	1
476	но не	3	1
477	собой разумеется	1	1
478	так в	6	1
479	и своей	1	1
480	именно с	1	1
481	но если	4	1
482	здесь и	2	1
483	одно из	1	1
484	с его	4	1
485	ли не	8	1
486	при таком	1	1
487	очень трудно	1	1
488	по поводу	7	1
489	может привести	1	1
490	говорить и	1	1
491	и являются	1	1
492	в то	14	1
493	тут же	2	1
494	платон в	3	1
495	отнюдь не	2	1
496	даже у	1	1
497	и самый	1	1
498	доступный для	1	1
499	о которых	6	1
500	может и	1	1
501	в условиях	1	1
502	не вспомнить	1	1
503	когда в	3	1
504	в себя	3	1
