N	2gram	Propp_Morf	Hudozhes
1	в качестве	8	31
2	в мире	1	24
3	и в	17	23
4	не только	8	20
5	состоит в	3	20
6	в том	10	20
7	при этом	1	19
8	может быть	61	19
9	в частности	2	18
10	и не	16	16
11	тогда как	2	15
12	но и	9	14
13	а не	11	13
14	в рамках	1	13
15	но не	8	13
16	а в	8	13
17	в тексте	1	13
18	в себе	1	13
19	в этом	18	12
20	то же	10	12
21	так и	10	12
22	и его	3	12
23	представляет собой	17	11
24	как бы	6	11
25	точки зрения	7	11
26	в его	1	11
27	по отношению	7	10
28	но в	4	10
29	отношению к	7	10
30	или иной	1	9
31	том что	7	9
32	с другой	9	9
33	не в	3	9
34	не может	19	9
35	себя в	2	8
36	в области	1	8
37	в то	4	8
38	что в	10	7
39	только в	3	7
40	в своей	1	7
41	в основе	2	7
42	же время	1	7
43	отличие от	1	7
44	не столько	1	7
45	как это	7	7
46	отношение к	1	7
47	другой стороны	5	6
48	более или	2	6
49	приводит к	3	6
50	уже не	4	6
51	можно сказать	2	6
52	с ее	1	6
53	с его	3	6
54	мы имеем	19	6
55	в ее	1	6
56	а также	7	6
57	или менее	2	6
58	ни в	3	5
59	в виду	1	5
60	не на	2	5
61	что он	5	5
62	не менее	7	5
63	не является	4	5
64	того чтобы	4	5
65	для того	3	5
66	со стороны	5	5
67	как к	1	5
68	для него	2	5
69	того что	3	5
70	прежде всего	14	5
71	с другими	2	5
72	в их	1	5
73	а на	3	5
74	между ними	1	5
75	той или	1	5
76	героя и	3	5
77	то что	10	5
78	в ходе	5	5
79	могут быть	21	5
80	во втором	7	4
81	по пути	1	4
82	например в	2	4
83	отношения к	1	4
84	еще не	4	4
85	в данном	2	4
86	входит в	4	4
87	в другом	2	4
88	говорить о	4	4
89	сказать что	4	4
90	к тому	5	4
91	и то	1	4
92	это не	6	4
93	его в	4	4
94	не знает	2	4
95	и как	6	4
96	в этих	17	4
97	так в	1	4
98	того или	1	4
99	между тем	5	4
100	он не	5	4
101	и тем	3	4
102	и что	3	4
103	в форме	6	4
104	далеко не	5	4
105	со своей	1	4
106	однако в	2	4
107	в силу	1	4
108	хотя и	5	4
109	в той	1	3
110	и к	4	3
111	и на	1	3
112	в момент	1	3
113	с этой	3	3
114	даже в	1	3
115	о чем	1	3
116	подобно тому	6	3
117	если бы	3	3
118	есть в	1	3
119	а именно	1	3
120	как и	4	3
121	их в	2	3
122	никто не	4	3
123	себя и	2	3
124	тем не	7	3
125	к нему	3	3
126	потому что	7	3
127	одной стороны	2	3
128	в одном	2	3
129	имеем в	8	3
130	известной степени	1	3
131	мог бы	1	3
132	во всей	1	3
133	из этих	2	3
134	и для	4	3
135	он должен	3	3
136	таким образом	26	3
137	с одной	2	3
138	с точки	6	3
139	как раз	1	3
140	читателя в	1	3
141	и притом	1	3
142	связи с	12	3
143	но он	1	3
144	в таком	1	3
145	в связи	10	3
146	по своему	2	3
147	во всех	6	3
148	в русской	1	3
149	как уже	3	3
150	однако если	1	3
151	тому как	5	3
152	в рассказе	1	3
