N	2gram	Losev_Prob	Sovremen
1	не может	18	17
2	может быть	29	12
3	точки зрения	5	12
4	таким образом	9	11
5	мы не	6	9
6	в каждом	1	8
7	в этом	30	7
8	и в	64	7
9	не можем	2	7
10	мы можем	8	6
11	в результате	6	6
12	каждый раз	3	6
13	как и	7	6
14	ничего не	20	6
15	и не	63	6
16	с точки	3	5
17	прежде всего	17	5
18	что же	18	5
19	каждом отдельном	1	5
20	все эти	15	5
21	в условиях	2	5
22	и наконец	3	5
23	в дальнейшем	5	4
24	а в	7	4
25	так как	16	4
26	вопрос о	4	4
27	это не	7	4
28	не только	37	4
29	мы должны	5	4
30	как бы	18	4
31	нет и	5	4
32	если мы	16	4
33	в зависимости	2	4
34	их в	6	4
35	жизни и	1	4
36	вместе с	4	4
37	в целом	1	4
38	же это	3	4
39	в том	19	4
40	зависимости от	2	4
41	из них	3	4
42	мы видели	1	4
43	и к	2	3
44	и потому	3	3
45	видели что	1	3
46	на этой	4	3
47	этим мы	2	3
48	и мы	1	3
49	с самого	3	3
50	когда мы	10	3
51	уже в	6	3
52	то же	10	3
53	при этом	8	3
54	мы получаем	3	3
55	не в	6	3
56	а не	21	3
57	в системе	3	3
58	для нас	11	3
59	все это	11	3
60	всякой науки	1	3
61	как он	4	3
62	к действию	1	3
63	у нас	31	3
64	а все	1	3
65	самого начала	2	3
66	в конце	13	3
67	ведь это	4	3
68	в наших	2	3
69	было бы	16	3
70	в первом	2	3
71	ли мы	1	3
72	в этой	14	3
73	момент времени	1	3
74	он в	2	3
75	и все	9	3
76	его развития	1	3
77	мы называем	2	3
78	в себе	16	3
79	само собою	1	3
80	ясно что	7	3
81	что она	8	3
82	он может	1	3
83	одна из	4	3
84	его представители	1	3
85	состоит из	1	3
86	все же	7	3
87	при таком	2	3
88	в области	8	3
89	может не	1	3
90	отличается от	2	3
91	между собой	5	3
92	отнюдь не	15	3
93	в нем	14	3
94	но мы	3	3
95	но в	19	3
96	еще не	18	3
97	с этим	7	2
98	что в	21	2
99	этих двух	2	2
100	тем не	25	2
101	в самом	10	2
102	дает нам	2	2
103	совершенно не	7	2
104	мы видим	2	2
105	значение в	4	2
106	каждая из	1	2
107	и что	21	2
108	ясного и	1	2
109	такие же	1	2
110	которой он	4	2
111	и пр	4	2
112	то и	7	2
113	о значении	4	2
114	с одной	4	2
115	это за	2	2
116	такого рода	20	2
117	из этих	5	2
118	в его	12	2
119	во всяком	18	2
120	не будем	5	2
121	мы знаем	1	2
122	не дает	1	2
123	можно назвать	1	2
124	то ни	3	2
125	всего только	2	2
126	что это	4	2
127	еще мало	1	2
128	что при	2	2
129	быть и	5	2
130	в некоторых	1	2
131	из которых	2	2
132	только один	3	2
133	что такое	23	2
134	может иметь	3	2
135	если же	4	2
136	говорить о	14	2
137	на его	2	2
138	в науке	4	2
139	конечно в	2	2
140	с общим	1	2
141	в третьем	1	2
142	на их	1	2
143	не могут	6	2
144	в виде	20	2
145	со всеми	2	2
146	а на	1	2
147	и даже	19	2
148	говорим о	3	2
149	самом деле	10	2
150	в которой	2	2
151	но все	5	2
152	ни одна	2	2
153	же самое	9	2
154	тот или	4	2
155	как мы	10	2
156	настоящее время	17	2
157	тем же	2	2
158	и во	4	2
159	той же	2	2
160	теперь необходимо	1	2
161	могут быть	2	2
162	и будет	2	2
163	в таком	18	2
164	в нашем	3	2
165	уже не	9	2
166	физических и	1	2
167	не знаем	3	2
168	и есть	7	2
169	что все	9	2
170	или иной	8	2
171	и именно	1	2
172	на этот	3	2
173	такой же	1	2
174	говорить об	2	2
175	на этом	1	2
176	роль в	2	2
177	не менее	26	2
178	так сказать	1	2
179	же мы	4	2
180	и по	3	2
181	времени и	1	2
182	может дать	1	2
183	в и	2	2
184	на котором	1	2
185	из одного	1	2
186	в настоящее	17	2
187	знаем что	2	2
188	на другом	1	2
189	тот же	4	2
190	жизни мы	1	2
191	всяком случае	11	2
192	он должен	2	2
193	как угодно	3	2
194	прошлого века	1	1
195	во всех	9	1
196	все они	2	1
197	которую можно	1	1
198	бы то	2	1
199	которые в	4	1
200	они все	3	1
201	этого и	1	1
202	именно к	1	1
203	его и	1	1
204	этом случае	6	1
205	необходимо сказать	7	1
206	только не	4	1
207	каждый элемент	1	1
208	но можно	2	1
209	свести все	2	1
210	том случае	2	1
211	а потому	2	1
212	во втором	1	1
213	то он	3	1
214	только все	2	1
215	и все-таки	4	1
216	человека в	1	1
217	но вопрос	1	1
218	но как	11	1
219	в окончательном	2	1
220	чем же	2	1
221	только из	1	1
222	не является	12	1
223	в данном	16	1
224	до сих	6	1
225	только к	1	1
226	при условии	5	1
227	он уже	1	1
228	и более	4	1
229	осуществляется в	1	1
230	науки чрезвычайно	1	1
231	имеют место	1	1
232	по преимуществу	4	1
233	в действительности	5	1
234	опирается на	1	1
235	от его	1	1
236	есть такой	1	1
237	что иное	5	1
238	в живой	1	1
239	в процессе	1	1
240	построение которое	1	1
241	данном случае	10	1
242	ведь в	1	1
243	в какой-нибудь	1	1
244	ли это	2	1
245	не имеют	6	1
246	связи с	8	1
247	здесь нет	3	1
248	раз и	13	1
249	в самый	1	1
250	если в	2	1
251	и эту	2	1
252	на язык	2	1
253	очень часто	1	1
254	указать на	1	1
255	это последнее	1	1
256	должно быть	3	1
257	мы уже	8	1
258	науке а	1	1
259	несколько слов	1	1
260	общего и	2	1
261	с и	2	1
262	случае и	2	1
263	значение но	1	1
264	его с	1	1
265	она не	5	1
266	в течение	1	1
267	да еще	1	1
268	на ее	1	1
269	чтобы он	2	1
270	но еще	2	1
271	ровно ничего	4	1
272	всегда останется	1	1
273	от всяких	2	1
274	одной стороны	4	1
275	и ни	7	1
276	на другой	1	1
277	это то	4	1
278	на друга	1	1
279	но такая	1	1
280	мы имеем	3	1
281	быть в	1	1
282	если у	1	1
283	и речи	3	1
284	в другом	2	1
285	чем ее	1	1
286	то нужно	1	1
287	совсем не	9	1
288	потом и	1	1
289	смысле то	1	1
290	несмотря на	6	1
291	это только	4	1
292	том как	2	1
293	не быть	2	1
294	в ней	1	1
295	из всех	1	1
296	на ней	1	1
297	говорить только	3	1
298	многим вопросам	1	1
299	друг на	1	1
300	ни было	1	1
301	уже к	1	1
302	что эта	2	1
303	мы опять	1	1
304	самому своему	2	1
305	по многим	1	1
306	этот был	1	1
307	а может	3	1
308	это значит	4	1
309	хотя и	8	1
310	с другой	8	1
311	и тогда	2	1
312	а это	5	1
313	с ним	4	1
314	он не	5	1
315	кроме того	7	1
316	мы без	1	1
317	дальнейшем и	1	1
318	же необходимо	1	1
319	то нет	2	1
320	и той	4	1
321	не соответствует	1	1
322	будет ли	1	1
323	одной и	1	1
324	но тем	1	1
325	то конечно	2	1
326	не будет	11	1
327	окончательном смысле	1	1
328	предмета ни	1	1
329	ни другое	1	1
330	что с	2	1
331	те или	3	1
332	ей не	1	1
333	в область	3	1
334	мы в	4	1
335	и абсолютной	1	1
336	и вся	1	1
337	поэтому в	2	1
338	было совершенно	1	1
339	только на	13	1
340	пока не	3	1
341	и их	4	1
342	или иные	1	1
343	только ничего	1	1
344	и всегда	3	1
345	нужно сказать	3	1
346	остановиться на	1	1
347	все что	2	1
348	обратном порядке	1	1
349	не приходится	2	1
350	и та	2	1
351	для своего	3	1
352	если нет	2	1
353	и при	4	1
354	совершенно невозможно	1	1
355	часто бывают	1	1
356	в известном	1	1
357	собою ясно	1	1
358	на самом	9	1
359	здесь в	4	1
360	что каждый	1	1
361	для них	5	1
362	системы а	2	1
363	определенным образом	4	1
364	сколько угодно	4	1
365	можно было	8	1
366	и должно	2	1
367	xix века	1	1
368	ни в	13	1
369	от другого	4	1
370	но только	3	1
371	случае он	1	1
372	они относятся	2	1
373	делится на	1	1
374	и от	3	1
375	в начале	1	1
376	нами в	3	1
