N	3gram	Propp_Isto	UchenyiS
1	не может быть	4	4
2	с другой стороны	10	3
3	и то что	4	2
4	в том что	8	2
5	до сих пор	7	2
6	то же самое	1	2
7	у нас в	1	1
8	то что было	2	1
9	друг с другом	2	1
10	но он уже	1	1
11	дело конечно не	1	1
12	так или иначе	1	1
13	ли для этого	1	1
14	они находятся в	1	1
15	и в различных	1	1
16	же самое что	1	1
17	нас до сих	1	1
18	тем что он	1	1
19	в своей работе	1	1
20	может быть в	1	1
21	с тем что	1	1
22	у нас до	1	1
23	с одной стороны	2	1
24	если бы это	1	1
25	но прежде всего	1	1
26	можно сказать что	2	1
27	равно как и	1	1
28	не случайно и	1	1
29	имеются не только	1	1
30	уже знакомый нам	1	1
31	и не только	1	1
32	на то что	4	1
33	часто встречается у	1	1
34	не только в	3	1
35	и прежде всего	1	1
36	в данном случае	6	1
37	мы имеем в	4	1
38	есть ли для	1	1
39	в этом случае	8	1
40	в буквальном смысле	1	1
41	и не случайно	1	1
42	все же не	1	1
