N	3gram	Bakhtin_fo	Literetu
1	в том что	4	21
2	в то же	10	21
3	то же время	13	21
4	по отношению к	3	12
5	с одной стороны	3	12
6	не может быть	4	11
7	в данном случае	2	11
8	в отличие от	3	11
9	о том что	2	10
10	в этом отношении	5	10
11	с точки зрения	9	8
12	с другой стороны	1	7
13	в том числе	7	6
14	к тому же	2	6
15	не только в	6	6
16	с этой точки	1	5
17	в соответствии с	2	5
18	этой точки зрения	1	5
19	в связи с	12	5
20	прежде всего в	3	5
21	по аналогии с	1	4
22	и прежде всего	4	4
23	и наконец в	1	3
24	и т п	18	3
25	одной стороны и	2	3
26	в самом деле	1	3
27	в том же	3	3
28	особое место в	1	3
29	то же самое	1	3
30	той или иной	3	3
31	только в том	1	3
32	в свою очередь	1	3
33	никогда не бывает	1	3
34	на самом деле	1	3
35	в одном из	1	3
36	во всяком случае	1	3
37	к себе самому	7	3
38	и в частности	2	3
39	том числе и	4	3
40	в самом начале	1	2
41	дело не только	1	2
42	в себя и	2	2
43	в первый раз	1	2
44	для того чтобы	11	2
45	и то же	4	2
46	все же в	2	2
47	между тем как	1	2
48	и вместе с	1	2
49	не могло быть	3	2
50	потому что не	1	2
51	имел в виду	1	2
52	к тому что	1	2
53	в другом месте	2	2
54	в значительной степени	1	2
55	то что было	2	2
56	разумеется не в	1	2
57	вместе с тем	3	2
58	в основе этих	1	2
59	автора и его	1	2
60	но и в	5	2
61	но одновременно он	1	2
62	дело разумеется не	1	2
63	и в самом	1	2
64	в себе и	1	2
65	дело в том	2	2
66	одно и то	4	2
67	в историческом времени	1	2
68	в этом случае	1	2
69	не оставляет места	1	2
70	себя в них	1	2
71	жизни и в	2	2
72	и не только	2	2
73	и как раз	6	1
74	на этой почве	1	1
75	по аналогии со	1	1
76	к своей собственной	2	1
77	в той или	2	1
78	как и во	1	1
79	а отнюдь не	1	1
80	себя и других	1	1
81	все то что	2	1
82	это как бы	1	1
83	ничего не меняет	1	1
84	как раз не	1	1
85	и было будущее	1	1
86	числе и в	1	1
87	в большинстве случаев	2	1
88	жизнью на один	1	1
89	на том что	1	1
90	и сила и	1	1
91	но отнюдь не	1	1
92	все последующее развитие	1	1
93	их может быть	1	1
94	то что в	1	1
95	свое существование в	1	1
96	в этом ряду	2	1
97	жизни но и	2	1
98	я и другого	1	1
99	тем более не	1	1
100	отношение к себе	1	1
101	в жизни но	1	1
102	друг от друга	2	1
103	точки зрения которого	1	1
104	время не оставляет	1	1
105	вместе с ними	1	1
106	на себе и	1	1
107	одних и тех	2	1
108	до сих пор	4	1
109	все более и	2	1
110	в этом и	1	1
111	что ему нужно	1	1
112	в конце концов	1	1
113	и в словах	1	1
114	в зависимости от	1	1
115	отношения к себе	2	1
116	в европейской литературе	1	1
117	и в то	7	1
118	том что в	1	1
119	а за ними	1	1
120	и в самый	1	1
121	не только на	1	1
122	к прошлому и	1	1
123	и того же	6	1
124	не переставая быть	1	1
125	одна из форм	1	1
126	в частности в	1	1
127	в высшей степени	1	1
128	именно на этот	1	1
129	как раз и	2	1
130	ни к какой	1	1
131	все что ему	1	1
132	сама по себе	1	1
133	во время чумы	1	1
134	как у людей	1	1
135	но все же	3	1
136	во всей ее	1	1
137	и не столько	1	1
138	о том как	2	1
139	одного и того	6	1
140	xix и xx	1	1
141	еще и в	1	1
142	и в том	1	1
143	внешних и внутренних	1	1
144	и в этом	2	1
145	а также и	3	1
146	может быть только	3	1
147	в нашем случае	1	1
148	и у нас	1	1
149	раз в том	1	1
150	то есть в	2	1
151	в реальное время	1	1
152	пространством и временем	1	1
153	себе самому и	2	1
154	в основе этой	1	1
155	вовсе не является	2	1
156	в самую гущу	1	1
157	как и для	2	1
158	же время он	1	1
159	в данный момент	1	1
160	но дело в	1	1
161	и в особенности	5	1
162	по существу он	1	1
163	в это время	1	1
164	на второй план	1	1
165	здесь как и	1	1
166	не меняет в	1	1
167	и тех же	2	1
168	и пространства и	1	1
169	более и более	2	1
170	тем более что	2	1
171	того что было	2	1
172	в xviii веке	1	1
173	мира и жизни	1	1
174	по земле в	1	1
175	друг другу но	1	1
176	но в то	2	1
177	и во всей	2	1
178	как мы видели	1	1
179	как раз в	4	1
180	человека и общества	1	1
181	во всех этих	2	1
182	именно в том	1	1
183	значительную роль в	1	1
184	тогда когда оно	1	1
185	с самого начала	3	1
186	в себе не	1	1
187	не только и	1	1
188	у него нет	1	1
189	жизни в ее	2	1
190	не могут быть	1	1
191	том что они	1	1
192	и в сущности	3	1
193	из того же	1	1
194	не могло не	1	1
195	а так как	1	1
196	и в литературе	1	1
197	внешнее и внутреннее	2	1
198	не выходит за	1	1
199	в определенном месте	2	1
200	в этот ряд	1	1
201	в этом счастье	1	1
202	иной раз и	1	1
203	до конца не	1	1
204	только и не	1	1
205	тот или иной	1	1
206	в этот день	1	1
207	как бы уже	1	1
208	может быть и	4	1
