N	3gram	Medvedev_F	Marksizm
1	с точки зрения	17	46
2	не может быть	11	25
3	в самом деле	5	19
4	по отношению к	4	15
5	то же время	13	15
6	в то же	13	15
7	в том что	3	14
8	в связи с	9	14
9	и не может	5	12
10	то ни было	1	12
11	в высшей степени	4	12
12	бы то ни	4	12
13	для того чтобы	3	11
14	до сих пор	7	11
15	в отличие от	2	10
16	с самого начала	2	10
17	в большинстве случаев	5	9
18	как если бы	2	9
19	но в то	3	9
20	в настоящее время	11	8
21	в отношении к	1	8
22	язык как система	1	8
23	может быть и	4	8
24	до настоящего времени	3	7
25	смысле этого слова	4	7
26	с другой стороны	4	7
27	языка как системы	1	7
28	в свою очередь	6	7
29	как мы знаем	2	7
30	всех без исключения	1	6
31	и пр и	4	6
32	в точном смысле	1	6
33	на самом деле	7	6
34	во всяком случае	6	6
35	с одной стороны	5	6
36	языка и его	5	6
37	отнюдь не является	1	5
38	и как бы	1	5
39	в таком случае	1	5
40	науки об идеологиях	10	5
41	к тому что	3	5
42	самом же деле	1	5
43	на самом же	1	5
44	пр и пр	4	5
45	как мы видели	5	5
46	в этом случае	1	5
47	в этом отношении	7	5
48	вполне понятно что	1	4
49	мы уже знаем	1	4
50	наука об идеологиях	2	4
51	так и от	1	4
52	только на почве	2	4
53	наук об идеологиях	1	4
54	в зависимости от	4	4
55	в данную эпоху	1	4
56	быть и речи	1	4
57	и прежде всего	2	4
58	и пр в	1	4
59	но все же	2	4
60	в процессе социального	1	4
61	науку об идеологиях	1	4
62	в узком смысле	1	4
63	отражает и преломляет	1	4
64	процессе социального общения	1	4
65	в слове в	1	4
66	у нас не	3	4
67	точном смысле этого	1	4
68	в применении к	4	3
69	только в процессе	1	3
70	науки о языке	1	3
71	тем не менее	2	3
72	и его формы	1	3
73	одной стороны и	4	3
74	хотя бы и	1	3
75	в системе языка	1	3
76	в том числе	1	3
77	и пр но	2	3
78	более или менее	7	3
79	но при этом	1	3
80	все более и	3	3
81	в конце концов	2	3
82	том числе и	1	3
83	между этими двумя	2	3
84	в двух направлениях	1	3
85	и до настоящего	2	3
86	самом деле ведь	1	3
87	точки зрения самого	1	3
88	вовсе не является	1	3
89	не могут быть	4	3
90	в значительной степени	3	3
91	и речи о	1	3
92	или хотя бы	1	3
93	и в этом	6	3
94	в этом последнем	1	3
95	в ее целом	3	3
96	мы ни взяли	2	3
97	но и в	4	3
98	на первый план	1	3
99	и не в	2	3
100	связи с этим	4	3
101	более и более	3	3
102	на этот вопрос	1	3
103	чем же является	2	3
104	в нашу задачу	1	3
105	нашей работы мы	1	3
106	во внутренней речи	1	3
107	все без исключения	1	3
108	именно в том	2	3
109	в пределах одного	1	3
110	из важнейших проблем	1	3
111	сводится к тому	2	3
112	в идеологическом творчестве	1	2
113	что он не	1	2
114	значение в процессе	1	2
115	речевого общения в	2	2
116	и в данной	1	2
117	до известной степени	3	2
118	в этом смысле	3	2
119	самом деле в	1	2
120	к одному знаменателю	1	2
121	в собственном смысле	1	2
122	мы не найдем	1	2
123	упускается из виду	1	2
124	она могла бы	1	2
125	а в формах	1	2
126	нельзя согласиться с	1	2
127	друг от друга	2	2
128	только на основе	2	2
129	философия культуры и	1	2
130	так или иначе	1	2
131	так и в	6	2
132	в нашем примере	1	2
133	дело идет о	3	2
134	ничего общего с	2	2
135	русского литературного языка	1	2
136	между тем как	1	2
137	возможно лишь в	1	2
138	социологического метода в	2	2
139	в данном случае	2	2
140	в том или	1	2
141	при этом условии	1	2
142	и в других	1	2
143	в данной социальной	1	2
144	из всего этого	2	2
145	в последнее время	1	2
146	нет подхода к	1	2
147	сама по себе	2	2
148	мы полагаем что	3	2
149	языка и не	1	2
150	об идеологиях в	1	2
151	в его целом	8	2
152	и в том	1	2
153	обстоит чрезвычайно плохо	1	2
154	мы убедимся что	1	2
155	со всех сторон	1	2
156	к нему и	1	2
157	сами по себе	4	2
158	того или иного	6	2
159	чуть ли не	1	2
160	лишь в процессе	2	2
161	оставаясь в пределах	1	2
162	не в душе	1	2
163	от того что	1	2
164	дело обстоит чрезвычайно	1	2
165	какого бы то	1	2
166	и в особенности	1	2
167	по крайней мере	1	2
168	том или ином	1	2
169	языка как ее	1	2
170	как и в	1	2
171	необходимо прежде всего	1	2
172	не следует что	2	2
173	совершенно независимо от	1	2
174	в чем же	1	2
175	на почве этого	1	2
176	во всех своих	2	2
177	языка в смысле	1	2
178	таким образом в	1	2
179	до тех пор	1	2
180	в противном случае	2	2
181	как и все	2	2
182	остается подвести итоги	1	2
183	осуществляется только в	1	2
184	так же как	1	2
185	об идеологиях и	2	2
186	хотя бы в	4	2
187	же как и	1	2
188	с тем что	3	2
189	как мы увидим	3	2
190	в широком смысле	2	2
191	в нем и	2	2
192	и лишь постольку	1	2
193	идеалистическая философия культуры	3	2
194	является одним из	1	2
195	должен был бы	1	2
196	прежде всего в	5	2
197	нет и не	2	2
198	тот или иной	1	2
199	с установкой на	1	2
200	из виду что	2	1
201	как в языке	1	1
202	ни было идеологического	1	1
203	в непрерывном взаимодействии	1	1
204	как ее понимают	1	1
205	так сказать в	2	1
206	связи со всею	1	1
207	внутренних и внешних	1	1
208	можно воспринять как	1	1
209	как она есть	1	1
210	в истории русского	1	1
