N	4gram	Potebnia_M	Dialekti
1	не что иное как	2	18
2	в то же время	3	14
3	и т д и	1	14
4	д и т д	1	12
5	в то время как	1	8
6	или по крайней мере	2	8
7	не говоря уже о	1	7
8	сама по себе не	1	6
9	одной и той же	3	5
10	это будет значить что	1	5
11	имеет ничего общего с	1	5
12	не имеет ничего общего	1	5
13	не в том что	3	5
14	с этой точки зрения	1	4
15	и то и другое	2	4
16	в том смысле что	2	4
17	с одной стороны и	2	4
18	и в этом смысле	3	4
19	и т д не	1	3
20	и т д в	1	3
21	во что бы то	1	2
22	что бы то ни	1	2
23	возможно только тогда когда	2	2
24	как более или менее	1	2
25	в том что именно	1	2
26	говоря уже о том	1	2
27	дело в том что	3	2
28	уже о том что	1	2
29	тем не менее в	2	2
30	и с этой точки	1	2
31	бы то ни стало	1	2
32	само по себе не	1	1
33	но тем не менее	6	1
34	сказать несколько слов об	1	1
35	в том смысле как	1	1
36	все более и более	2	1
37	что не только в	1	1
38	и с этой стороны	1	1
39	мере того как он	1	1
40	значение само по себе	1	1
41	заключается в том что	1	1
42	бы то ни было	1	1
43	только тогда когда уже	1	1
44	мира так что в	1	1
45	само по себе и	1	1
46	в том что все	1	1
47	точно так же как	1	1
48	не только в смысле	1	1
49	и в том что	1	1
50	что несмотря на все	1	1
51	сам по себе не	1	1
52	что и то и	1	1
53	и в том и	1	1
54	в том случае если	1	1
55	в таком случае эта	1	1
56	в таком виде что	1	1
57	а в том что	2	1
58	с точки зрения истории	1	1
59	мы до сих пор	1	1
60	а между тем в	2	1
61	в том что он	1	1
62	так а не иначе	2	1
63	то что мы называем	1	1
64	которые не могут быть	2	1
65	от того будет ли	1	1
66	но дело в том	2	1
67	и в этом отношении	1	1
68	привело к тому что	1	1
69	по мере того как	6	1
